Title,Status,Summary,Notice Type,Approval Number,Executing Agency,Contractor Name,Address,Total Contract Amount (US$),Contract Amount Financed by ADB (US$)
Due Diligence for Road Projects in Kalimantan and Capacity Development (Subproject 6) - International Environment Specialist,Status: Closed Deadline: 18 Oct 2021,52152-004; Indonesia; Transport; Posting date: 12 Oct 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Due Diligence for Road Projects in Kalimantan and Capacity Development (Subproject 6) - International Climate Change Specialist,Status: Closed Deadline: 18 Oct 2021,52152-004; Indonesia; Transport; Posting date: 12 Oct 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Due Diligence for Road Projects in Kalimantan and Capacity Development (Subproject 6) - International Road Safety Specialist,Status: Closed Deadline: 18 Oct 2021,52152-004; Indonesia; Transport; Posting date: 12 Oct 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
National Gender Specialist,Status: Closed Deadline: 18 Oct 2021,54297-002; Pakistan; Health; Posting date: 12 Oct 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
National Gender-Responsive Coordinator,Status: Closed Deadline: 21 Oct 2021,50378-001; Fiji; Public sector management; Posting date: 12 Oct 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Health Sector Development Program - Institutional Development Expert,Status: Closed Deadline: 25 Oct 2021,51141-002; Bhutan; Health; Posting date: 12 Oct 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
"Preventing Sexual Harassment, Exploitation and Abuse (PSEAH) Implementation Specialist (International consultant)",Status: Closed Deadline: 26 Oct 2021,55125-001; Regional; Industry and trade; Posting date: 12 Oct 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Supporting the Financial Markets Development Program,Status: Closed Deadline: 26 Oct 2021,53161-001; Uzbekistan; Finance; Posting date: 12 Oct 2021,Firm - Consulting,Null,Null,Null,Null,Null,Null
Knowledge and Learning Specialist,Status: Closed Deadline: 01 Nov 2021,42266-026; India; Water and other urban infrastructure and services; Posting date: 12 Oct 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Uzbekneftegaz Corporate Transformation-TA coordinator,Status: Closed Deadline: 17 Oct 2021,52182-001; Uzbekistan; Energy; Posting date: 11 Oct 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Brand Development Specialist,Status: Closed Deadline: 18 Oct 2021,51269-001; Bangladesh; Finance; Posting date: 11 Oct 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
E-learning Course Development Consultant,Status: Closed Deadline: 24 Oct 2021,"54395-001; Regional, Georgia, Kyrgyz Republic, Mongolia; Information and communication technology; Posting date: 11 Oct 2021",Individual - Consulting,Null,Null,Null,Null,Null,Null
E-commerce Law Expert,Status: Closed Deadline: 24 Oct 2021,"54395-001; Regional, Georgia, Kyrgyz Republic, Mongolia; Information and communication technology; Posting date: 11 Oct 2021",Individual - Consulting,Null,Null,Null,Null,Null,Null
Madhya Pradesh Skills Development Project,Status: Closed Deadline: 26 Oct 2021,48493-002; India; Education; Posting date: 11 Oct 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
"Web, Multimedia and IT Consultant (KYR)",Status: Active Deadline: 03 Nov 2021,"54395-001; Regional, Georgia, Kyrgyz Republic, Mongolia; Information and communication technology; Posting date: 11 Oct 2021",Individual - Consulting,Null,Null,Null,Null,Null,Null
International Human Resources for Health Specialist,Status: Closed Deadline: 16 Oct 2021,54297-002; Pakistan; Health; Posting date: 10 Oct 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
International Hospital Infrastructure Specialist,Status: Closed Deadline: 16 Oct 2021,54297-002; Pakistan; Health; Posting date: 10 Oct 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
KSTA,Status: Awarded,54176-001; Regional; Public sector management; Contract date: 30 Sep 2021,Contracts Awarded,Technical Assistance 6627,Asian Development Bank,Climate Policy Initiative,"235 Montgomery St, 13th floor San Francisco, CA 94104 United States","1,04,129.00",Null
Construction of 9 556m Road by RCC/HBB in 17 Locations and Construction of 2 142m RCC Drain in 08 Locations at Shahzadpur Pourashava,Status: Awarded,39295-013; Bangladesh; Water and other urban infrastructure and services; Contract date: 30 Sep 2021,Contracts Awarded,Loan 3550,Local Government Engineering Department,M/S. M.A. Enterprise,Bera Bazar Bera Pabna,"14,37,175.31","11,36,840.55"
KL-E12:Kelamayi-Maintenance Equipment and Vehicles for municipal facilities,Status: Awarded,"45508-002; China, Peoples Republic of; Water and other urban infrastructure and services; Contract date: 30 Sep 2021",Contracts Awarded,Loan 3017,Government of Xinjiang Uygur Autonomous Region,Changsha Zoomlion Environmental Industry Co. Ltd.,Hunan P.R.C.,"12,26,906.16","12,26,906.16"
"PHASE 2A/P2/60(b): Construction of viaducts & stations, length 9.77km fr Chainage 9859m to 18236m and 7 elevated metrostations incl 1,097 km length link line to Baiyappanahalli, 0.3km length Pocket track Road Widening Utility diversion and allied works",Status: Awarded,53326-001; India; Transport; Contract date: 30 Sep 2021,Contracts Awarded,Loan 4036,Ministry of Housing and Urban Affairs,M/s Shankaranarayana Constructions Pvt. Ltd,No. 7 SNC House Residency Road OD No.9 Rajarammohan Roy Road Bengaluru-560 025 ,"8,44,98,454.74","8,31,06,707.80"
PHASE 2A/P1/60(a): Construction of Viaduct & Stations of length 9.859km from Chainage 0m to 9859m and 6 elevated metro stations incl road widening Utility diversion and allied works and Construction at Central Silk Board junc of approx length of 2.84 km,Status: Awarded,53326-001; India; Transport; Contract date: 30 Sep 2021,Contracts Awarded,Loan 4036,Ministry of Housing and Urban Affairs,M/s AFCONS Infrastructure Ltd.,AFCONS House 16 Shah Industrial Estate Veera Desai Road Azad Nagir Andheri (W) Mumbai-400 053,"10,64,08,749.30","8,45,19,002.87"
CONSTRUCTION OF DEVELOPMENT CENTER FOR PERSONS WITH DISABILITIES IN ARKHANGAI AIMAG,Status: Awarded,48076-002; Mongolia; Health; Contract date: 30 Sep 2021,Contracts Awarded,Loan 3605,Ministry of Labor and Social Protection,JV OF JAM LLC & MOTOBLOK LLC,SUKHBAATAR DISTRICT KHOROO 1 PEACE AVE TG CENTER 502 606 UNIT ULAANBAATAR MONGOLIA,"13,52,280.01","11,83,908.63"
Package CS-03: Preparation of Himachal Pradesh Horticulture Development Strategy and Investment Plan 2023-2030,Status: Awarded,"53189-001; India; Agriculture, natural resources and rural development; Contract date: 30 Sep 2021",Contracts Awarded,Loan 6036,"Department of Horticulture, Government of Himachal Pradesh",Ernst & Young LLP India,3rd and 6th Floor Worldmark-1 IGI Airport Hospitality District Aerocity New Delhi 110-037,"3,81,817.62","3,75,528.82"
External/Independent Safeguard Monitoring,Status: Awarded,"50236-002; Lao Peoples Democratic Republic; Agriculture, natural resources and rural development; Contract date: 30 Sep 2021",Contracts Awarded,Loan 3817,Ministry of Agriculture and Forestry (MAF),HALCOM VIETNAM JOINT STOCK COMPANY,9th FLOOR HOA BINH TOWER 106 HOANG QUOC VIET STREET CAU GIAY DISTRICT HANOI VIETNAM,"2,83,140.00","2,83,140.00"
PACKAGE CS-15: EBA FOR NINE SUBPROJECTS EIA FOR TWELVE SUBPROJECTS,Status: Awarded,"51423-002; Mongolia; Agriculture, natural resources and rural development; Contract date: 30 Sep 2021",Contracts Awarded,Loan 3895,"Ministry of Food, Agriculture, and Light Industry (MOFALI)",JOINT VENTURE OF GREEN NATURE LAND LLC ECOS LLC AND NEW GREEN WORLD LLC,ROOM 708 AUYD TOWER OLYMPIC ST SUKHBA ATAR DISTRICT ULAANBAATAR MONGOLIA,"3,27,437.25","3,27,417.90"
PDC VI,Status: Active Deadline: 02 Nov 2021,49107-004; India; Water and other urban infrastructure and services; Posting date: 29 Sep 2021,Firm - Consulting,Null,Null,Null,Null,Null,Null
Loan 3585/3147-SRI: Mannar Nadukuda Embilipitiya Grid Substations Augmentation Project (MNEGSAP) [CEB/AGM/PRO/2021/IFB/MNEGSAP] - CORRIGENDUM,Status: Active Deadline: 17 Nov 2021,49345-002; Sri Lanka; Energy; Posting date: 29 Sep 2021,Invitation for Bids,"3585, 3147",Null,Null,Null,Null,Null
Enhance AsianBondsOnline as the Primary Bond Information Platform in ASEAN+3 (System and Website Database Developer),Status: Closed Deadline: 05 Oct 2021,"50405-002; Regional, Brunei Darussalam, Cambodia, Indonesia, Korea, Republic of, Lao Peoples Democratic Republic, Malaysia, Myanmar, Philippines, China, Peoples Republic of, Singapore, Thailand, Viet Nam; Finance; Posting date: 29 Sep 2021",Individual - Consulting,Null,Null,Null,Null,Null,Null
Promoting investments in sustainable childcare in Asia and the Pacific,Status: Closed Deadline: 05 Oct 2021,54023-001; Regional; Multisector; Posting date: 29 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
VET Institutional Management and Quality Assurance Expert,Status: Closed Deadline: 05 Oct 2021,52339-001; Georgia; Education; Posting date: 29 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Sector Skills Organizations (SSOs) Specialist,Status: Closed Deadline: 05 Oct 2021,52339-001; Georgia; Education; Posting date: 29 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Strategic Communications Specialist,Status: Closed Deadline: 05 Oct 2021,52083-006; Philippines; Transport; Posting date: 29 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Agriculture Sector Specialist/TA Coordinator (Pakistan),Status: Closed Deadline: 05 Oct 2021,"52232-001; Pakistan; Agriculture, natural resources and rural development; Posting date: 29 Sep 2021",Individual - Consulting,Null,Null,Null,Null,Null,Null
Procurement specialist,Status: Closed Deadline: 08 Oct 2021,50190-002; Uzbekistan; Health; Posting date: 29 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Regional Project Coordinator in Tashkent oblast of the Republic of Uzbekistan,Status: Closed Deadline: 08 Oct 2021,50190-002; Uzbekistan; Health; Posting date: 29 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Project Manager,Status: Closed Deadline: 08 Oct 2021,50190-002; Uzbekistan; Health; Posting date: 29 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Regional Project Coordinator in Khorezm oblast of the Republic of Uzbekistan,Status: Closed Deadline: 08 Oct 2021,50190-002; Uzbekistan; Health; Posting date: 29 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Project Coordinator – Pilot IT,Status: Closed Deadline: 08 Oct 2021,50190-002; Uzbekistan; Health; Posting date: 29 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Knowledge Solutions and Institutional Strengthening for Sustainable Development - Team Leader cum River Morphology Expert for Melamchi Water Supply Project Study,Status: Closed Deadline: 11 Oct 2021,54146-001; Nepal; Public sector management; Posting date: 29 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Knowledge Solutions and Institutional Strengthening for Sustainable Development-Hydrologist for Melamchi Water Supply Project Study,Status: Closed Deadline: 11 Oct 2021,54146-001; Nepal; Public sector management; Posting date: 29 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Knowledge Solutions and Institutional Strengthening for Sustainable Development-Engineering Geologist for Melamchi Water Supply Project Study,Status: Closed Deadline: 11 Oct 2021,54146-001; Nepal; Public sector management; Posting date: 29 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Knowledge Solutions and Institutional Strengthening for Sustainable Development-Geomorphologist for Melamchi Water Supply Project Study,Status: Closed Deadline: 11 Oct 2021,54146-001; Nepal; Public sector management; Posting date: 29 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
UWSSP/C10/IT EXPERT,Status: Closed Deadline: 19 Oct 2021,35173-015; Nepal; Water and other urban infrastructure and services; Posting date: 29 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Capacity Building and Project Management,Status: Closed Deadline: 28 Oct 2021,"53053-001; China, Peoples Republic of; Agriculture, natural resources and rural development; Posting date: 29 Sep 2021",Firm - Consulting,Null,Null,Null,Null,Null,Null
TR-JY-C02 SHATAGN (HUANGHUA COUNTY)-GAODIAN: CLASS III ROAD REHABILIATION OF 15KM ASPHALT PAVEMENT,Status: Awarded,"48023-003; China, Peoples Republic of; Transport; Contract date: 29 Sep 2021",Contracts Awarded,Loan 3444,Ningxia Hui Autonomous Region Government,NINGXIA LUJIE CONSTRUCTION GROUP CO. LTD.,NINGXIA CHINA PEOPLE'SREP.OF,"48,72,441.38","28,71,627.86"
TR-XJ-C06 LOT 2: JIANGTAI-XINGPING CLASS III ASPHALT PAVEMENT XINGPING-PINGFENG,Status: Awarded,"48023-003; China, Peoples Republic of; Transport; Contract date: 29 Sep 2021",Contracts Awarded,Loan 3444,Ningxia Hui Autonomous Region Government,NINGXIA TRANS. CONST. JOINT STOCK CO. LTD.,CHINA PEOPLE'SREP.OF,"88,30,613.37","70,82,097.89"
IT Lab Equipment for 6 Industrial Training Institutes (ITIs),Status: Awarded,48493-002; India; Education; Contract date: 29 Sep 2021,Contracts Awarded,Loan 3710,"Department of Technical Education, Skill Development and Employment, Government of Madhya Pradesh",AMK Computers Pvt. Ltd.,204 Pushpanjali Complex MP Nagar Zone 1 Bhopal 462011 ,"10,54,662.30","10,36,757.15"
Laptop and Desktop Computers for 6 Industrial Training Institutes (ITIs),Status: Awarded,48493-002; India; Education; Contract date: 29 Sep 2021,Contracts Awarded,Loan 3710,"Department of Technical Education, Skill Development and Employment, Government of Madhya Pradesh",AMK Computers Pvt. Ltd,204 Pushpanjali Complex MP Nagar Zone 1 Bhopal 462011,"11,86,525.93","11,66,382.12"
TECHNICAL EXPERT SERVICES FOR TRANCHES 2 AND 3,Status: Awarded,42145-033; Armenia; Transport; Contract date: 29 Sep 2021,Contracts Awarded,Loan 2729,Ministry of Territorial Administration and Infrastructure,EVGUENI STARTSEV,LG HENRIQUE PINTO 11 4-DTO ALMADA 2810-082 PORTUGAL,"1,30,000.00","1,30,000.00"
Loan 4104/4105-TIM: Presidente Nicolau Lobato International Airport PNLIA Expansion Project [PQ/055/MTC-2021],Status: Active Deadline: 08 Nov 2021,52320-002; Timor-Leste; Transport; Posting date: 28 Sep 2021,Invitation for prequalification,"4104, 4105",Null,Null,Null,Null,Null
AZE: International Legal Expert (PPP Center Capacity Building),Status: Closed Deadline: 03 Oct 2021,49407-005; Regional; Multisector; Posting date: 28 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
AZE: National Legal Expert (PPP Center Capacity Building),Status: Closed Deadline: 03 Oct 2021,49407-005; Regional; Multisector; Posting date: 28 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
LAO: Planning and Coordinator Officer 1 – COVID 19 Vaccine Deployment (Vientiane Based),Status: Closed Deadline: 04 Oct 2021,54079-001; Regional; Health; Posting date: 28 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
LAO: AEFI and Risk Communications Expert (International),Status: Closed Deadline: 04 Oct 2021,54079-001; Regional; Health; Posting date: 28 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
LAO: Cold Chain Equipment and Logistics Officer-COVID-19 Vaccine Deployment (International),Status: Closed Deadline: 04 Oct 2021,54079-001; Regional; Health; Posting date: 28 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
LAO: Planning and Coordination Officer 3– COVID 19 Vaccine Deployment (Khuammuan-Based),Status: Closed Deadline: 04 Oct 2021,54079-001; Regional; Health; Posting date: 28 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Digital Health Expert-II,Status: Closed Deadline: 04 Oct 2021,54009-001; India; Health; Posting date: 28 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Digital Health Expert-I,Status: Closed Deadline: 04 Oct 2021,54009-001; India; Health; Posting date: 28 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Project Management Specialist,Status: Closed Deadline: 04 Oct 2021,53067-002; India; Water and other urban infrastructure and services; Posting date: 28 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
"Regional Coordinator, Specialist on Clean Energy",Status: Closed Deadline: 04 Oct 2021,"55124-001; Regional, Cambodia, Indonesia, Lao Peoples Democratic Republic, Philippines, Thailand, Timor-Leste, Viet Nam; Energy; Posting date: 28 Sep 2021",Individual - Consulting,Null,Null,Null,Null,Null,Null
Environmental Safeguards Specialist,Status: Closed Deadline: 04 Oct 2021,53067-002; India; Water and other urban infrastructure and services; Posting date: 28 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Institutional Capacity Development Specialist – Team Leader,Status: Closed Deadline: 04 Oct 2021,"55167-001; Viet Nam; Agriculture, natural resources and rural development; Posting date: 28 Sep 2021",Individual - Consulting,Null,Null,Null,Null,Null,Null
Project Monitoring and Evaluation Specialist,Status: Closed Deadline: 08 Oct 2021,"55167-001; Viet Nam; Agriculture, natural resources and rural development; Posting date: 28 Sep 2021",Individual - Consulting,Null,Null,Null,Null,Null,Null
Public Investment Management Specialist,Status: Closed Deadline: 08 Oct 2021,"55167-001; Viet Nam; Agriculture, natural resources and rural development; Posting date: 28 Sep 2021",Individual - Consulting,Null,Null,Null,Null,Null,Null
Public Policy Development Specialist,Status: Closed Deadline: 08 Oct 2021,"55167-001; Viet Nam; Agriculture, natural resources and rural development; Posting date: 28 Sep 2021",Individual - Consulting,Null,Null,Null,Null,Null,Null
SASEC National Single Window: Blockchain Developer,Status: Closed Deadline: 11 Oct 2021,53116-001; Regional; Information and communication technology; Posting date: 28 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Supporting COVID-19 Response and Vaccination Program - Financial Management Expert,Status: Closed Deadline: 11 Oct 2021,55082-002; India; Health; Posting date: 28 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
51036-PAK: Khyber Pakhtunkhwa Cities Improvement Project [OCB-Goods-KPCIP-01] - CORRIGENDUM,Status: Active Deadline: 27 Dec 2021,51036-002; Pakistan; Water and other urban infrastructure and services; Posting date: 28 Sep 2021,Invitation for Bids,Null,Null,Null,Null,Null,Null
51036-PAK: Khyber Pakhtunkhwa Cities Improvement Project [OCB/KPCIP/CW-04] - CORRIGENDUM,Status: Active Deadline: 27 Jan 2022,51036-002; Pakistan; Water and other urban infrastructure and services; Posting date: 28 Sep 2021,Invitation for Bids,Null,Null,Null,Null,Null,Null
51036-PAK: Khyber Pakhtunkhwa Cities Improvement Project [OCB/KPCIP/CW-03] - CORRIGENDUM,Status: Active Deadline: 22 Dec 2021,51036-002; Pakistan; Water and other urban infrastructure and services; Posting date: 28 Sep 2021,Invitation for Bids,Null,Null,Null,Null,Null,Null
51036-PAK: Khyber Pakhtunkhwa Cities Improvement Project [OCB/KPCIP/CW-02] - CORRIGENDUM,Status: Active Deadline: 13 Dec 2021,51036-002; Pakistan; Water and other urban infrastructure and services; Posting date: 28 Sep 2021,Invitation for Bids,Null,Null,Null,Null,Null,Null
51036-PAK: Khyber Pakhtunkhwa Cities Improvement Project [OCB/KPCIP/01 Lots 1-5] - CORRIGENDUM,Status: Active Deadline: 15 Nov 2021,51036-002; Pakistan; Water and other urban infrastructure and services; Posting date: 28 Sep 2021,Invitation for Bids,Null,Null,Null,Null,Null,Null
3918-BAN(COL): COVID-19 Response Emergency Assistance Project [Package No. W-01 Lot 4],Status: Closed Deadline: 27 Oct 2021,54173-001; Bangladesh; Health; Posting date: 28 Sep 2021,Invitation for Bids,3918,Null,Null,Null,Null,Null
"3849-IND: Public-Private Partnership in Madhya Pradesh Road Sector Project [Package Nos.: 17B, 34 (Rebidding), 46, 47 & 53]",Status: Active Deadline: 12 Nov 2021,51375-001; India; Transport; Posting date: 28 Sep 2021,Invitation for Bids,3849,Null,Null,Null,Null,Null
Master Plan for Road Connectivity,Status: Active Deadline: 02 Nov 2021,53195-002; Nepal; Transport; Posting date: 28 Sep 2021,Firm - Consulting,Null,Null,Null,Null,Null,Null
Improvement of 16.489 km of rural roads in Goplaganj District,Status: Awarded,"47243-004; Bangladesh; Agriculture, natural resources and rural development; Contract date: 28 Sep 2021",Contracts Awarded,Loan 3932,Local Government Engineering Department,Faridpur Jannat Construction Ltd - M/S. Kohinoor Enterprise (JV),Hasina Tower Mujib Sharak Faridpur ,"26,38,982.18","17,07,400.34"
Rehabilitation and upgrading of Telavi water supply system,Status: Awarded,51132-002; Georgia; Water and other urban infrastructure and services; Contract date: 28 Sep 2021,Contracts Awarded,Loan 3982,Ministry of Finance,China Geo-Engineering Corporation,Building B Yard 92 Xiangshan South Road Haidian District Beijing,"76,68,381.72","64,02,692.65"
Improvements to Water Supply Services in Akoda Nagar Parishad in Bhind District in Madhya Pradesh,Status: Awarded,42486-016; India; Water and other urban infrastructure and services; Contract date: 28 Sep 2021,Contracts Awarded,Loan 3974,Urban Development and Housing Department,S.R. Chaddha Industries Ltd. - Prachi Infrastructure Pvt. Ltd.,147/1030 Civil Lines Opp. ICICI Bank Near Circuit House Crossing Bareilly U.P. -243001,"18,23,729.00","13,12,138.67"
Improvement to Water Supply Services in Shahpur Ngar Parishad in Sagar District in Madhya Pradesh,Status: Awarded,42486-016; India; Water and other urban infrastructure and services; Contract date: 28 Sep 2021,Contracts Awarded,Loan 3974,Urban Development and Housing Department,Intergen Energy Ltd. - Mangalam Planners & Construction Pvt. Ltd,AI 6th floor Pavillion Building 339/2/1 Mehrauli Road Opposite SBI Gurgaon - 122001,"23,65,765.62","17,02,158.39"
Improvement of Water Supply Services in Bamhanibanjar and Niwas Nagar Parishads in Mandla District in Madhya Pradesh,Status: Awarded,42486-016; India; Water and other urban infrastructure and services; Contract date: 28 Sep 2021,Contracts Awarded,Loan 3974,Urban Development and Housing Department,Multiurban Infra Services Pvt. Ltd - VAB Agency,Sarvodaya Cloth Market Gandhibagh Nagpur (Maha) -440002,"53,25,936.32","38,31,988.72"
Civil Works Package Upgrading Rinjani Structure Way Batu Merah Ambon City Maluku (CW4B),Status: Awarded,"35182-043; Indonesia; Agriculture, natural resources and rural development; Contract date: 28 Sep 2021",Contracts Awarded,Loan 3440,"Directorate General of Water Resources, Ministry of Public Works & Housing, Republic of Indonesia",Jaya Konstruksi - Selaras Mandiri KSO,Kantor Taman Bintaro Jaya Gedung B Jalan Bintaro Raya Jakarta Postal Code 12330 Indonesia,"98,71,278.47","98,71,278.47"
Procurement of Micro (0.3ml) Syringes,Status: Awarded,54171-002; Philippines; Health; Contract date: 28 Sep 2021,Contracts Awarded,Loan 3961,Department of Health,United Nations Children's Fund,Philippine Office Address: 14/F North Tower RBC Building Sheridan corner United Streets Highway Hills Mandaluyong City; UNICEF Supply Division: Copenhagen,"30,52,400.00","30,52,400.00"
Loan 3961-PHI: Health System Enhancement to Address and Limit COVID- 19 [HEAL-W-02],Status: Closed Deadline: 18 Oct 2021,54171-002; Philippines; Health; Posting date: 27 Sep 2021,Invitation for Bids,3961,Null,Null,Null,Null,Null
Recruitment of Audit firm - Phase 1,Status: Closed Deadline: 27 Oct 2021,49122-004; Viet Nam; Education; Posting date: 27 Sep 2021,Firm - Consulting,Null,Null,Null,Null,Null,Null
CONSTRUCTION SUPPLY & INSTALLATION OF RICE SEED PROCESSING AN STORAGE FACILITIES FOR PREY KANDIENG SEED CENTER PREY VENG PROVINCE,Status: Awarded,"44321-013; Cambodia; Agriculture, natural resources and rural development; Contract date: 27 Sep 2021",Contracts Awarded,Loan 3007,Ministry of Economy and Finance,TAING CHENG OING CONSTR. & IMPORT EXPORT CO. ,#80 STR. 6A SKUN VILL. SOTIP COMMUNE CHOEUNG PREY DISTRICT KAMPONG CHAM CAMBODIA,"25,95,879.00","23,36,291.32"
CONSTRUCTION SUPPLY & INSTALLATION OF RICE SEED PROCESSING AN STORAGE FACILITIES FOR ANG POR SEED CENTER IN BATTAMBANG,Status: Awarded,"44321-013; Cambodia; Agriculture, natural resources and rural development; Contract date: 27 Sep 2021",Contracts Awarded,Loan 3007,Ministry of Economy and Finance,TAING CHENG OING CONSTR. & IMPRT EXPRT CO. ,#80 STR. 6A SKUN VILL. SOTIP COMMUNE CHOEUNG PREY DISTRICT KAMPONG CHAM CAMBODIA,"25,96,043.00","23,36,438.59"
Micro-purification System,Status: Awarded,"46050-002; China, Peoples Republic of; Agriculture, natural resources and rural development; Contract date: 27 Sep 2021",Contracts Awarded,Loan 3168,Huanggang Municipal Government,JV of Hunan Shuimu Water Conservancy and Hydropower Engineering Co. Ltd. and Beijing Origin Water Membrane Technology Co. Ltd.,Room 1903 Floor 19 Building NO. NH1 Rongke Southeast Sea Community No. 469 Xiangzhang Road Yuhua District Changsha Hunan in China,"15,35,186.54","15,35,186.54"
Civil Works for Section 2B Epkin - Dyikan [Bashkuugandy] Road [km 89+500 - km 159+200],Status: Awarded,48401-007; Kyrgyz Republic; Transport; Contract date: 27 Sep 2021,Contracts Awarded,Loan 3432,Ministry of Transport and Communications ,China Railway No. 5 Engineering Group Co. Ltd.,#23 Zaoshan Road Guiyang Guizhou Province P.R. China,"2,26,78,001.26","2,26,78,001.26"
CMP retroactive financing (Jan-May 2021),Status: Awarded,54214-002; Mongolia; Public sector management; Contract date: 27 Sep 2021,Contracts Awarded,Loan 4051,Ministry of Labor and Social Protection,Ministry of Labor and Social Protection,Ulaanbaatar Mongolia,"53,28,038.80","53,28,038.80"
CMP (June 2021),Status: Awarded,54214-002; Mongolia; Public sector management; Contract date: 27 Sep 2021,Contracts Awarded,Loan 4051,Ministry of Labor and Social Protection,Ministry of Labor and Social Protection,Ulaanbaatar Mongolia,"2,10,37,973.08","2,10,37,973.08"
Package QT06: Construction of Inundationprevention system of Thuan-Trach -Trung-Tai Ba-Que-Vinh-Duong-Thanh communes in Trieu Phong and Hai Lang districts Quang Tri province,Status: Awarded,49026-003; Viet Nam; Transport; Contract date: 27 Sep 2021,Contracts Awarded,Loan 3635,Provincial People's Committee of Quang Tri Province,JV of Cong ty CPXD De ke & PTNT Hai Duong Cong ty CPXD tong hop Quang Tri Cong ty CPDTXD Dai Hong ,No.01 Thanh Nien strees Tran Hung Dao ward Hai Duong city Hai Duong province; 48 Ngo quyen Ward 5 Dong Ha Quang Tri 28 Doan Khue Ward 5 Dong Ha Quang Tri ,"43,37,269.51","39,43,492.26"
Construction Supervision Consultant,Status: Awarded,52097-002; Nepal; Transport; Contract date: 27 Sep 2021,Contracts Awarded,Loan 3846,Ministry of Physical Infrastructure and Transport,M/S Renardet S.A.-Soil Test (P.) Ltd.- CEMAT Gonsultants (P.) Ltd.,50 rue Rothschild Geneva Switzerland 1202 Switzerland,"74,00,000.00","55,89,787.07"
Financial Management Consultant,Status: Awarded,54173-001; Bangladesh; Health; Contract date: 27 Sep 2021,Contracts Awarded,Loan 3918,Ministry of Health and Family Welfare,Md. Abdul Alim Talukder,H # B-16/E-4 (3rd Floor) Moyuri Government Officers Quarter Eskaton GardEln Road Romna Dhaka-1000 Bangladesh. ,"1,16,866.30","1,16,214.14"
Construction Supervision Company,Status: Awarded,"46050-002; China, Peoples Republic of; Agriculture, natural resources and rural development; Contract date: 27 Sep 2021",Contracts Awarded,Loan 3168,Huanggang Municipal Government,HUBEI HUAZHENG ENGINEERING CONSULTING SERVICE CO. LTD.,No. 46 Changhongbei Road Xiangyang City Hubei Province. ,"2,82,206.84","2,82,206.84"
Detailed Design Preparation for Vera Park Rehabilitation,Status: Awarded,53118-002; Georgia; Water and other urban infrastructure and services; Contract date: 27 Sep 2021,Contracts Awarded,Loan 6024,Tbilisi City Municipality,Atelier Architects LLC,A. Politkovskaia Str. 3 Tbilisi,"2,64,912.46","2,22,963.18"
Digital Health Expert/Health Information Technology Experts – Health,Status: Closed Deadline: 02 Oct 2021,54182-001; India; Public sector management; Posting date: 26 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
