S.No,e-Published Date,Bid Submission Closing Date,Tender Opening Date,Title and Ref,Organisation Chain
309.,17-Aug-2023 05:30 PM,24-Aug-2023 05:45 PM,26-Aug-2023 10:00 AM,[Construction of retaining wall and soil filling at utility house for bldg. no. RK 101 inside factory at O.F.Bhandara.] [No.EO/51/ND2317/BF][2023_MIL_164748_1],Munitions India Limited||Ordnance Factory Bhandara Bhandara Maharashtra
310.,17-Aug-2023 10:00 AM,24-Aug-2023 06:00 PM,26-Aug-2023 11:00 AM,"[Arrangement of potable water supply at BSNL Staff Quarter Compound, Chenikuthi, Guwahati, Assam for a period of 6 (six) months (From July 2023 to Dec 2023] [eNIT14/BSNL/CDGH/2023-24][2023_BSNL_164592_2]","Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Assam Telecom Circle Guwahati||CE (Civil)||EE (Civil), Guwahati"
311.,14-Aug-2023 06:00 PM,24-Aug-2023 06:00 PM,28-Aug-2023 03:30 PM,[Day to Day Civil Maintenance works of TE Building and Staff Quarters at Mirzapur Operational area under Varanasi Business Area during year 2023 24] [01/2023-24/EEBSNLCD/VNS][2023_BSNL_164499_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||UP(EAST) Telecom Circle||Business Area Varanasi
312.,31-Jul-2023 06:55 PM,24-Aug-2023 06:00 PM,25-Aug-2023 10:30 AM,[Providing additional Trestle ] [CS 5447][2023_NTECL_162858_1],NTECL
313.,19-Aug-2023 06:00 PM,24-Aug-2023 06:00 PM,28-Aug-2023 03:30 PM,[Special repair to TIII BSNL Staff Quarters at Subedarganj BSNL Compound in Allahabad ] [13/2023-24/BSNL/CD/PRJ ][2023_BSNL_165093_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||UP(EAST) Telecom Circle||Business Area Allahabad
314.,19-Aug-2023 05:55 PM,24-Aug-2023 06:00 PM,25-Aug-2023 06:05 PM,"[SITC of LAN , CCTV, Digital Communication and Fire Detection orks in New Hospital Building, Baran Phase-II] [T-372/L-1/EB-Tender/2023-24/2 Dated 19.08.23][2023_BSNL_165064_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Rajasthan Telecom Circle||GMTD-Kota
315.,26-Jul-2023 05:00 PM,24-Aug-2023 06:00 PM,28-Aug-2023 11:00 AM,[SITC of Soldering Stations Qty-3] [AAI/CNS/SMU/HYD/SOLDERING/2023][2023_AAI_162427_1],Airports Authority of India||Southern Region - AAI||HYDERABAD - AAI||ENGG CIVIL-VOHY - AAI
316.,02-Aug-2023 04:30 PM,24-Aug-2023 06:00 PM,25-Aug-2023 06:00 PM,[Development of Sarsawa Airport Saharanpur for RCS Operations SH Provision of Taxiway Lights.] [AAI/DDN/SARSAWA/TAXIWAY/23-24][2023_AAI_162925_1],Airports Authority of India||Northern Region - AAI||RHQ-NR - AAI||ENGG ELECT-NR - AAI
317.,28-Jul-2023 02:00 PM,24-Aug-2023 06:00 PM,25-Aug-2023 06:00 PM,[License for Snack Bar Departure Hall at Kadapa Airport] [AAI/KDP/COML/2023][2023_AAI_162617_1],Airports Authority of India||Southern Region - AAI||TIRUPATI - AAI||ENGG CIVIL-VOTP - AAI
318.,17-Aug-2023 10:00 AM,24-Aug-2023 06:00 PM,26-Aug-2023 11:00 AM,"[Arrangement of potable water supply at BSNL Staff Quarter Compound, Chenikuthi, Guwahati, Assam for a period of 6 (six) months (From July 2023 to Dec 2023] [eNIT14/BSNL/CDGH/2023-24][2023_BSNL_164592_2]","Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Assam Telecom Circle Guwahati||CE (Civil)||EE (Civil), Guwahati"
319.,11-Aug-2023 01:00 PM,25-Aug-2023 09:00 AM,29-Aug-2023 09:00 AM,[Supply of PPI make Bare Vacuum Pumps] [JPL/CnM/23-24/ 1100011837][2023_JPL_164196_1],Jhabua Power Ltd
320.,17-Aug-2023 01:00 PM,25-Aug-2023 10:00 AM,25-Aug-2023 10:00 AM,[Specialized Electrical Work-CSPZ] [MCD/TR/4084/2023_6_1_1/1][2023_MCD_164694_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD
321.,17-Aug-2023 06:00 PM,25-Aug-2023 10:00 AM,25-Aug-2023 01:00 PM,[EEE/SZ/2023-24/Nit.04] [EE(E and M)/SZ/NIT.04][2023_MCD_164799_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD
322.,03-Jul-2023 09:00 AM,25-Aug-2023 10:00 AM,26-Aug-2023 10:30 AM,"[Manpower assistance in operation of crushed coal feeding system of CHP,BTPS.] [DVC/Tender/BTPS/CHP 1/CnM/WandS/19][2023_DVC_159636_1]",Damodar Valley Corporation||BTPS Bokaro - DVC||C and M
323.,17-Aug-2023 01:00 PM,25-Aug-2023 10:00 AM,25-Aug-2023 10:00 AM,[Electrical Work-CSPZ] [MCD/TR/3941/2023_6_1_1/1][2023_MCD_164688_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD
324.,17-Aug-2023 01:00 PM,25-Aug-2023 10:00 AM,25-Aug-2023 10:00 AM,[Specialized Electrical Work-CSPZ] [MCD/TR/4084/2023_6_1_1/1][2023_MCD_164694_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD
325.,04-Aug-2023 09:30 AM,25-Aug-2023 10:00 AM,26-Aug-2023 10:30 AM,[Supply of Tobogun Spiral Chute for Cement bag transport] [RCF/MM/383(22)][2023_CCI_163287_1],Cement Corporation of India Limted||Rajban Cement Factory - CCI
326.,01-Jul-2023 12:00 PM,25-Aug-2023 10:00 AM,26-Aug-2023 10:30 AM,"[Manpower assistance in operation of Conveyor 15 n16 and auxiliaries of CHP, BTPS.] [DVC/Tender/BTPS/CHP/CnM/WnS/17][2023_DVC_159533_1]",Damodar Valley Corporation||BTPS Bokaro - DVC||C and M
327.,18-Aug-2023 06:55 PM,25-Aug-2023 10:00 AM,25-Aug-2023 01:00 PM,[EEE/SZ/2023-24/Nit.33] [MCD/EST/4191/2023_6_1_1][2023_MCD_164981_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD
328.,17-Aug-2023 01:00 PM,25-Aug-2023 10:00 AM,25-Aug-2023 10:00 AM,[Electrical Work] [MCD/TR/3942/2023_6_1_1/1][2023_MCD_164689_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD
329.,17-Aug-2023 01:00 PM,25-Aug-2023 10:00 AM,25-Aug-2023 10:00 AM,[Electrical Work-CSPZ] [MCD/TR/3947/2023_6_1_1/1][2023_MCD_164691_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD
330.,26-Jul-2023 03:00 PM,25-Aug-2023 11:00 AM,26-Aug-2023 11:00 AM,[Independent Engineer (IE) Services for Operation and Maintenance Stage of Widening of Pipli-Bhavnagar-Section Pkg 1 from km136.025 to 169.328 (Design Chainage km 136.000 to 169.308) Near Adhelai Village to Nari Junction to 4L in the State of Gujarat] [NHAI/RO-GNR/Pip-Bhav /Pkg-1/OM/2023][2023_NHAI_162398_1],National Highways Authority of India||RO-Gandhinagar - NHAI
331.,26-Jul-2023 11:00 AM,25-Aug-2023 11:00 AM,26-Aug-2023 11:00 AM,[Construction of Foot Over Bridge at Km 48.700 VVV College for women in Madurai Kanyakumari section of NH44 in the State of Tamil Nadu] [NHAI/PD/MDU/Tender/05/2023/PIU Madurai][2023_NHAI_162346_1],National Highways Authority of India||RO-Chennai - NHAI||Madurai - NHAI
332.,27-Jul-2023 05:30 PM,25-Aug-2023 11:00 AM,28-Aug-2023 11:30 AM,[Provision of Hydro-Pneumatic and other pumps at Vijayawada Airport] [AAI/BZ/JGM (E)/eNIT-CW-04/2023-24][2023_AAI_160192_1],Airports Authority of India||Southern Region - AAI||RHQ-SR - AAI||ENGG ELECT-SR - AAI
333.,26-Jul-2023 03:00 PM,25-Aug-2023 11:00 AM,26-Aug-2023 11:00 AM,[Independent Engineer (IE) Services for Operation and Maintenance Stage of Widening of Pipli-Bhavnagar-Section Pkg 1 from km136.025 to 169.328 (Design Chainage km 136.000 to 169.308) Near Adhelai Village to Nari Junction to 4L in the State of Gujarat] [NHAI/RO-GNR/Pip-Bhav /Pkg-1/OM/2023][2023_NHAI_162398_1],National Highways Authority of India||RO-Gandhinagar - NHAI
334.,17-Aug-2023 06:00 PM,25-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,"[EOI for Selection of Partner for Procurement Implementation of (SWG),SecureEmailGateway(SEG) and Endpointprotection(EPP)with EDR solutions for users and endpoints at CRIS,New Delhi,ROsand DR DC,Secunderabad with 3 yr comprehensive Warranty and SS] [TCIL/ITT4/CRIS/SWGSEGEPP/I/23][2023_TCIL_164801_1]",Telecommunications Consultants India Limited||Corporate Office - TCIL Bhawan||IT Division - TCIL
335.,05-Aug-2023 11:30 AM,25-Aug-2023 11:30 AM,26-Aug-2023 12:30 PM,[E-Tender for Maintenance of Radio Equipment BTS in Bastar BA] [W-19-606/GMBA/BASTAR][2023_BSNL_163504_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Chhattisgarh Telecom Circle- Raipur||GMTD Bastar
336.,01-Aug-2023 05:00 PM,25-Aug-2023 11:30 AM,25-Aug-2023 05:00 PM,"[Supply, Installation, Testing, Commissioning and Annual Maintenance of IT hardware and related software for BSNL Centralized Mobile Billing System and Probe based IPDR Management Solution. ] [MM/NWP-GSM/CBS-IPDR/T-768/2023 Dated 20-07-2][2023_BSNL_162064_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||BSNL Corporate Office- New Delhi||MM Cell BSNL Corporate Office
337.,14-Aug-2023 05:00 PM,25-Aug-2023 12:00 PM,26-Aug-2023 12:00 PM,[SUPPLY OF CASTINGS] [ILP/ AD2/ADC031/23-24/TE-0910][2023_ILTD_164509_1],Instrumentation Ltd ( Govt of India Enterprise)||Palakkad ( Kerala)
338.,18-Aug-2023 10:00 AM,25-Aug-2023 12:00 PM,25-Aug-2023 12:10 PM,[NIT NO. 14 ITEM NO. 01] [EE/Elect/WestZone/2023-24/14][2023_MCD_164839_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD
339.,18-Aug-2023 10:00 AM,25-Aug-2023 12:00 PM,25-Aug-2023 12:10 PM,[NIT NO. 14 ITEM NO. 02] [EE/Elect/WestZone/2023-24/14][2023_MCD_164839_2],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD
340.,18-Aug-2023 10:00 AM,25-Aug-2023 12:00 PM,25-Aug-2023 12:10 PM,[NIT NO. 14 ITEM NO. 03] [EE/Elect/WestZone/2023-24/14][2023_MCD_164839_3],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD
341.,03-Jul-2023 11:00 AM,25-Aug-2023 12:00 PM,25-Aug-2023 04:00 PM,"[Supply, Installation and Commissioning, of OTN equipment under OTN Phase-4 project on turnkey basis in BSNL Pan India with three years of O and M services and comprehensive AMC of 8 years after successful completion of one year warranty] [MM/CNP/OTN/T-765/2023 issued on 26.06.2023][2023_BSNL_159366_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||BSNL Corporate Office- New Delhi||MM Cell BSNL Corporate Office
342.,14-Aug-2023 05:00 PM,25-Aug-2023 12:00 PM,26-Aug-2023 12:00 PM,[SUPPLY OF CASTINGS] [ILP/ AD2/ADC031/23-24/TE-0910][2023_ILTD_164509_1],Instrumentation Ltd ( Govt of India Enterprise)||Palakkad ( Kerala)
343.,03-Aug-2023 06:55 PM,25-Aug-2023 12:00 PM,25-Aug-2023 12:30 PM,"[EOI forSelection of vendor for Supply, installation, configuration, testing and commissioning of Structured Local Area Network in Haryana ] [TCIL/ITTIII/97/2023][2023_TCIL_163334_1]",Telecommunications Consultants India Limited||Corporate Office - TCIL Bhawan||IT Division - TCIL
344.,08-Aug-2023 12:30 PM,25-Aug-2023 12:00 PM,25-Aug-2023 01:00 PM,"[Selection of Partner for Design, Development, SITC, OnM for 05 years of Integrated Command and Control Center (ICCC) and other associated activities for Puducherry Smart City Area] [TCIL/ITSC/55/2023][2023_TCIL_163003_2]",Telecommunications Consultants India Limited||Corporate Office - TCIL Bhawan||MM Division - TCIL
345.,25-Jul-2023 05:00 PM,25-Aug-2023 12:30 PM,26-Aug-2023 01:00 PM,[Rectification of 02 Nos Black Spots under PIU Chhindwara] [NHAI/RO-MP/CHW/Blackspot/2023][2023_NHAI_162306_1],National Highways Authority of India||RO-Bhopal - NHAI||Jabalpur - NHAI
346.,04-Aug-2023 01:30 PM,25-Aug-2023 01:00 PM,26-Aug-2023 02:00 PM,"[HIRING OF SERVICES FOR PAINTING OF BUILDINGS AT GAIL (INDIA) LIMITED, GAS PROCESSING UNIT, GANDHAR] [GAIL/GDR/LPG/CNP/CIVIL/W2K2327][2023_GAIL_162377_1]",GAIL (India) Limited||GAIL India Limited- Noida
347.,04-Aug-2023 06:00 PM,25-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,"[Selection of Consortium Partner For Supply, Installation, Testing, Commissioning and Annual Maintenance of IT hardware and related software for BSNL Centralized Mobile Billing System and Probe based IPDR] [TCIL/ITBD/BSNL/I/2023][2023_TCIL_163472_1]",Telecommunications Consultants India Limited||Corporate Office - TCIL Bhawan||Business Development Division - TCIL
348.,12-Aug-2023 04:30 PM,25-Aug-2023 01:00 PM,26-Aug-2023 02:00 PM,"[ANNUAL MAINTENANCE CONTRACT FOR MECHANICAL ASSISTANCE SERVICES FOR GAIL (INDIA) LIMITED, GAS PROCESSING UNIT, GANDHAR FOR 36 MONTHS ] [GAIL/GDR/LPG/CNP/MECH/W2K2331][2023_GAIL_163462_1]",GAIL (India) Limited||GAIL India Limited- Noida
349.,10-Jun-2023 06:00 PM,25-Aug-2023 02:00 PM,26-Aug-2023 03:00 PM,[Call base repairing of Split AC Window AC units at various sites TE bldg. under BA Junagadh. (Revised of NIT 03 EEE (R )BSNL ED2023- 24)] [06/EEE (R )/BSNL ED/2023-24][2023_BSNL_157066_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Gujarat Telecom Circle||CE (Electrical)
350.,02-Aug-2023 06:00 PM,25-Aug-2023 02:00 PM,26-Aug-2023 03:00 PM,[Service contract for checking and troubleshooting of Durag make ESP Opacity analyzers at IGSTPP Jharli Jhajjar Haryana] [CRN 3992][2023_APCPL_159664_2],Aravali Power Company Pvt. Ltd - IGSTPP||Contract and Materials - APCPL
351.,10-Aug-2023 03:00 PM,25-Aug-2023 02:00 PM,26-Aug-2023 10:00 AM,"[TERM CONTRACT FOR ARTIFICERS WORK IN ADMIN, ACCOUNTS, DSC, HVFTS AND PRC BUILDING AT HVF, AVADI ] [HVF/TE/13025/CEO/2023-24/33][2023_AVNL_163774_1]",Armoured Vehicles Nigam Limited||Heavy Vehicles Factory - Avadi
352.,20-Jul-2023 03:00 PM,25-Aug-2023 02:00 PM,26-Aug-2023 10:00 AM,[PROVISION OF PUMPING ARRANGEMENTS TO TREATED SEWAGE WATER FROM SEWAGE TREATMENT PLANT TO NEARBY PARKS AT HVF ESTATE AND FACTORY] [HVF/TE/13025/CEO/2023-24/31][2023_AVNL_161332_1],Armoured Vehicles Nigam Limited||Heavy Vehicles Factory - Avadi
353.,11-Aug-2023 02:00 PM,25-Aug-2023 02:00 PM,26-Aug-2023 02:00 PM,"[E-Tender for SLA based Operation and Maintenance of Telecom Sites, Watch and ward ,Cleaning-sweeping of Building and Office assist work in Raipur OA under Raipur BA] [SLA based Operation and Maintenance of Telecom][2023_BSNL_164121_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Chhattisgarh Telecom Circle- Raipur
354.,02-Aug-2023 06:00 PM,25-Aug-2023 02:00 PM,26-Aug-2023 03:00 PM,[Service contract for checking and troubleshooting of Durag make ESP Opacity analyzers at IGSTPP Jharli Jhajjar Haryana] [CRN 3992][2023_APCPL_159664_2],Aravali Power Company Pvt. Ltd - IGSTPP||Contract and Materials - APCPL
355.,18-Aug-2023 04:30 PM,25-Aug-2023 02:00 PM,26-Aug-2023 02:30 PM,"[Setting up of smart class room at Govt. ITI, Berhampur under CSR FY-2023-24] [01-23988/CSR][2023_IREL_163271_2]",IREL (INDIA) Limited||Corporate Office Mumbai - IREL
356.,11-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,25-Aug-2023 03:00 PM,[SUPPLY OF D33 METER] [C-2(b)/RC/206/00863/2023][2023_CEL_164215_1],Central Electronics Limited
357.,04-Aug-2023 03:30 PM,25-Aug-2023 02:30 PM,26-Aug-2023 03:00 PM,[Supply of Membrane for Membrane coupling of torsion shaft of cement mill] [RCF/MM/374(22)/][2023_CCI_163408_1],Cement Corporation of India Limted||Rajban Cement Factory - CCI
358.,29-Jun-2023 05:00 PM,25-Aug-2023 02:30 PM,26-Aug-2023 10:30 AM,[LT Panel Relay] [NFV/PUR/BEA220802-P][2023_NFL_159356_1],National Fertilizers Limited||NFL Unit- Vijaipur||Materials Deptt
359.,02-Aug-2023 06:30 PM,25-Aug-2023 02:30 PM,25-Aug-2023 03:00 PM,[Supply of micrometer and other instruments as per Annexure A] [603/0216/202][2023_CEL_163172_1],Central Electronics Limited
360.,01-Aug-2023 12:00 PM,25-Aug-2023 02:30 PM,26-Aug-2023 03:00 PM,[SERVICING AND OVERHAULING OF GE MAKE AIR CIRCUIT BREAKERS AT NTECL] [CS-5300][2023_NTECL_148315_1],NTECL
361.,18-Aug-2023 02:30 PM,25-Aug-2023 02:45 PM,28-Aug-2023 10:00 AM,[Provision of electrification work in plant house utility bldg for RK-101 and RK-102 inside factory at O. F. Bhandara.] [No.EO/51/ND2323/BF][2023_MIL_164863_1],Munitions India Limited||Ordnance Factory Bhandara Bhandara Maharashtra
362.,18-Aug-2023 02:30 PM,25-Aug-2023 02:45 PM,28-Aug-2023 10:00 AM,[Provision of electrification work in plant house utility Bldg for PO-3 and peripheral lighting of PO-2 bldg inside factory at O. F. Bhandara.] [No.EO/51/ND2324/BF][2023_MIL_164848_1],Munitions India Limited||Ordnance Factory Bhandara Bhandara Maharashtra
363.,19-Aug-2023 12:00 PM,25-Aug-2023 03:00 PM,26-Aug-2023 03:00 PM,[Supply of EJB 103 ] [ILP/ SC2/ADP 135/48 TE-0901][2023_ILTD_165041_1],Instrumentation Ltd ( Govt of India Enterprise)||Palakkad ( Kerala)
364.,18-Aug-2023 01:00 PM,25-Aug-2023 03:00 PM,25-Aug-2023 03:05 PM,[Civil Work] [MCD/TR/5230/2023_5_1_1/1][2023_MCD_164865_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
365.,12-Aug-2023 10:00 AM,25-Aug-2023 03:00 PM,26-Aug-2023 03:30 PM,"[Repair of existing drainage and PCC/Misc Works of playfields of the proposed Lawn Tennis Court, Basket Ball Court, Volleyball court and fencing at Sainik School-3rd call] [12/98/BO/2022-23/278][2023_NPCC_164263_1]",National Projects Construction Corporation Limited||Western Zone (Mumbai) - NPCC
366.,17-Aug-2023 09:00 AM,25-Aug-2023 03:00 PM,25-Aug-2023 03:05 PM,[Civil Work] [MCD/TR/1111/2023_5_1_1/1][2023_MCD_164682_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
367.,14-Jul-2023 04:30 PM,25-Aug-2023 03:00 PM,25-Aug-2023 04:00 PM,[AMC of PLCC/FORTE for 400 KV switchyard.] [NIT/23-24/48 Dated 14.07.2023][2023_MUNPL_161112_1],Meja Urja Nigam Pvt Ltd||Meja Thermal Power Project - MUNPL||Contracts and Materials - MUNPL
368.,11-Aug-2023 04:00 PM,25-Aug-2023 03:00 PM,26-Aug-2023 03:00 PM,[Supply of Spares for Hi-Tech Make Sugar Weighing and Bagging Machine at HBL Lauriya.] [HBL/TEN/PUB/23-24/170 ][2023_HPCLB_164271_1],HPCL Biofuels Limited||Purchase (Patna)
369.,18-Aug-2023 01:00 PM,25-Aug-2023 03:00 PM,25-Aug-2023 03:05 PM,[Civil Work] [MCD/TR/5479/2023_5_1_1/1][2023_MCD_164869_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
370.,07-Aug-2023 06:00 PM,25-Aug-2023 03:00 PM,26-Aug-2023 03:00 PM,[2/PE230440/1] [2/PE230440/1][2023_UCIL_163638_1],Uranium Corporation of India Limited||Purchase Department-Tummalapalle - UCIL||Purchase Department-Tummalapalle - UCIL
371.,18-Jul-2023 12:00 PM,25-Aug-2023 03:00 PM,26-Aug-2023 03:00 PM,[Procurement of Lifting Equipment at Bokajan Cement Factory of CCI] [BKJ/MM/M-5859/23-24][2023_CCI_161441_1],Cement Corporation of India Limted||Bokajan Cement Factory - CCI
372.,11-Aug-2023 11:30 AM,25-Aug-2023 03:00 PM,26-Aug-2023 03:30 PM,[Supply for shaft for cable rope pulley] [RCF/MM/127(23)][2023_CCI_164194_1],Cement Corporation of India Limted||Rajban Cement Factory - CCI
373.,17-Aug-2023 09:00 AM,25-Aug-2023 03:00 PM,25-Aug-2023 03:05 PM,[Civil Work] [MCD/TR/1111/2023_5_1_1/1][2023_MCD_164682_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
374.,18-Aug-2023 03:00 PM,25-Aug-2023 03:00 PM,25-Aug-2023 03:05 PM,[Civil Work] [MCD/TR/5316/2023_5_1_1/1][2023_MCD_164896_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
375.,01-Aug-2023 05:00 PM,25-Aug-2023 03:00 PM,26-Aug-2023 03:00 PM,[Annual Maintenance Contract AMC of two 02 Machines Installed at IGSTPP Hospital] [IGSTPP/CS/23-24/CRN-4010][2023_APCPL_162916_1],Aravali Power Company Pvt. Ltd - IGSTPP||Contract and Materials - APCPL
376.,04-Aug-2023 06:00 PM,25-Aug-2023 03:00 PM,28-Aug-2023 11:00 AM,"[Installation of New ILS Equipments at HAL Airport, Bangalore SHOther Electrical Works] [AAI/BG/ENGG(E)/HAL/ILS WORKS/2023-24][2023_AAI_163107_1]",Airports Authority of India||Southern Region - AAI||BANGALORE - AAI||ENGG ELECT-VOBG - AAI
377.,04-Aug-2023 01:00 PM,25-Aug-2023 03:00 PM,26-Aug-2023 03:00 PM,[License for Handicrafts and Gifts Counter in Ground Floor SHA of NITB at S.V. Airport Raipur.] [AAI/RPR/COMML/HANDICRAFT/2023][2023_AAI_163364_1],Airports Authority of India||Eastern Region - AAI||RHQ-ER - AAI||COMMERCIAL-ER - AAI
378.,04-Aug-2023 01:00 PM,25-Aug-2023 03:00 PM,26-Aug-2023 03:00 PM,[License for Branded Food Outlet in Ground Floor SHA of NITB at S.V. Airport Raipur] [AAI/RPR/COMML/BRANDEDFOOD/2023][2023_AAI_163377_1],Airports Authority of India||Eastern Region - AAI||RHQ-ER - AAI||COMMERCIAL-ER - AAI
379.,04-Aug-2023 03:00 PM,25-Aug-2023 03:00 PM,26-Aug-2023 03:00 PM,[EXPRESSION OF INSTREST (EOI)] [HCL/CO/M and C/EOI-MCP/1][2023_HCL_163375_1],Hindustan Copper Limited||Malanjkhand Copper Project - Madhya Padesh||Materials and Contracts Department
380.,04-Aug-2023 04:15 PM,25-Aug-2023 03:00 PM,28-Aug-2023 03:30 PM,"[Construction of New ILS and associated Civil Works at HAL Airport, Bangalore. SH Civil and Internal Electrical Works] [AAI/BG/ENGG(C)/NEW ILS-HAL/2023-24][2023_AAI_163322_1]",Airports Authority of India||Southern Region - AAI||RAJAHMUNDRY - AAI||ENGG CIVIL-VORY - AAI
381.,18-Aug-2023 06:00 PM,25-Aug-2023 03:00 PM,25-Aug-2023 03:05 PM,[ E.E. (M-III)/WZ/2023-24/TC/10/1 ] [E.E. (M-III)/WZ/2023-24/TC/10/1][2023_MCD_164928_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
382.,18-Jul-2023 12:00 PM,25-Aug-2023 03:00 PM,26-Aug-2023 03:00 PM,[Procurement of Lifting Equipment at Bokajan Cement Factory of CCI] [BKJ/MM/M-5859/23-24][2023_CCI_161441_1],Cement Corporation of India Limted||Bokajan Cement Factory - CCI
383.,18-Aug-2023 03:10 PM,25-Aug-2023 03:00 PM,25-Aug-2023 03:05 PM,[Civil Work] [MCD/TR/4081/2023_5_1_1/1][2023_MCD_164902_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
384.,18-Aug-2023 03:00 PM,25-Aug-2023 03:00 PM,25-Aug-2023 03:05 PM,[Civil Work] [MCD/TR/5484/2023_5_1_1/1][2023_MCD_164899_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
385.,11-Aug-2023 11:30 AM,25-Aug-2023 03:00 PM,26-Aug-2023 03:30 PM,[Supply for shaft for cable rope pulley] [RCF/MM/127(23)][2023_CCI_164194_1],Cement Corporation of India Limted||Rajban Cement Factory - CCI
386.,13-Apr-2023 02:00 PM,25-Aug-2023 03:00 PM,26-Aug-2023 03:30 PM,[MEDIUM VOLTAGE (MV) POWER DISTRIBUTION SYSTEM INCLUDING 11/6.6kV SUBSTATIONS AND UNDERGROUND SUBSTATIONS ] [HCL/MandC/MCP/MV/2022-23/01][2023_HCL_151602_1],Hindustan Copper Limited||Corporate Office - Kolkata||Materials and Contracts Department
387.,04-Aug-2023 06:00 PM,25-Aug-2023 03:00 PM,28-Aug-2023 11:00 AM,"[Installation of New ILS Equipments at HAL Airport, Bangalore SHOther Electrical Works] [AAI/BG/ENGG(E)/HAL/ILS WORKS/2023-24][2023_AAI_163107_1]",Airports Authority of India||Southern Region - AAI||BANGALORE - AAI||ENGG ELECT-VOBG - AAI
388.,11-Aug-2023 02:00 PM,25-Aug-2023 03:00 PM,26-Aug-2023 03:30 PM,[Hiring of Taxis/Vehicles] [7/70/NBRI/TAXI/23-24 -Gl.][2023_CSIR_164217_1],Council of Scientific and Industrial Research||NBRI-LUcknow - CSIR||Purchase-NBRI - CSIR
389.,04-Aug-2023 01:00 PM,25-Aug-2023 03:00 PM,26-Aug-2023 03:00 PM,[License for Handicrafts and Gifts Counter in Ground Floor SHA of NITB at S.V. Airport Raipur.] [AAI/RPR/COMML/HANDICRAFT/2023][2023_AAI_163364_1],Airports Authority of India||Eastern Region - AAI||RHQ-ER - AAI||COMMERCIAL-ER - AAI
390.,04-Aug-2023 01:00 PM,25-Aug-2023 03:00 PM,26-Aug-2023 03:00 PM,[License for Branded Food Outlet in Ground Floor SHA of NITB at S.V. Airport Raipur] [AAI/RPR/COMML/BRANDEDFOOD/2023][2023_AAI_163377_1],Airports Authority of India||Eastern Region - AAI||RHQ-ER - AAI||COMMERCIAL-ER - AAI
391.,18-Aug-2023 06:05 PM,25-Aug-2023 03:00 PM,25-Aug-2023 03:05 PM,[E.E. (M-III)/WZ/2023-24/TC/10/3] [E.E. (M-III)/WZ/2023-24/TC/10/3][2023_MCD_164933_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
392.,19-Aug-2023 12:00 PM,25-Aug-2023 03:00 PM,26-Aug-2023 03:00 PM,[Supply of EJB 103 ] [ILP/ SC2/ADP 135/48 TE-0901][2023_ILTD_165041_1],Instrumentation Ltd ( Govt of India Enterprise)||Palakkad ( Kerala)
393.,01-Aug-2023 01:00 PM,25-Aug-2023 03:00 PM,26-Aug-2023 03:00 PM,[BOT Spares] [100001026][2023_APCPL_162898_1],Aravali Power Company Pvt. Ltd - IGSTPP||Contract and Materials - APCPL
394.,13-Apr-2023 02:00 PM,25-Aug-2023 03:00 PM,26-Aug-2023 03:30 PM,[MEDIUM VOLTAGE (MV) POWER DISTRIBUTION SYSTEM INCLUDING 11/6.6kV SUBSTATIONS AND UNDERGROUND SUBSTATIONS ] [HCL/MandC/MCP/MV/2022-23/01][2023_HCL_151602_1],Hindustan Copper Limited||Corporate Office - Kolkata||Materials and Contracts Department
