S.No,e-Published Date,Bid Submission Closing Date,Tender Opening Date,Title and Ref.No./Tender ID,Details,Locations,Sector,Subsector
218.0,30-Aug-2023 11:00 AM,11-Sep-2023 03:00 PM,13-Sep-2023 11:00 AM,"[Minor Electrification Works at Battery Testing lab (Stone Building) at CSIR-CECRI, Karaikudi] [CSIR CECRI NIT No 04/2023] [2023_CSIR_166047_1]",Council of Scientific and Industrial Research||CECRI-Karaikudi - CSIR||ESD-CECRI - CSIR,,Minor,"CSIR - CECRI , Karaikudi"
219.0,12-Aug-2023 05:15 PM,11-Sep-2023 03:00 PM,12-Sep-2023 03:30 PM,[Facility Services in NHAIs Regional Office and its PIU Providing Manpower Services] [NHAI/RO-West/ Manpower/01] [2023_NHAI_164403_1],National Highways Authority of India||RO-Lucknow(W) - NHAI,['INDIA'],Facility,NHAIs Regional Office and its PIU Providing Manpower Services
220.0,05-Jul-2023 04:00 PM,11-Sep-2023 03:00 PM,12-Sep-2023 03:00 PM,"[Grant of License for Supply Installation Testing Commissioning Operation, Maintenance of 02No HMCs] [IMEE/MOF/HMCs/ Inner Harbour Berth /2023-24] [2023_VPT_159945_1]",Visakhapatnam Port Trust||Mech. and Elec. Engineering - VPT||Materials Management Dvsn. - VPT,,,02No HMCs
221.0,24-Aug-2023 11:00 AM,11-Sep-2023 03:00 PM,12-Sep-2023 03:00 PM,[A1 HS Type Bearing] [100001049] [2023_APCPL_165510_1],Aravali Power Company Pvt. Ltd - IGSTPP||Contract and Materials - APCPL,,,
222.0,31-Aug-2023 02:00 PM,11-Sep-2023 03:00 PM,12-Sep-2023 03:05 PM,"[Re-Development of tubewell installed in three nos of parks, namely Municipal park near plot no 17, pocket B-3, Municipal park near plot no 101, pocket C-8, Municipal park in A2 Indraprasth Apartment, Sector 17, Dwarka, ward no 121, Dwarka-A under Naj] [EEE/NGZ/MCD/2023-2024/13] [2023_SDMC_166229_1]",South Delhi Municipal Corporation||Enigeering Electric - SDMC,,Re,A2
223.0,31-Aug-2023 11:00 AM,11-Sep-2023 03:00 PM,12-Sep-2023 03:30 PM,[Comprehensive Operation and Maintenance (COMC) of 24 Nos. Mechanical Road Sweeping machine (18 Nos. MRSMs of 6 CuM dust container capacity mounted on LPT 1613 TATA Chassis and 6 Nos. of 4.5 CuM dust container capacity mounted on LPT 1109 TATA Chassis] [ EE (Eand M) III/2023-24/ 04] [2023_SDMC_166192_1],South Delhi Municipal Corporation||Municipal Engineers Office - SDMC,,CuM,4.5
224.0,18-Aug-2023 12:00 PM,11-Sep-2023 03:00 PM,12-Sep-2023 03:00 PM,[TG EOT DSL Spares] [100000973] [2023_APCPL_159901_1],Aravali Power Company Pvt. Ltd - IGSTPP||Contract and Materials - APCPL,,TG,
225.0,17-Aug-2023 05:00 PM,11-Sep-2023 03:00 PM,12-Sep-2023 03:00 PM,[slings for Load Lifting at TG Area] [100001032] [2023_APCPL_164767_1],Aravali Power Company Pvt. Ltd - IGSTPP||Contract and Materials - APCPL,,,TG Area
226.0,30-Aug-2023 01:30 PM,11-Sep-2023 03:00 PM,12-Sep-2023 03:00 PM,[PROCUREMENT OF PHOENIX CONTACT MAKE SPARES] [100000991] [2023_APCPL_166131_1],Aravali Power Company Pvt. Ltd - IGSTPP||Contract and Materials - APCPL,,,PHOENIX CONTACT MAKE SPARES
227.0,30-Aug-2023 11:00 AM,11-Sep-2023 03:00 PM,12-Sep-2023 03:00 PM,[PR FOR SPARES OF FIRE HYDRANT JOCKEY AND BOOSTER PUMPS] [100000978] [2023_APCPL_166085_1],Aravali Power Company Pvt. Ltd - IGSTPP||Contract and Materials - APCPL,,PR,
228.0,30-Aug-2023 12:00 PM,11-Sep-2023 03:00 PM,12-Sep-2023 03:00 PM,[Rubber Expansion Joint REJ for SACW pump of offsite] [100001080] [2023_APCPL_166097_1],Aravali Power Company Pvt. Ltd - IGSTPP||Contract and Materials - APCPL,,Rubber,offsite
229.0,30-Aug-2023 11:00 AM,11-Sep-2023 03:00 PM,13-Sep-2023 11:00 AM,"[Minor Electrification Works at Battery Testing lab (Stone Building) at CSIR-CECRI, Karaikudi] [CSIR CECRI NIT No 04/2023] [2023_CSIR_166047_1]",Council of Scientific and Industrial Research||CECRI-Karaikudi - CSIR||ESD-CECRI - CSIR,,Minor,"CSIR - CECRI , Karaikudi"
230.0,30-Aug-2023 11:15 AM,11-Sep-2023 03:00 PM,12-Sep-2023 03:00 PM,[Spares for Flue Gas Analyzer] [100001052] [2023_APCPL_166088_1],Aravali Power Company Pvt. Ltd - IGSTPP||Contract and Materials - APCPL,,Spares,
231.0,04-Sep-2023 06:00 PM,11-Sep-2023 03:00 PM,11-Sep-2023 03:05 PM,"[NIT No. 13, Item No. 02] [EE(M-I)NGZ/MCD/2023-24/13] [2023_SDMC_166564_2]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC,,NIT,
232.0,04-Sep-2023 04:45 PM,11-Sep-2023 03:00 PM,12-Sep-2023 03:00 PM,[eTender for Fortinet Outdoor Wireless Access Pint with Fiver Years warranty and Forticare support] [4/7(12)2023-Pur./Re-eTender] [2023_CSIR_166587_1],Council of Scientific and Industrial Research||IHBT-Palampur - CSIR||Purchase -IHBT - CSIR,['IHBT'],Fortinet,Fiver Years warranty and
233.0,04-Sep-2023 06:00 PM,11-Sep-2023 03:00 PM,11-Sep-2023 03:05 PM,"[Imp/Dev. of Road/Lane by pdg. Brick Agg. RMC etc. from H.no. Plot No.217 to Plot No.210 Chand Nagar, H.No. Plor No.153 to H.no. 148 Chand Nagar, H.No. E-23B to H.no. E-25A, H.No. E-64 to H.No. E-71, H.no. E-89 to H.no. E-90 E Block Vishnu Garden, H.N] [E.E.(M-I)/WZ/2023-24/TC/27/01] [2023_MCD_166589_1]",Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,,Imp,"H.no . E-90 E Block Vishnu Garden , H.N"
234.0,04-Sep-2023 04:30 PM,11-Sep-2023 03:00 PM,12-Sep-2023 03:30 PM,[Supply of Rubber Hose] [RCF /MM/114(23)] [2023_CCI_164424_2],Cement Corporation of India Limted||Rajban Cement Factory - CCI,,,Rubber Hose
235.0,04-Sep-2023 04:00 PM,11-Sep-2023 03:00 PM,12-Sep-2023 03:00 PM,[eTender for Renewal of Fortigate Wireless Controller 300E with one Year License and Support] [4/7(28)2023-Pur. ] [2023_CSIR_166577_1],Council of Scientific and Industrial Research||IHBT-Palampur - CSIR||Purchase -IHBT - CSIR,['IHBT'],eTender,one Year License and Support
236.0,05-Jul-2023 04:00 PM,11-Sep-2023 03:00 PM,12-Sep-2023 03:00 PM,"[Grant of License for Supply Installation Testing Commissioning Operation, Maintenance of 02No HMCs] [IMEE/MOF/HMCs/ Inner Harbour Berth /2023-24] [2023_VPT_159945_1]",Visakhapatnam Port Trust||Mech. and Elec. Engineering - VPT||Materials Management Dvsn. - VPT,,,02No HMCs
237.0,04-Sep-2023 06:00 PM,11-Sep-2023 03:00 PM,11-Sep-2023 03:05 PM,"[NIT No. 13, Item No. 03] [EE(M-I)NGZ/MCD/2023-24/13] [2023_SDMC_166564_3]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC,,NIT,
238.0,04-Sep-2023 06:00 PM,11-Sep-2023 03:00 PM,11-Sep-2023 03:05 PM,"[NIT No. 13, Item No. 01] [EE(M-I)NGZ/MCD/2023-24/13] [2023_SDMC_166564_1]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC,,NIT,
239.0,04-Sep-2023 06:00 PM,11-Sep-2023 03:00 PM,11-Sep-2023 03:05 PM,"[NIT No. 13, Item No. 04] [EE(M-I)NGZ/MCD/2023-24/13] [2023_SDMC_166564_4]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC,,NIT,
240.0,04-Sep-2023 12:10 PM,11-Sep-2023 03:00 PM,12-Sep-2023 03:30 PM,[NIT No 17 BCD WGL 2023-24 ] [NIT No 17 BCD WGL Karimnagar Switch room] [2023_BSNL_166541_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Telengana Telecom Circle- Hyderabad||CE Civil,,NIT,
241.0,05-Sep-2023 09:00 AM,11-Sep-2023 03:00 PM,12-Sep-2023 03:30 PM,[Miscellaneous Civil and repair work for installation of Biomedical Waste Incinerator Unit at Waste Management Park at CSIR-NEERI Nagpur .] [50(49)/2023-24/W] [2023_CSIR_166389_1],Council of Scientific and Industrial Research||NEERI-Nagpur - CSIR||ESD-NEERI - CSIR,,Biomedical,CSIR - NEERI Nagpur .
242.0,25-Aug-2023 01:00 PM,11-Sep-2023 03:00 PM,12-Sep-2023 03:00 PM,[Digital X Ray Machine 300 mA] [700000266] [2023_APCPL_165239_1],Aravali Power Company Pvt. Ltd - IGSTPP||Contract and Materials - APCPL,,Digital,
243.0,21-Aug-2023 05:00 PM,11-Sep-2023 03:00 PM,12-Sep-2023 03:00 PM,[Supply of Pharmaceutical and Non Pharmaceutical Products for onward supplies to Foreign Country] [HLL/SD/RBD/2023-24/TENDER/10] [2023_HLL_165189_1],HLL Lifecare Limited||Corporate Head Office (Thiruvananthapuram) - HLL||RBD - Sourcing - HLL,,Supply,Foreign Country
244.0,22-Aug-2023 03:00 PM,11-Sep-2023 03:00 PM,12-Sep-2023 03:00 PM,[SMPS PP Modules repair in Belagavi SSA] [SE-83/AGM(PLG)/PP MODULES/2023-24] [2023_BSNL_165245_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Karnataka Telecom Circle||GMTD Belgaum,,PP,Belagavi SSA
245.0,04-Sep-2023 05:00 PM,11-Sep-2023 03:00 PM,12-Sep-2023 03:00 PM,[NIT-18/CNTXW/MBI /SLA/PDI RT/2023-24/ dtd 04-09-2023] [NIT-18/CNTXW/MBI /SLA/PDI RT/23-24 dtd 4.9.23] [2023_BSNL_166586_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Western Telecom Region||GMM,WTR Mumbai/ DGMM WTR Thane||SDE Admin, Thane",,,
246.0,04-Sep-2023 06:00 PM,11-Sep-2023 03:00 PM,11-Sep-2023 03:05 PM,"[Improvement Development of khyalla Phirni Road side berm and drainage system by pdg. B/W, 12mm Cement Plaster, RMC etc. from Baba Ramdev Marg Road to PWD 100 Ft. B-1 Block in Ward No.008-S/WZ in Khyalla.] [ E.E.(M-I)/WZ/2023-24/TC/27/02] [2023_MCD_166596_1]",Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,,Phirni,Khyalla .
247.0,24-Aug-2023 10:00 AM,11-Sep-2023 03:00 PM,12-Sep-2023 03:30 PM,[Tender for Annual contract for Plant Maintenance Jobs Reg] [TCF/MECH/07/3078/22R] [2023_CCI_165310_1],Cement Corporation of India Limted||Tandur Cement Factory - CCI,['INDIA'],,Plant Maintenance Jobs Reg
248.0,02-Sep-2023 09:00 AM,11-Sep-2023 03:00 PM,11-Sep-2023 03:05 PM,[Civil Work] [MCD/TR/6061/2023_5_1_1/2] [2023_MCD_166276_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,,,
249.0,31-Aug-2023 02:00 PM,11-Sep-2023 03:00 PM,12-Sep-2023 03:05 PM,"[Re-Development of tubewell installed in three nos of parks, namely Municipal park near plot no 17, pocket B-3, Municipal park near plot no 101, pocket C-8, Municipal park in A2 Indraprasth Apartment, Sector 17, Dwarka, ward no 121, Dwarka-A under Naj] [EEE/NGZ/MCD/2023-2024/13] [2023_SDMC_166229_1]",South Delhi Municipal Corporation||Enigeering Electric - SDMC,,Re,A2
250.0,31-Aug-2023 11:00 AM,11-Sep-2023 03:00 PM,12-Sep-2023 03:30 PM,[Comprehensive Operation and Maintenance (COMC) of 24 Nos. Mechanical Road Sweeping machine (18 Nos. MRSMs of 6 CuM dust container capacity mounted on LPT 1613 TATA Chassis and 6 Nos. of 4.5 CuM dust container capacity mounted on LPT 1109 TATA Chassis] [ EE (Eand M) III/2023-24/ 04] [2023_SDMC_166192_1],South Delhi Municipal Corporation||Municipal Engineers Office - SDMC,,CuM,4.5
251.0,24-Aug-2023 11:00 AM,11-Sep-2023 03:00 PM,12-Sep-2023 03:00 PM,[A1 HS Type Bearing] [100001049] [2023_APCPL_165510_1],Aravali Power Company Pvt. Ltd - IGSTPP||Contract and Materials - APCPL,,,
252.0,18-Aug-2023 10:00 AM,11-Sep-2023 03:00 PM,12-Sep-2023 03:30 PM,[Tender for Supply of Survey Team and personnel for Mumbai Ahmedabad High-Speed Rail Corridor C3 Package] [NHSRCL/CPM (civil)/Palghar/ 23-24/01] [2023_NHSRC_164772_1],National High Speed Rail Corporation Limited||CPM Palghar||CPM - Palghar,,,Mumbai Ahmedabad High - Speed Rail Corridor C3 Package
253.0,17-Aug-2023 05:00 PM,11-Sep-2023 03:00 PM,12-Sep-2023 03:00 PM,[slings for Load Lifting at TG Area] [100001032] [2023_APCPL_164767_1],Aravali Power Company Pvt. Ltd - IGSTPP||Contract and Materials - APCPL,,,TG Area
254.0,18-Aug-2023 12:00 PM,11-Sep-2023 03:00 PM,12-Sep-2023 03:00 PM,[TG EOT DSL Spares] [100000973] [2023_APCPL_159901_1],Aravali Power Company Pvt. Ltd - IGSTPP||Contract and Materials - APCPL,,TG,
255.0,04-Sep-2023 11:35 AM,11-Sep-2023 03:00 PM,12-Sep-2023 03:30 PM,[NIT No 18 BCD WGL 40M Tower WGL] [NIT No 18/BCD WGL/2023-24] [2023_BSNL_166533_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Telengana Telecom Circle- Hyderabad||CE Civil,,NIT,
256.0,24-Aug-2023 10:00 AM,11-Sep-2023 03:00 PM,12-Sep-2023 03:30 PM,[Tender for Annual contract for Plant Maintenance Jobs Reg] [TCF/MECH/07/3078/22R] [2023_CCI_165310_1],Cement Corporation of India Limted||Tandur Cement Factory - CCI,['INDIA'],,Plant Maintenance Jobs Reg
257.0,18-Aug-2023 05:00 PM,11-Sep-2023 03:00 PM,12-Sep-2023 03:00 PM,[ACID and FERRIC unloading pumps for RO plant] [100000997] [2023_APCPL_160346_2],Aravali Power Company Pvt. Ltd - IGSTPP||Contract and Materials - APCPL,,ACID,
258.0,18-Aug-2023 04:30 PM,11-Sep-2023 03:00 PM,12-Sep-2023 03:00 PM,[Procurement of Rail CR-80 at Bokajan Cement Factory of CCI] [BKJ/MM/M-5873/23-24] [2023_CCI_164917_1],Cement Corporation of India Limted||Bokajan Cement Factory - CCI,,Bokajan,CCI
259.0,04-Sep-2023 06:00 PM,11-Sep-2023 03:00 PM,11-Sep-2023 03:05 PM,"[NIT No. 13, Item No. 03] [EE(M-I)NGZ/MCD/2023-24/13] [2023_SDMC_166564_3]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC,,NIT,
260.0,19-Aug-2023 12:00 PM,11-Sep-2023 03:00 PM,12-Sep-2023 03:00 PM,"[Licence for Gift (Gifting) Outlet at International Security Hold Area (ISHA) (second floor), New Integrated Terminal Building, Goa International Airport, Dabolim.] [AAI/COMML/GOA/GS/2023] [2023_AAI_165002_1]",Airports Authority of India||Western Region - AAI||INDORE - AAI||COMMERCIAL-VAID - AAI,['INDIA'],ISHA,International Security Hold Area (
261.0,22-Aug-2023 03:00 PM,11-Sep-2023 03:00 PM,12-Sep-2023 03:00 PM,[SMPS PP Modules repair in Belagavi SSA] [SE-83/AGM(PLG)/PP MODULES/2023-24] [2023_BSNL_165245_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Karnataka Telecom Circle||GMTD Belgaum,,PP,Belagavi SSA
262.0,28-Aug-2023 06:30 PM,11-Sep-2023 03:00 PM,12-Sep-2023 03:30 PM,[Renewal of Subscription of NGFW appliances installed at HLL Offices and Supply of new NGFW appliance] [HLL/CHO/IT/UTM/2023] [2023_HLL_165968_1],HLL Lifecare Limited||Corporate Head Office (Thiruvananthapuram) - HLL||IT Department - HLL,,Renewal,new
263.0,21-Aug-2023 06:00 PM,11-Sep-2023 03:30 PM,12-Sep-2023 04:00 PM,"[Deployment of Security Personnel through DGR sponsored Agency for Non-Core duties at M.P. Airport, Udaipur (2023)] [AAI/VAUD/SECURITY/2023/DGR Manpower/PSA] [2023_AAI_165165_1]",Airports Authority of India||Northern Region - AAI||UDAIPUR - AAI||CNS-UDAIPUR - AAI,,DGR,"M.P. Airport , Udaipur ( 2023 )"
264.0,01-Sep-2023 06:20 PM,11-Sep-2023 03:30 PM,12-Sep-2023 03:30 PM,[Spares for existing High Temperature Controlled Atmosphere Cold Wall Retort Furnace Model LBVHT540 16 MO H2] [P/C/25/SB/DR/STE/23-24] [2023_CSIR_166438_1],Council of Scientific and Industrial Research||CGCRI-Kolkatta - CSIR||Purchase-CGCRI - CSIR,,,existing High Temperature Controlled Atmosphere Cold Wall Retort Furnace Model LBVHT540 16 MO H2
265.0,09-Aug-2023 06:50 PM,11-Sep-2023 03:30 PM,12-Sep-2023 03:30 PM,[Comprehensive Annual Maintenance Contract of 06 KVA UPS and 10 KVA UPS] [P/I/AMC/11/AB/TT/STE/23-24] [2023_CSIR_163973_1],Council of Scientific and Industrial Research||CGCRI-Kolkatta - CSIR||Purchase-CGCRI - CSIR,,Comprehensive,06 KVA UPS and 10
266.0,09-Aug-2023 12:00 PM,11-Sep-2023 03:30 PM,12-Sep-2023 03:30 PM,[CONSTRUCTION OF CAPACITOR BANK ROOMS NEAR AMMONIA II AND UREA II SUBSTATION BUILDING ] [NFVP/CICO/2355] [2023_NFL_158182_3],National Fertilizers Limited||NFL Unit- Vijaipur||Civil Deptt,,UREA,CAPACITOR BANK ROOMS NEAR AMMONIA II AND
267.0,25-Aug-2023 05:00 PM,11-Sep-2023 03:30 PM,12-Sep-2023 03:30 PM,"[Non Comprehensive AMC for Clean Room 100,000 Class facility for Optical Glass Pilot Plant ] [P/I/AMC/09/BD/TT/STE/23-24] [2023_CSIR_165725_1]",Council of Scientific and Industrial Research||CGCRI-Kolkatta - CSIR||Purchase-CGCRI - CSIR,,Non,Optical Glass Pilot Plant
268.0,21-Aug-2023 03:30 PM,11-Sep-2023 03:30 PM,12-Sep-2023 03:30 PM,"[EXPRESSION OF INTEREST FOR REPAIRING OF GSM BTS 2G, 3G and MW CARDS IN NORTH ZONE CIRCLES OF BSNL] [RJCO-23/11(17)/1/2023-Tx AND MM/180] [2023_BSNL_165142_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Rajasthan Telecom Circle||GM(MM and MKTG)||AD(MM-I),,BSNL,
269.0,08-Aug-2023 03:00 PM,11-Sep-2023 03:30 PM,12-Sep-2023 03:30 PM,[Notice Inviting E Tender for the license of Food and Beverage Snack Bar Outlet at Arrival Hall of the Airport Terminal Building at Shillong Airport Shillong] [Comml/RHQ/NER/Shillong/Snack Bar Arrival Hall] [2023_AAI_163715_1],Airports Authority of India||North East Region - AAI||RHQ-NER - AAI||COMMERCIAL-NER - AAI,['INDIA'],Food,Shillong Airport Shillong
270.0,26-Aug-2023 04:00 PM,11-Sep-2023 04:00 PM,13-Sep-2023 04:00 PM,[Providing SAC and EI in IQ at E10B Jhansi (SH S F LED fitting and Indoor unit).] [08/TED-KP/2023-24 dt.09.06.2023] [2023_BSNL_165829_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||UP(EAST) Telecom Circle||Business Area Kanpur,,SAC,E10B Jhansi ( SH S F LED fitting and
271.0,26-Aug-2023 04:00 PM,11-Sep-2023 04:00 PM,13-Sep-2023 04:00 PM,[Providing SAC and EI in IQ at E10B Jhansi (SH S F LED fitting and Indoor unit).] [08/TED-KP/2023-24 dt.09.06.2023] [2023_BSNL_165829_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||UP(EAST) Telecom Circle||Business Area Kanpur,,SAC,E10B Jhansi ( SH S F LED fitting and
272.0,26-Aug-2023 04:00 PM,11-Sep-2023 04:00 PM,13-Sep-2023 04:00 PM,[Risk and Cost work for not attending defects of PACs SACs at TE Mauranipur and Lalitpur] [09/TED-KP/2023-24 dt.21.07.2023] [2023_BSNL_165842_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||UP(EAST) Telecom Circle||Business Area Kanpur,,TE,
273.0,05-Sep-2023 04:30 PM,11-Sep-2023 04:00 PM,12-Sep-2023 04:30 PM,"[Construction of PHC Day Care Building at Ambabhona in the District of Bargarh, Odisha] [NPCC/SEZ/CA/PHC-DC/AMB/342 ] [2023_NPCC_166708_1]",National Projects Construction Corporation Limited||South Eastern Zone (Bhubaneswar) - NPCC,,,"Bargarh , Odisha"
274.0,05-Sep-2023 05:15 PM,11-Sep-2023 04:00 PM,12-Sep-2023 04:30 PM,"[Construction of PHC Day Care Building at Dahita in the District of Bargarh, Odisha] [NPCC/SEZ/CA/PHC-DC/DAH/344 ] [2023_NPCC_166734_1]",National Projects Construction Corporation Limited||South Eastern Zone (Bhubaneswar) - NPCC,,,"Bargarh , Odisha"
275.0,05-Sep-2023 04:45 PM,11-Sep-2023 04:00 PM,12-Sep-2023 04:30 PM,"[Construction of PHC Day Care Building at Buden in the District of Bargarh, Odisha] [NPCC/SEZ/CA/PHC-DC/BUD/343] [2023_NPCC_166716_1]",National Projects Construction Corporation Limited||South Eastern Zone (Bhubaneswar) - NPCC,,,"Bargarh , Odisha"
276.0,05-Aug-2023 04:00 PM,11-Sep-2023 04:00 PM,12-Sep-2023 04:00 PM,"[Concession to design, fit-out, finance, develop, market, operate, maintain and manage the retail outlets at the Srinagar International Airport.] [AAI/SXR/Comml/MC/Retails/403] [2023_AAI_163513_1]",Airports Authority of India||Western Region - AAI||VADODARA - AAI||COMMERCIAL-VABO - AAI,['INDIA'],,the Srinagar International Airport .
277.0,04-Sep-2023 01:50 PM,11-Sep-2023 04:00 PM,12-Sep-2023 04:30 PM,"[Construction Of BPHU Building at Simulia in the District of Balasore, Odisha] [NPCC/SEZ/CA/BPHU/BAL-SIM/336 ] [2023_NPCC_166556_1]",National Projects Construction Corporation Limited||South Eastern Zone (Bhubaneswar) - NPCC,,,"Balasore , Odisha"
278.0,05-Sep-2023 05:50 PM,11-Sep-2023 04:00 PM,12-Sep-2023 04:30 PM,"[Construction of PHC Day Care Building at Larambha in the District of Bargarh, Odisha] [NPCC/SEZ/CA/PHC-DC/LAR/346] [2023_NPCC_166750_1]",National Projects Construction Corporation Limited||South Eastern Zone (Bhubaneswar) - NPCC,,,"Bargarh , Odisha"
279.0,05-Sep-2023 05:45 PM,11-Sep-2023 04:00 PM,12-Sep-2023 04:30 PM,"[Construction of PHC Day Care Building at Kumbhari in the District of Bargarh, Odisha] [NPCC/SEZ/CA/PHC-DC/KUM/345 ] [2023_NPCC_166742_1]",National Projects Construction Corporation Limited||South Eastern Zone (Bhubaneswar) - NPCC,,,"Bargarh , Odisha"
280.0,04-Sep-2023 01:45 PM,11-Sep-2023 04:00 PM,12-Sep-2023 04:30 PM,"[Construction Of BPHU Building at Basta in the District of Balasore, Odisha] [NPCC/SEZ/CA/BPHU/BAL-BAS/335] [2023_NPCC_166553_1]",National Projects Construction Corporation Limited||South Eastern Zone (Bhubaneswar) - NPCC,,,"Balasore , Odisha"
281.0,04-Sep-2023 03:30 PM,11-Sep-2023 04:00 PM,12-Sep-2023 04:30 PM,"[Construction Of BPHU Building at Gopalpur in the District of Balasore, Odisha] [NPCC/SEZ/CA/BPHU/BAL-GOP/337 ] [2023_NPCC_166562_1]",National Projects Construction Corporation Limited||South Eastern Zone (Bhubaneswar) - NPCC,,,"Balasore , Odisha"
282.0,04-Sep-2023 04:15 PM,11-Sep-2023 04:00 PM,12-Sep-2023 04:30 PM,"[Construction Of BPHU Building at Remuna in the District of Balasore, Odisha] [NPCC/SEZ/CA/BPHU/BAL-REM/339] [2023_NPCC_166579_1]",National Projects Construction Corporation Limited||South Eastern Zone (Bhubaneswar) - NPCC,,,"Balasore , Odisha"
283.0,04-Sep-2023 04:50 PM,11-Sep-2023 04:00 PM,12-Sep-2023 04:30 PM,"[ Construction Of BPHU Building at Rupsa in the District of Balasore, Odisha] [NPCC/SEZ/CA/BPHU/BAL-RUP/340] [2023_NPCC_166590_1]",National Projects Construction Corporation Limited||South Eastern Zone (Bhubaneswar) - NPCC,,,"Balasore , Odisha"
284.0,05-Sep-2023 05:45 PM,11-Sep-2023 04:00 PM,12-Sep-2023 04:30 PM,"[Construction of PHC Day Care Building at Kumbhari in the District of Bargarh, Odisha] [NPCC/SEZ/CA/PHC-DC/KUM/345 ] [2023_NPCC_166742_1]",National Projects Construction Corporation Limited||South Eastern Zone (Bhubaneswar) - NPCC,,,"Bargarh , Odisha"
285.0,05-Sep-2023 05:50 PM,11-Sep-2023 04:00 PM,12-Sep-2023 04:30 PM,"[Construction of PHC Day Care Building at Larambha in the District of Bargarh, Odisha] [NPCC/SEZ/CA/PHC-DC/LAR/346] [2023_NPCC_166750_1]",National Projects Construction Corporation Limited||South Eastern Zone (Bhubaneswar) - NPCC,,,"Bargarh , Odisha"
286.0,05-Sep-2023 06:55 PM,11-Sep-2023 04:00 PM,12-Sep-2023 04:30 PM,"[The Extension of Block Veterinary Dispensary / Sub Block Veterinary Dispensary at Komna, Khariar Road, Beltukri in the Nuapada Districts of Odisha] [NPCC/SEZ/CA/VET-NUA/347] [2023_NPCC_166766_1]",National Projects Construction Corporation Limited||South Eastern Zone (Bhubaneswar) - NPCC,,Komna,Odisha
287.0,05-Sep-2023 06:50 PM,11-Sep-2023 04:00 PM,12-Sep-2023 04:30 PM,[The Extension of Block Veterinary Dispensary at Barkote and Reamal and Sub-Divisional Veterinary Hospital At Deogarh with OT complex in the Deogarh Districts of Odisha] [NPCC/SEZ/CA/VET-DEO/348] [2023_NPCC_166772_1],National Projects Construction Corporation Limited||South Eastern Zone (Bhubaneswar) - NPCC,,OT,Odisha
288.0,05-Sep-2023 04:45 PM,11-Sep-2023 04:45 PM,12-Sep-2023 04:45 PM,[Supply Capacity upgradation of existing] [IGIB/7-2NC/110/23-24(439)] [2023_CSIR_166723_1],Council of Scientific and Industrial Research||IGIB-Delhi - CSIR||Purchase-IGIB - CSIR,,,existing
289.0,12-Aug-2023 11:00 AM,11-Sep-2023 05:00 PM,13-Sep-2023 09:00 AM,[Works contract in respect of Specified intermittent nature of works arising in HMBP Zone B of HEC Ltd] [HMBP/CC/PA/NIT/2023-89] [2023_HEC_164356_1],Heavy Engineering Corporation Limited||Foundry Forge Plant - HEC||Administration-FFP - HEC,,HMBP,
290.0,12-Aug-2023 11:25 AM,11-Sep-2023 05:00 PM,13-Sep-2023 09:00 AM,[Works contract in respect of Specified intermittent nature of works arising in FFP Zone A of HEC Ltd] [FFP/CC/PA/NIT/2023-429] [2023_HEC_164376_1],Heavy Engineering Corporation Limited||Foundry Forge Plant - HEC||Administration-FFP - HEC,,HEC,
291.0,04-Sep-2023 05:30 PM,11-Sep-2023 05:00 PM,12-Sep-2023 01:00 PM,"[Supply of PVC Pipe, Bamboo Broom, Hassian Cloth and Agro Shade Net for Parks and Nursery in Ward No. 145, Central Zone] [DDH/CNZ/MCD/2023-24/D-527/NIT No.8] [2023_MCD_166548_1]",Municipal Corporation of Delhi||Horticulture Department - MCD,,,"Ward No . 145 , Central Zone"
292.0,03-Aug-2023 06:55 PM,11-Sep-2023 05:00 PM,11-Sep-2023 05:30 PM,"[EOI forSelection of vendor for Supply, installation, configuration, testing and commissioning of Structured Local Area Network in Haryana ] [TCIL/ITTIII/97/2023] [2023_TCIL_163334_1]",Telecommunications Consultants India Limited||Corporate Office - TCIL Bhawan||IT Division - TCIL,,EOI,Haryana
