,title,reference_no,tender_id
566,[Expression of Interest for Empanelment of Manufacturers for supply of Micro],Expression of Interest for Empanelment of Manufacturers for supply of Micro] [EOI for Empanelment of Micro Nutrient Fert,2023_NFL_143279_1
567,[Expression of Interest for Empanelment of Manufacturers for supply of Water],Expression of Interest for Empanelment of Manufacturers for supply of Water] [Expression of Interest for Empannelment of Manuf,2023_NFL_143246_1
568,"[Supply of Pin Bush type Flexible coupling, REC Coupling etc]","Supply of Pin Bush type Flexible coupling, REC Coupling etc] [TCF/MM/3061/21_3049/20/282/R",2023_CCI_143560_1
569,[SUPPLY OF PULSER RECEIVER SYSTEM],SUPPLY OF PULSER RECEIVER SYSTEM] [P/NC/171/SS/DB/OTE/22-23,2023_CSIR_143531_1
570,[SUPPLY OF STEEL CASTING],SUPPLY OF STEEL CASTING] [ILP/AD2/ADC031/22-23/TE-2255,2023_ILTD_143562_1
571,[supply of Spares for preheater OTIS Elevator machine],supply of Spares for preheater OTIS Elevator machine] [TCF/MM/4034/22/281/R,2023_CCI_142762_1
572,[EOI THROUGH e-tender FOR MTCE AND UPKEEP OF TELECOM INFRA OSMANABAD SSA OF SOLAPUR BA],EOI THROUGH e-tender FOR MTCE AND UPKEEP OF TELECOM INFRA OSMANABAD SSA OF SOLAPUR BA] [EOI FOR MTCE UPKEEP PART OF TELE INFRA OSMANABAD,2023_BSNL_143494_1
573,"[Operation and Maintenance Contract of Electrical and Mechanical Installations at NDB, Songadh. (For 2 year Period) (Yr 2023-24 and 2024-25).]","Operation and Maintenance Contract of Electrical and Mechanical Installations at NDB, Songadh. (For 2 year Period) (Yr 2023-24 and 2024-25).] [AAI/BO/EE/NIT11/AMCSON/2022-23",2023_AAI_143014_1
574,[Construction of De-scoped Service Road of Rewa-Katni section of NH-07 (New NH-30) from Km.242600 to Km. 397000 (BHS) in the state of],Construction of De-scoped Service Road of Rewa-Katni section of NH-07 (New NH-30) from Km.242600 to Km. 397000 (BHS) in the state of] [NHAI/JBP/BalanceSR/RKJL,2023_NHAI_143373_1
575,[Engagement of user fee collection agency on the basis of CB for Gardiya Sinhaniya and Doongri toll plazas of Gagaria Baori Kalan Serwa Bakhasar section of NH925 and Sata Gandhav section of NH925A in the State of Rajasthan],Engagement of user fee collection agency on the basis of CB for Gardiya Sinhaniya and Doongri toll plazas of Gagaria Baori Kalan Serwa Bakhasar section of NH925 and Sata Gandhav section of NH925A in the State of Rajasthan] [NHAI/13013/547/CO/22-23/ CB/Gardiya Sinhaniya Doon,2023_NHAI_143557_1
576,[PROVIDING SERVICES FOR PRINTING AND ASSOCIATED ACTIVITIES FOR NHSRCL CORPORATE OFFICE],PROVIDING SERVICES FOR PRINTING AND ASSOCIATED ACTIVITIES FOR NHSRCL CORPORATE OFFICE] [NHSRCL/CO/AD/PRINT/2023/3,2023_NHSRC_143533_1
577,"[Urgent Overlay proposal for Damage Sections of Debari Pratapnagar section of NH 76 (Km 113.830 to 117.800), Debari Jaswantgarh section of NH 76 (Between Km 73.00 to Km 104.00)]","Urgent Overlay proposal for Damage Sections of Debari Pratapnagar section of NH 76 (Km 113.830 to 117.800), Debari Jaswantgarh section of NH 76 (Between Km 73.00 to Km 104.00)] [NHAI/11011/1/ROJ Tender/OnM/overlay DP/",2023_NHAI_143558_1
578,[Assisting Boiler personnel in maintaining operational norms and equipment health],Assisting Boiler personnel in maintaining operational norms and equipment health] [22-23/C-167/NIT-1239,2023_BPSCL_143556_1
579,[Engagement of user fee collection agency on the basis of CB Dari fee plaza in the State of Gujarat ],Engagement of user fee collection agency on the basis of CB Dari fee plaza in the State of Gujarat ] [NHAI/13013/547/CO/22-23/CB/ Dari ,2023_NHAI_143555_1
580,[Repair and Maintenance of 4 Lane NH31Old NH56 Babatpur to Harhua Section from Km 259500 to Km 271900],Repair and Maintenance of 4 Lane NH31Old NH56 Babatpur to Harhua Section from Km 259500 to Km 271900] [NHAI/PIU-VNS/NH-31/2022-23,2023_NHAI_143559_1
581,"[Renovation of Training Centre cum CSR office at Maithon under CSR, DVC, Maithon ( JH)]","Renovation of Training Centre cum CSR office at Maithon under CSR, DVC, Maithon ( JH)] [DVC/Tender/MAITHON/Maithon Division/00192",2023_DVC_143521_1
582,"[Renovation of MEMS Lab at CSIR- CEERI, Pilani ]","Renovation of MEMS Lab at CSIR- CEERI, Pilani ] [14/460/2023-CE",2023_CSIR_143503_1
583,[Overhauling of Rotary Drives of TPP Boiler],Overhauling of Rotary Drives of TPP Boiler] [22-23/C-147/NIT-1234,2023_BPSCL_143546_1
584,"[Repair and renovation of erstwhile CATERS Lab for accommodating Biochemistry and Biotechnology Laboratory including Electrical works at CSIR-CLRI, Adyar, Chennai-600020]","Repair and renovation of erstwhile CATERS Lab for accommodating Biochemistry and Biotechnology Laboratory including Electrical works at CSIR-CLRI, Adyar, Chennai-600020] [CLRI/43(2)/2022-23/Wks",2023_CSIR_140427_1
585,[(i) Water proofing treatment on the roof of bldg (ii) Finishing work (Distempering/plastic paint) for interior and weather coat for exterior after necessary repair work (iii) False ceiling work for four rooms of Main Bldg at CSIR CIMFR Bilaspur Uni],(i) Water proofing treatment on the roof of bldg (ii) Finishing work (Distempering/plastic paint) for interior and weather coat for exterior after necessary repair work (iii) False ceiling work for four rooms of Main Bldg at CSIR CIMFR Bilaspur Uni] [23(1012)/2021-GA(Civil)/BU,2023_CSIR_143340_1
586,[RCC SLABS],RCC SLABS] [EE(M-I)/KPZ/TC/2022-23/08-09,2023_NDMC_143553_1
587,[CONST OF WALKWAY],CONST OF WALKWAY] [EE(M-I)/KPZ/TC/2022-23/08-05,2023_NDMC_143519_1
588,[P/F RCC Slabs],P/F RCC Slabs] [EE(M-I)/KPZ/TC/2022-23/08-07,2023_NDMC_143536_1
589,[EE-M-III/SZ/TC/2022-23/30-3],EE-M-III/SZ/TC/2022-23/30-3] [EE-M-III/SZ/TC/2022-23/30,2023_SDMC_143504_3
590,[SUPPLY OF STEEL CASTING],SUPPLY OF STEEL CASTING] [ILP/AD2/ADC031/22-23/TE-2254,2023_ILTD_143547_1
591,[EE-M-III/SZ/TC/2022-23/30-1],EE-M-III/SZ/TC/2022-23/30-1] [EE-M-III/SZ/TC/2022-23/30,2023_SDMC_143504_1
592,[IMP. TO DRAINAGE],IMP. TO DRAINAGE] [EE(M-I)/KPZ/TC/2022-23/08-03,2023_NDMC_143506_1
593,[Selection of a backend Technology Partner for participation in Tender issued by DACandFW for Providing SMS Gateway Services],Selection of a backend Technology Partner for participation in Tender issued by DACandFW for Providing SMS Gateway Services] [TCIL/ITTII/24/2023,2023_TCIL_143550_1
594,[Special repair of store],Special repair of store] [EE(M-I)/KPZ/TC/2022-23/08-08,2023_NDMC_143549_1
595,[CS for SecI-Construction of 4L of Bellary Bypass from junc with NH67 junc of NH150A Siruguppa-Bellary Road and from NH150A-Bellary Bypass in Karnataka under HAM AND SecII-Construction of 4L with paved shoulder of Bellary Bypass and Ends at Junc of NH],CS for SecI-Construction of 4L of Bellary Bypass from junc with NH67 junc of NH150A Siruguppa-Bellary Road and from NH150A-Bellary Bypass in Karnataka under HAM AND SecII-Construction of 4L with paved shoulder of Bellary Bypass and Ends at Junc of NH] [NHAI/ KNT/BellaryBypass/ NH-67 150A/IE/2023,2023_NHAI_143518_1
596,[EE-M-III/SZ/TC/2022-23/30-2],EE-M-III/SZ/TC/2022-23/30-2] [EE-M-III/SZ/TC/2022-23/30,2023_SDMC_143504_2
597,[Engagement of user fee collection agency on the basis of CB through etender for Hauj Fee Plaza in the State of Uttar Pradesh ],Engagement of user fee collection agency on the basis of CB through etender for Hauj Fee Plaza in the State of Uttar Pradesh ] [NHAI/13013/547/CO/22-23/CB/ Hauj,2023_NHAI_143548_1
598,[CS for IE for Construction of 4L with Paved Shoulders from AP-KN Border to KN-TS Border in AP-KN Border Raichur-KN-TS Border Sec of NH167 in Karnataka on HAM.],CS for IE for Construction of 4L with Paved Shoulders from AP-KN Border to KN-TS Border in AP-KN Border Raichur-KN-TS Border Sec of NH167 in Karnataka on HAM.] [NHAI/KNT/ AP-KNBorder/ KN-TSBorder/ NH167/IE/2023 ,2023_NHAI_143528_1
599,"[Miscellaneous civil works in non operational area at VSS Airport, Jharsuguda]","Miscellaneous civil works in non operational area at VSS Airport, Jharsuguda] [AAI/JH/AGME (C)/C-W/eNIT/2022-23",2023_AAI_143538_1
600,[SUPPLY OF STEEL CASTING],SUPPLY OF STEEL CASTING] [ILP/AD2/ADC031/22-23/TE-2254,2023_ILTD_143547_1
601,"[Miscellaneous civil works in non operational area at VSS Airport, Jharsuguda]","Miscellaneous civil works in non operational area at VSS Airport, Jharsuguda] [AAI/JH/AGME (C)/C-W/eNIT/2022-23",2023_AAI_143538_1
602,[Engagement of user fee collection agency on the basis of CB through for Yerkaram fee plaza in the State of Telangana ],Engagement of user fee collection agency on the basis of CB through for Yerkaram fee plaza in the State of Telangana ] [NHAI/13013/547/CO/22-23/CB/ Yerkaram,2023_NHAI_143543_1
603,[CS for SecI-Construction of 4L of Bellary Bypass from junc with NH67 junc of NH150A Siruguppa-Bellary Road and from NH150A-Bellary Bypass in Karnataka under HAM AND SecII-Construction of 4L with paved shoulder of Bellary Bypass and Ends at Junc of NH],CS for SecI-Construction of 4L of Bellary Bypass from junc with NH67 junc of NH150A Siruguppa-Bellary Road and from NH150A-Bellary Bypass in Karnataka under HAM AND SecII-Construction of 4L with paved shoulder of Bellary Bypass and Ends at Junc of NH] [NHAI/ KNT/BellaryBypass/ NH-67 150A/IE/2023,2023_NHAI_143518_1
604,[CONST OF WALKWAY],CONST OF WALKWAY] [EE(M-I)/KPZ/TC/2022-23/08-05,2023_NDMC_143519_1
605,[Construction of Cement Concrete Peripheral Road along Boundary Wall in Factory Area at NFL Panipat],Construction of Cement Concrete Peripheral Road along Boundary Wall in Factory Area at NFL Panipat] [NFL/PT/CIVIL/790,2023_NFL_143514_1
606,[Consultancy services for 4 Lane with Paved Shoulders from Design Ch.182.300 to Design Ch.228.500 in Belgaum-Hungund-Raichur Section of NH 748A (Ext.SH-20) in the State of Karnataka on Hybrid Annuity Mode],Consultancy services for 4 Lane with Paved Shoulders from Design Ch.182.300 to Design Ch.228.500 in Belgaum-Hungund-Raichur Section of NH 748A (Ext.SH-20) in the State of Karnataka on Hybrid Annuity Mode] [NHAI/KNT/BHR/ NH-748A/Pkg-5/IE/2023,2023_NHAI_143540_1
607,[Consultancy services for Construction of 4 Lane with Paved Shoulders from Design Ch.228.500 to Design CH.273.400 in Belgaum-Hungund-Raichur section of NH-748A (Ext.SH-20) on Hybrid Annuity Mode (Package-6)],Consultancy services for Construction of 4 Lane with Paved Shoulders from Design Ch.228.500 to Design CH.273.400 in Belgaum-Hungund-Raichur section of NH-748A (Ext.SH-20) on Hybrid Annuity Mode (Package-6)] [NHAI/KNT/BHR/NH-748A/ Pkg-6/IE/2023,2023_NHAI_143544_1
608,[Independent Engineer Services during OandM stage of 2 laning of Mokama - Munger Section of NH -80 from Km. 1.430 to Km. 70.000 in the state of Bihar under NHDP - Phase III on BOT (Annuity) on DBFOT Basis.],Independent Engineer Services during OandM stage of 2 laning of Mokama - Munger Section of NH -80 from Km. 1.430 to Km. 70.000 in the state of Bihar under NHDP - Phase III on BOT (Annuity) on DBFOT Basis.] [NIT No- 170/RO-PATNA/NHAI/2022-23,2023_NHAI_143534_1
609,[ARC for Misc Civil Works in Factory and Township Areas and Operation of Sump House in Township during 2023 24],ARC for Misc Civil Works in Factory and Township Areas and Operation of Sump House in Township during 2023 24] [NFL/PT/CIVIL/792,2023_NFL_143499_1
610,[Hiring of Vehicles on monthly basis for use of Officers of NHAI PIU Office Patiala.],Hiring of Vehicles on monthly basis for use of Officers of NHAI PIU Office Patiala.] [NHAI/Patiala/Procurement/12,2023_NHAI_143532_1
611,[SUPPLY OF STEEL CASTING],SUPPLY OF STEEL CASTING] [ILP/AD2/ADC031/22-23/TE-2250,2023_ILTD_143537_1
612,[SUPPLY OF STEEL CASTING],SUPPLY OF STEEL CASTING] [ILP/AD2/ADC031/22-23/TE-2251,2023_ILTD_143539_1
613,[SUPPLY OF STEEL CASTING],SUPPLY OF STEEL CASTING] [ILP/AD2/ADC031/22-23/TE-2253,2023_ILTD_143542_1
614,[SUPPLY OF STEEL CASTING],SUPPLY OF STEEL CASTING] [ILP/AD2/ADC031/22-23/TE-2249,2023_ILTD_143535_1
615,[Tender for License for Snack Bar Services (Departure)],Tender for License for Snack Bar Services (Departure)] [CL-12017/2/2022-APD-NR-AGRA,2023_AAI_143481_1
616,[Poly Amine based All Volatile Treatment of Boiler Feed Water ],Poly Amine based All Volatile Treatment of Boiler Feed Water ] [AVT2023_25,2023_NFL_143513_1
617,"[TENDER for Leasing-in OFC Dark Fibre from Thane MUX to Prabhadevi MUX under GM CN Tx West, Mumbai ]","TENDER for Leasing-in OFC Dark Fibre from Thane MUX to Prabhadevi MUX under GM CN Tx West, Mumbai ] [NIT24/CNTXW/MBI/ AirliPDI/FibrHirg/22-23 31-1-23",2023_BSNL_143516_2
618,[SUPPLY OF STEEL CASTING],SUPPLY OF STEEL CASTING] [ILP/AD2/ADC031/22-23/TE-2247,2023_ILTD_143530_1
619,[Engaging Tata MMV 407],Engaging Tata MMV 407] [EE(M-II)KPZ/TC/2022-23/26/05,2023_NDMC_143422_1
620,[Improvement of Walkway by applying antioxidant paint on tiles on Lotus temple road kalkaji Ward no.175 CNZ],Improvement of Walkway by applying antioxidant paint on tiles on Lotus temple road kalkaji Ward no.175 CNZ] [21/EE (M)-II/CNZ/TC/2022-23/03,2023_MCD_143508_1
621,[4G saturation OFC Tender 57 Chintapalli 24 Routes],4G saturation OFC Tender 57 Chintapalli 24 Routes] [E-324096 VSK BA-19/14(11)/32/2023-CM PLG AND BTS V,2023_BSNL_143517_1
622,[SUPPLY OF STEEL CASTING],SUPPLY OF STEEL CASTING] [ILP/AD2/ADC031/22-23/TE-2246,2023_ILTD_143524_1
623,[Improvement of road by Providing RMC from Shop no.1 to Shop No.20 Krishna Market Back side kalkaji Ward no.90-S CNZ.],Improvement of road by Providing RMC from Shop no.1 to Shop No.20 Krishna Market Back side kalkaji Ward no.90-S CNZ.] [21/EE (M)-II/CNZ/TC/2022-23/02,2023_MCD_143507_1
624,"[Annual Maintenance Rate Contract of Civil works for NTB, New ATC Building, MT Pool, Operational Area, FSTC Narayanpur, Outer Markers and Behala Airport for the year 2022-23 at NSCBI Airport, Kolkata]","Annual Maintenance Rate Contract of Civil works for NTB, New ATC Building, MT Pool, Operational Area, FSTC Narayanpur, Outer Markers and Behala Airport for the year 2022-23 at NSCBI Airport, Kolkata] [AAI/ER/KOL/E-C/NIT-16/2022-23",2023_AAI_143384_1
625,"[Periodical maintenance of colony cleaning such as collection of garbage, cleaning of roofs and house drains, jungle clearance, manhole chamber cleaning and disposal of garbage etc from the different locations areas under DTPS Colony, DVC, Durgapur -7]","Periodical maintenance of colony cleaning such as collection of garbage, cleaning of roofs and house drains, jungle clearance, manhole chamber cleaning and disposal of garbage etc from the different locations areas under DTPS Colony, DVC, Durgapur -7] [DTPS/CIVIL/Cand M/Works and Service/00077 ",2023_DVC_143415_1
626,[113/CD-II/BSNL/Kol/22-23],113/CD-II/BSNL/Kol/22-23] [113/CD-II/BSNL/Kol/22-23,2023_BSNL_143527_1
627,[TENDER for Leasing-in OFC Dark Fibre from Airoli to Thane MUX ],TENDER for Leasing-in OFC Dark Fibre from Airoli to Thane MUX ] [NIT24/CNTXW/MBI/ AirliPDI/FibrHirg/22-23 31-1-23,2023_BSNL_143516_1
628,[Microplate Multimode Reader],Microplate Multimode Reader] [06(57)/2022-P,2023_CSIR_143520_1
629,[SUPPLY OF STEEL CASTING],SUPPLY OF STEEL CASTING] [ILP/AD2/ADC031/22-23/TE-2247,2023_ILTD_143530_1
630,[Construction of RTP],Construction of RTP] [96/CD-I/BSNL/Kol/22-23,2023_BSNL_143522_1
631,[Improvement .of road by Providing RMC from H.No.101 to H.No.151 G block kalkaji Ward no.90-S CNZ],Improvement .of road by Providing RMC from H.No.101 to H.No.151 G block kalkaji Ward no.90-S CNZ] [21/EE (M)-II/CNZ/TC/2022-23/01,2023_MCD_143505_1
632,[BDU/ MRO/ Kolkata 3],BDU/ MRO/ Kolkata 3] [BDU/ MRO/ Kolkata 3,2023_AAI_143391_1
633,[IMP. DEV. OF BOUNDARY WALL],IMP. DEV. OF BOUNDARY WALL] [EE(M-II)KPZ/TC/2022-23/26/01,2023_NDMC_143401_1
634,[ARMO Ballygunje TE],ARMO Ballygunje TE] [95/CD-I/BSNL/Kol/22-23,2023_BSNL_143510_1
635,"[Operation, Management and Maintenance Free User Charge Basis scheme of Community Toilet Complex s in under jurisdiction of Municipal Corporation of Delhi - Group No 07/ Narela Zone]","Operation, Management and Maintenance Free User Charge Basis scheme of Community Toilet Complex s in under jurisdiction of Municipal Corporation of Delhi - Group No 07/ Narela Zone] [EE/DEMS-III/TC/2022-23/NITNO02",2023_MCD_143509_1
636,[SUPPLY OF STEEL CASTING],SUPPLY OF STEEL CASTING] [ILP/AD2/ADC031/22-23/TE-2245,2023_ILTD_143515_1
637,[4G saturation OFC Tender 58 G Madugula 21 Routes],4G saturation OFC Tender 58 G Madugula 21 Routes] [E-324134 VSK BA-19/14(11)/33/2023-CM PLG AND BTS V,2023_BSNL_143526_1
638,[MRO Site 1 at Begumpet Airport],MRO Site 1 at Begumpet Airport] [BDU/ MRO/ Begumpet 1,2023_AAI_143375_1
639,[Engaging Tata 407],Engaging Tata 407] [EE(M-II)KPZ/TC/2022-23/26/06,2023_NDMC_143426_1
640,[SUPPLY OF STEEL CASTING],SUPPLY OF STEEL CASTING] [ILP/AD2/ADC031/22-23/TE-2245,2023_ILTD_143515_1
641,[BDU/ MRO/ Begumpet 3],BDU/ MRO/ Begumpet 3] [BDU/ MRO/ Begumpet 3,2023_AAI_143382_1
642,[BDU/ MRO/ Begumpet 2],BDU/ MRO/ Begumpet 2] [BDU/ MRO/ Begumpet 2,2023_AAI_143381_1
643,[Engaging Tata 407],Engaging Tata 407] [EE(M-II)KPZ/TC/2022-23/26/06,2023_NDMC_143426_1
644,[MRO Site 1 at Begumpet Airport],MRO Site 1 at Begumpet Airport] [BDU/ MRO/ Begumpet 1,2023_AAI_143375_1
645,[BDU/ MRO/ Tirupati 2],BDU/ MRO/ Tirupati 2] [BDU/ MRO/ Tirupati 2,2023_AAI_143416_1
646,[IMP. DEV. OF FLAT],IMP. DEV. OF FLAT] [EE(M-II)KPZ/TC/2022-23/26/04,2023_NDMC_143418_1
647,[BDU/ MRO/ Kolkata 4],BDU/ MRO/ Kolkata 4] [BDU/ MRO/ Kolkata 4,2023_AAI_143396_1
648,[IMP. DEV. OF BOUNDARY WALL],IMP. DEV. OF BOUNDARY WALL] [EE(M-II)KPZ/TC/2022-23/26/01,2023_NDMC_143401_1
649,[IMP. DEV. OF DRAINAGE SYSTEM],IMP. DEV. OF DRAINAGE SYSTEM] [EE(M-II)KPZ/TC/2022-23/26/03,2023_NDMC_143414_1
650,[BDU/ MRO/ Kolkata 2],BDU/ MRO/ Kolkata 2] [BDU/ MRO/ Kolkata 2,2023_AAI_143387_1
651,"[Desilting of Subhash Nagar drain along Mukhram Garden, Hind Nagar, Sant Nagar, Sant Nagar Extension and Opposite Harijan Basti 80 Gaj by excavating and transporting to SLF From Ward No.97 Chowkhandi Nagar.]","Desilting of Subhash Nagar drain along Mukhram Garden, Hind Nagar, Sant Nagar, Sant Nagar Extension and Opposite Harijan Basti 80 Gaj by excavating and transporting to SLF From Ward No.97 Chowkhandi Nagar.] [ E.E.(M-I)/WZ/2022-23/TC/36/03",2023_SDMC_143496_1
652,[MM/TCR/ TENDER/ FE/2022-23/4 Dated at THRISSUR 31.01.2023],MM/TCR/ TENDER/ FE/2022-23/4 Dated at THRISSUR 31.01.2023] [MM/TCR/ TENDER/ FE/2022-23/4 Dated at THRISSUR,2023_BSNL_143472_1
653,"[Desilting of Covered Drains from FCTS to PWD Road behind Pacific Mall, K-88 Shyam Nagar to J-85 Vishnu garden, harijan Basti Culvert to WZ-93 Harijan Colony, M-23 Shyam Nagar to J-220/20 Vishnu Garden, WZ-6/B Mukharjee Park to SI Office 80 Foot Road ]","Desilting of Covered Drains from FCTS to PWD Road behind Pacific Mall, K-88 Shyam Nagar to J-85 Vishnu garden, harijan Basti Culvert to WZ-93 Harijan Colony, M-23 Shyam Nagar to J-220/20 Vishnu Garden, WZ-6/B Mukharjee Park to SI Office 80 Foot Road ] [ E.E.(M-I)/WZ/2022-23/TC/36/04",2023_SDMC_143500_1
654,[NIT No 16/EEE/KBZ/2022-23 Item No. 01],NIT No 16/EEE/KBZ/2022-23 Item No. 01] [16/EEE/KBZ/2022-23,2023_MCD_143495_1
655,[BDU/ MRO/ Juhu 3],BDU/ MRO/ Juhu 3] [BDU/ MRO/ Juhu 3,2023_AAI_143464_1
656,[EOI for SITC and OandM of CCTV Surveillance system Gujrat POlice Station],EOI for SITC and OandM of CCTV Surveillance system Gujrat POlice Station] [TCIL/78/IT1/22-23/GIL_CCTVPS,2022_TCIL_135506_2
657,[BDU/ MRO/ Juhu 2],BDU/ MRO/ Juhu 2] [BDU/ MRO/ Juhu 2,2023_AAI_143460_1
658,"[SUPPLY, INSTALLATION, COMMISSIONING, DEMONSTRATION AND TRAINING OF MIXED SIGNAL OSCILLOSCOPE WITH BUILT IN FUNCTION/WAVEFORM GENERATOR]","SUPPLY, INSTALLATION, COMMISSIONING, DEMONSTRATION AND TRAINING OF MIXED SIGNAL OSCILLOSCOPE WITH BUILT IN FUNCTION/WAVEFORM GENERATOR] [P/NC/156/DK/SO(SB)/OTE/22-23",2023_CSIR_143468_1
659,[Annual repairs and maintenance work of AAI-PHHL Colony at Juhu Airport for the financial year 2023 24.],Annual repairs and maintenance work of AAI-PHHL Colony at Juhu Airport for the financial year 2023 24.] [AAI/AGM(E-C)/E-NIT/JJ/ ,2023_AAI_143463_1
660,[Annual repairs and maintenance work of AAI-PHHL Colony at Juhu Airport for the financial year 2023 24.],Annual repairs and maintenance work of AAI-PHHL Colony at Juhu Airport for the financial year 2023 24.] [AAI/AGM(E-C)/E-NIT/JJ/ ,2023_AAI_143463_1
661,[BDU/ MRO/ Juhu 1],BDU/ MRO/ Juhu 1] [BDU/ MRO/ Juhu 1,2023_AAI_143453_1
662,[NIT No 16/EEE/KBZ/2022-23 Item No. 01],NIT No 16/EEE/KBZ/2022-23 Item No. 01] [16/EEE/KBZ/2022-23,2023_MCD_143495_1
663,[EOI for SITC and OandM of CCTV Surveillance system Gujrat POlice Station],EOI for SITC and OandM of CCTV Surveillance system Gujrat POlice Station] [TCIL/78/IT1/22-23/GIL_CCTVPS,2022_TCIL_135506_2
664,[ Design supply installation testing and commissioning of AFC system by Re Engineering the existing Lucknow Metro closed loop system for implementation of Open Loop EMV NCMC card and QR Code ticketing], Design supply installation testing and commissioning of AFC system by Re Engineering the existing Lucknow Metro closed loop system for implementation of Open Loop EMV NCMC card and QR Code ticketing] [LKS-04,2023_UPMRC_143485_1
665,"[Desilting of covered drains from Guru Govind Singh Hospital to N.G. Drain, H.No. S-221/1 to New Khyalla Road, S Block Dispensary to Rati Ram Chowk and H.No. WZ-183 to NW Chowk Drain, H.No. WZ-151 to Harijan Chopal, H.No. B-1/100 to NW Chowk, N-5 Vish]","Desilting of covered drains from Guru Govind Singh Hospital to N.G. Drain, H.No. S-221/1 to New Khyalla Road, S Block Dispensary to Rati Ram Chowk and H.No. WZ-183 to NW Chowk Drain, H.No. WZ-151 to Harijan Chopal, H.No. B-1/100 to NW Chowk, N-5 Vish] [E.E.(M-I)/WZ/2022-23/TC/36/01",2023_SDMC_143490_1
666,[CECRI/2023/1277 - 1.5 Ton AC with 4 KVA Stabilizer],CECRI/2023/1277 - 1.5 Ton AC with 4 KVA Stabilizer] [CECRI/2023/1277 - 1.5 Ton AC with 4 KVA Stabilizer,2023_CSIR_143501_1
667,"[Supply, Installation, Testing and Commissioning of 200 kVA DG set for CTMD Division at CSIR-NEERI, Nagpur. ]","Supply, Installation, Testing and Commissioning of 200 kVA DG set for CTMD Division at CSIR-NEERI, Nagpur. ] [50(44)/2020-21/W",2022_CSIR_139799_3
668,[Installation of new highway lights on Jind bypass on old NH-71 from km 238.695 to km 307.000 (New NH-352) i.e. Jind to Punjab/Haryana Border in the State of Haryana.],Installation of new highway lights on Jind bypass on old NH-71 from km 238.695 to km 307.000 (New NH-352) i.e. Jind to Punjab/Haryana Border in the State of Haryana.] [PD-HSR/HSR-DBL/NH-10/PKG-I/RFP,2023_NHAI_143497_1
669,[Construction of PCC Road at Jaraiya Village under CSR at DVC Tilaya Dam ],Construction of PCC Road at Jaraiya Village under CSR at DVC Tilaya Dam ] [DVC/Tender/MAITHON/KONAR CIVIL/00129,2023_DVC_143492_1
670,[4G saturation OFC Tender 56 Chintapalli 19 Routes],4G saturation OFC Tender 56 Chintapalli 19 Routes] [E-324077 VSK BA-19/14(11)/31/2023-CM PLG AND BTS V,2023_BSNL_143449_1
671,[43-86/DE/CNTX/DMP/SUKHOVI_JN DTD 21.01.2023],43-86/DE/CNTX/DMP/SUKHOVI_JN DTD 21.01.2023] [43-86/DE/CNTX/SUKHOVI JN ,2023_BSNL_143470_1
672,"[Supply, Testing, Installation and Commissioning of Transfection System]","Supply, Testing, Installation and Commissioning of Transfection System] [IGIB/5-2NC/370/22-23(1138)",2023_CSIR_143488_1
673,[SUPPLY OF VA5 Spacer],SUPPLY OF VA5 Spacer] [ILP/SC2/ADP169/2022-23/TE-2239,2023_ILTD_143483_1
674,[Imp. Dev. of Various Lanes in ward C-82 Anand Parbat Sub Head- 1 Imp. Dev. of Lane H. No.-B-159 to H. No B149 in Subhadra Colony by pdg RMC and Drainage in Ward No C-82-N C-SPZ. Sub Head -2 Imp. Dev of Lane from P. No.- 18-39 to P. No 18-33 in Ana],Imp. Dev. of Various Lanes in ward C-82 Anand Parbat Sub Head- 1 Imp. Dev. of Lane H. No.-B-159 to H. No B149 in Subhadra Colony by pdg RMC and Drainage in Ward No C-82-N C-SPZ. Sub Head -2 Imp. Dev of Lane from P. No.- 18-39 to P. No 18-33 in Ana] [EE_M_I_City _CSPZ_TC_ 2022-23_ 19_2,2023_NDMC_143429_1
675,"[IMP. DEV. of various Lanes in Ward No.C82-N C-SPZ Anand Parbat.-Sub Head 1- IMP. DEV. Of Lane from P. No- J-252 to P.No- S-21-A in Anand Parbat by Pdg RMC and Drainage in Ward No.C-82-N/C-SPZ, Sub Head -2- IMP. DEV. OF Lane from P. No-17 to]","IMP. DEV. of various Lanes in Ward No.C82-N C-SPZ Anand Parbat.-Sub Head 1- IMP. DEV. Of Lane from P. No- J-252 to P.No- S-21-A in Anand Parbat by Pdg RMC and Drainage in Ward No.C-82-N/C-SPZ, Sub Head -2- IMP. DEV. OF Lane from P. No-17 to] [EE_M_I_City _CSPZ_TC_ 2022-23_ 19_1",2023_NDMC_143405_1
676,[LIFTTESHEVAPET],LIFTTESHEVAPET] [10/EEEBSNLED/SLM/2022-23,2023_BSNL_143412_1
677,"[Radio Remote Ground Station RGS at VSI Airport, Port Blair]","Radio Remote Ground Station RGS at VSI Airport, Port Blair] [AAI/PB/COMML/RGS",2023_AAI_143315_1
678,[Supply of O Ring viton],Supply of O Ring viton] [ILP/SC2/ADP139/2022-23/TE-2237,2023_ILTD_143469_1
679,[Supply installation testing and commissioning of 1 No. Thermal camera in the waterfront side of Port with 5 years CAMC after post warranty of 1 year],Supply installation testing and commissioning of 1 No. Thermal camera in the waterfront side of Port with 5 years CAMC after post warranty of 1 year] [MEE-SE-ELE-2875-2022,2023_VOCPT_143447_1
