,0
2018-12-18,1.81
2018-12-19,1.8
2018-12-20,1.76
2018-12-21,1.77
2018-12-24,1.75
2018-12-25,
2018-12-26,1.77
2018-12-27,1.74
2018-12-28,1.73
2018-12-31,1.71
2019-01-01,
2019-01-02,1.7
2019-01-03,1.68
2019-01-04,1.76
2019-01-07,1.78
2019-01-08,1.82
2019-01-09,1.83
2019-01-10,1.81
2019-01-11,1.83
2019-01-14,1.81
2019-01-15,1.81
2019-01-16,1.82
2019-01-17,1.79
2019-01-18,1.83
2019-01-21,
2019-01-22,1.79
2019-01-23,1.8
2019-01-24,1.77
2019-01-25,1.79
2019-01-28,1.78
2019-01-29,1.78
2019-01-30,1.84
2019-01-31,1.85
2019-02-01,1.88
2019-02-04,1.87
2019-02-05,1.87
2019-02-06,1.86
2019-02-07,1.84
2019-02-08,1.82
2019-02-11,1.82
2019-02-12,1.83
2019-02-13,1.86
2019-02-14,1.85
2019-02-15,1.86
2019-02-18,
2019-02-19,1.87
2019-02-20,1.89
2019-02-21,1.91
2019-02-22,1.91
2019-02-25,1.92
2019-02-26,1.92
2019-02-27,1.93
2019-02-28,1.95
2019-03-01,1.96
2019-03-04,1.94
2019-03-05,1.93
2019-03-06,1.91
2019-03-07,1.9
2019-03-08,1.9
2019-03-11,1.91
2019-03-12,1.9
2019-03-13,1.92
2019-03-14,1.94
2019-03-15,1.94
2019-03-18,1.96
2019-03-19,1.95
2019-03-20,1.96
2019-03-21,1.96
2019-03-22,1.9
2019-03-25,1.88
2019-03-26,1.86
2019-03-27,1.84
2019-03-28,1.83
2019-03-29,1.88
2019-04-01,1.9
2019-04-02,1.9
2019-04-03,1.91
2019-04-04,1.9
2019-04-05,1.9
2019-04-08,1.91
2019-04-09,1.91
2019-04-10,1.94
2019-04-11,1.94
2019-04-12,1.95
2019-04-15,1.94
2019-04-16,1.96
2019-04-17,1.94
2019-04-18,1.95
2019-04-19,
2019-04-22,1.95
2019-04-23,1.95
2019-04-24,1.96
2019-04-25,1.98
2019-04-26,1.97
2019-04-29,1.96
2019-04-30,1.95
2019-05-01,1.93
2019-05-02,1.89
2019-05-03,1.91
2019-05-06,1.91
2019-05-07,1.87
2019-05-08,1.87
2019-05-09,1.85
2019-05-10,1.88
2019-05-13,1.85
2019-05-14,1.86
2019-05-15,1.83
2019-05-16,1.84
2019-05-17,1.81
2019-05-20,1.81
2019-05-21,1.83
2019-05-22,1.79
2019-05-23,1.73
2019-05-24,1.76
2019-05-27,
2019-05-28,1.73
2019-05-29,1.75
2019-05-30,1.74
2019-05-31,1.74
2019-06-03,1.73
2019-06-04,1.74
2019-06-05,1.75
2019-06-06,1.73
2019-06-07,1.74
2019-06-10,1.73
2019-06-11,1.72
2019-06-12,1.71
2019-06-13,1.68
2019-06-14,1.63
2019-06-17,1.61
2019-06-18,1.64
2019-06-19,1.67
2019-06-20,1.74
2019-06-21,1.73
2019-06-24,1.71
2019-06-25,1.67
2019-06-26,1.7
2019-06-27,1.68
2019-06-28,1.69
2019-07-01,1.69
2019-07-02,1.65
2019-07-03,1.65
2019-07-04,
2019-07-05,1.69
2019-07-08,1.7
2019-07-09,1.71
2019-07-10,1.74
2019-07-11,1.77
2019-07-12,1.77
2019-07-15,1.77
2019-07-16,1.8
2019-07-17,1.75
2019-07-18,1.79
2019-07-19,1.8
2019-07-22,1.79
2019-07-23,1.81
2019-07-24,1.79
2019-07-25,1.8
2019-07-26,1.78
2019-07-29,1.77
2019-07-30,1.78
2019-07-31,1.76
2019-08-01,1.7
2019-08-02,1.66
2019-08-05,1.6
2019-08-06,1.62
2019-08-07,1.62
2019-08-08,1.65
2019-08-09,1.66
2019-08-12,1.61
2019-08-13,1.63
2019-08-14,1.57
2019-08-15,1.54
2019-08-16,1.54
2019-08-19,1.56
2019-08-20,1.53
2019-08-21,1.54
2019-08-22,1.55
2019-08-23,1.54
2019-08-26,1.54
2019-08-27,1.55
2019-08-28,1.55
2019-08-29,1.59
2019-08-30,1.55
2019-09-02,
2019-09-03,1.5
2019-09-04,1.51
2019-09-05,1.56
2019-09-06,1.54
2019-09-09,1.57
2019-09-10,1.6
2019-09-11,1.6
2019-09-12,1.63
2019-09-13,1.67
2019-09-16,1.67
2019-09-17,1.66
2019-09-18,1.59
2019-09-19,1.61
2019-09-20,1.61
2019-09-23,1.61
2019-09-24,1.58
2019-09-25,1.6
2019-09-26,1.57
2019-09-27,1.53
2019-09-30,1.53
2019-10-01,1.52
2019-10-02,1.5
2019-10-03,1.48
2019-10-04,1.5
2019-10-07,1.51
2019-10-08,1.48
2019-10-09,1.49
2019-10-10,1.52
2019-10-11,1.56
2019-10-14,
2019-10-15,1.56
2019-10-16,1.57
2019-10-17,1.59
2019-10-18,1.6
2019-10-21,1.61
2019-10-22,1.61
2019-10-23,1.61
2019-10-24,1.62
2019-10-25,1.65
2019-10-28,1.64
2019-10-29,1.61
2019-10-30,1.57
2019-10-31,1.54
2019-11-01,1.59
2019-11-04,1.64
2019-11-05,1.68
2019-11-06,1.66
2019-11-07,1.69
2019-11-08,1.71
2019-11-11,
2019-11-12,1.7
2019-11-13,1.66
2019-11-14,1.62
2019-11-15,1.63
2019-11-18,1.63
2019-11-19,1.63
2019-11-20,1.6
2019-11-21,1.63
2019-11-22,1.62
2019-11-25,1.62
2019-11-26,1.62
2019-11-27,1.63
2019-11-28,
2019-11-29,1.61
2019-12-02,1.65
2019-12-03,1.63
2019-12-04,1.66
2019-12-05,1.67
2019-12-06,1.69
2019-12-09,1.69
2019-12-10,1.71
2019-12-11,1.69
2019-12-12,1.72
2019-12-13,1.7
2019-12-16,1.73
2019-12-17,1.75
2019-12-18,1.76
2019-12-19,1.77
2019-12-20,1.77
2019-12-23,1.75
2019-12-24,1.75
2019-12-25,
2019-12-26,1.74
2019-12-27,1.73
2019-12-30,1.75
2019-12-31,1.77
2020-01-01,
2020-01-02,1.8
2020-01-03,1.77
2020-01-06,1.75
2020-01-07,1.74
2020-01-08,1.75
2020-01-09,1.74
2020-01-10,1.76
2020-01-13,1.77
2020-01-14,1.77
2020-01-15,1.75
2020-01-16,1.74
2020-01-17,1.75
2020-01-20,
2020-01-21,1.74
2020-01-22,1.72
2020-01-23,1.7
2020-01-24,1.68
2020-01-27,1.63
2020-01-28,1.65
2020-01-29,1.64
2020-01-30,1.64
2020-01-31,1.65
2020-02-03,1.63
2020-02-04,1.64
2020-02-05,1.66
2020-02-06,1.67
2020-02-07,1.66
2020-02-10,1.66
2020-02-11,1.65
2020-02-12,1.66
2020-02-13,1.67
2020-02-14,1.66
2020-02-17,
2020-02-18,1.65
2020-02-19,1.65
2020-02-20,1.63
2020-02-21,1.61
2020-02-24,1.59
2020-02-25,1.53
2020-02-26,1.54
2020-02-27,1.53
2020-02-28,1.41
2020-03-02,1.41
2020-03-03,1.45
2020-03-04,1.46
2020-03-05,1.4
2020-03-06,1.31
2020-03-09,0.99
2020-03-10,1.0
2020-03-11,0.96
2020-03-12,0.92
2020-03-13,0.9
2020-03-16,0.73
2020-03-17,0.63
2020-03-18,0.63
2020-03-19,0.5
2020-03-20,0.75
2020-03-23,0.8
2020-03-24,0.97
2020-03-25,1.07
2020-03-26,1.07
2020-03-27,0.94
2020-03-30,0.95
2020-03-31,0.87
2020-04-01,0.91
2020-04-02,1.03
2020-04-03,1.08
2020-04-06,1.14
2020-04-07,1.17
2020-04-08,1.19
2020-04-09,1.23
2020-04-10,
2020-04-13,1.26
2020-04-14,1.29
2020-04-15,1.19
2020-04-16,1.03
2020-04-17,1.01
2020-04-20,0.94
2020-04-21,0.96
2020-04-22,1.06
2020-04-23,1.05
2020-04-24,1.11
2020-04-27,1.17
2020-04-28,1.14
2020-04-29,1.14
2020-04-30,1.07
2020-05-01,1.06
2020-05-04,1.07
2020-05-05,1.1
2020-05-06,1.1
2020-05-07,1.08
2020-05-08,1.12
2020-05-11,1.13
2020-05-12,1.09
2020-05-13,1.07
2020-05-14,1.06
2020-05-15,1.09
2020-05-18,1.17
2020-05-19,1.15
2020-05-20,1.16
2020-05-21,1.14
2020-05-22,1.12
2020-05-25,
2020-05-26,1.13
2020-05-27,1.14
2020-05-28,1.18
2020-05-29,1.15
2020-06-01,1.18
2020-06-02,1.18
2020-06-03,1.21
2020-06-04,1.22
2020-06-05,1.27
2020-06-08,1.28
2020-06-09,1.26
2020-06-10,1.27
2020-06-11,1.21
2020-06-12,1.21
2020-06-15,1.23
2020-06-16,1.27
2020-06-17,1.26
2020-06-18,1.28
2020-06-19,1.3
2020-06-22,1.34
2020-06-23,1.38
2020-06-24,1.33
2020-06-25,1.33
2020-06-26,1.32
2020-06-29,1.34
2020-06-30,1.34
2020-07-01,1.37
2020-07-02,1.41
2020-07-03,
2020-07-06,1.45
2020-07-07,1.43
2020-07-08,1.42
2020-07-09,1.39
2020-07-10,1.41
2020-07-13,1.42
2020-07-14,1.41
2020-07-15,1.41
2020-07-16,1.41
2020-07-17,1.46
2020-07-20,1.46
2020-07-21,1.48
2020-07-22,1.48
2020-07-23,1.49
2020-07-24,1.51
2020-07-27,1.52
2020-07-28,1.51
2020-07-29,1.53
2020-07-30,1.52
2020-07-31,1.55
2020-08-03,1.58
2020-08-04,1.57
2020-08-05,1.61
2020-08-06,1.63
2020-08-07,1.61
2020-08-10,1.61
2020-08-11,1.63
2020-08-12,1.67
2020-08-13,1.67
2020-08-14,1.65
2020-08-17,1.66
2020-08-18,1.68
2020-08-19,1.67
2020-08-20,1.62
2020-08-21,1.64
2020-08-24,1.67
2020-08-25,1.7
2020-08-26,1.72
2020-08-27,1.73
2020-08-28,1.77
2020-08-31,1.8
2020-09-01,1.76
2020-09-02,1.73
2020-09-03,1.65
2020-09-04,1.7
2020-09-07,
2020-09-08,1.68
2020-09-09,1.71
2020-09-10,1.69
2020-09-11,1.65
2020-09-14,1.65
2020-09-15,1.67
2020-09-16,1.68
2020-09-17,1.66
2020-09-18,1.67
2020-09-21,1.62
2020-09-22,1.62
2020-09-23,1.6
2020-09-24,1.58
2020-09-25,1.58
2020-09-28,1.61
2020-09-29,1.64
2020-09-30,1.63
2020-10-01,1.63
2020-10-02,1.64
2020-10-05,1.68
2020-10-06,1.66
2020-10-07,1.71
2020-10-08,1.72
2020-10-09,1.73
2020-10-12,
2020-10-13,1.7
2020-10-14,1.69
2020-10-15,1.69
2020-10-16,1.71
2020-10-19,1.71
2020-10-20,1.72
2020-10-21,1.74
2020-10-22,1.76
2020-10-23,1.75
2020-10-26,1.72
2020-10-27,1.71
2020-10-28,1.7
2020-10-29,1.71
2020-10-30,1.7
2020-11-02,1.71
2020-11-03,1.72
2020-11-04,1.64
2020-11-05,1.66
2020-11-06,1.65
2020-11-09,1.73
2020-11-10,1.76
2020-11-11,
2020-11-12,1.71
2020-11-13,1.72
2020-11-16,1.72
2020-11-17,1.7
2020-11-18,1.7
2020-11-19,1.7
2020-11-20,1.69
2020-11-23,1.71
2020-11-24,1.74
2020-11-25,1.75
2020-11-26,
2020-11-27,1.75
2020-11-30,1.77
2020-12-01,1.81
2020-12-02,1.85
2020-12-03,1.86
2020-12-04,1.89
2020-12-07,1.88
2020-12-08,1.89
2020-12-09,1.91
2020-12-10,1.88
2020-12-11,1.87
2020-12-14,1.88
2020-12-15,1.91
2020-12-16,1.92
2020-12-17,1.94
2020-12-18,1.95
2020-12-21,1.95
2020-12-22,1.94
2020-12-23,1.97
2020-12-24,1.97
2020-12-25,
2020-12-28,1.97
2020-12-29,1.96
2020-12-30,1.96
2020-12-31,1.99
