Tender,Company,Procurement,Notice,Location,Closing,Value,Date,Tender_Url
1 x Assistant Resourcing Specialist (ARS),Sandwell Metropolitan Borough Council,  Opportunity,  Open,  B70 8SZ,"  20 September 2022, 10am","Contract value £4,892.88 to £5,736.48",  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/c0289246-118a-4d10-b0d1-bc2e24ac8627?origin=SearchResults&p=5
Invitation to tender for creation of a Skatepark for wheeled sports,Evercreech Parish Council,  Opportunity,  Open,  BA4 6PE,"  15 October 2022, 12pm","Contract value £75,000",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/86c964e8-c0be-4156-9ada-90602de7e997?origin=SearchResults&p=5
PRJ 1206 Organisational Development and Population Health - SEL ICB,NHS South East London Integrated Care Board,  Opportunity,  Open,  England,"  23 September 2022,  5pm","Contract value £45,000","  14 September 2022, last edited 14 September 2022",https://www.contractsfinder.service.gov.uk/notice/3281a339-b8ef-4b86-b03b-437bdb42d0ce?origin=SearchResults&p=5
CBC-1431-FA-LS Homecare & Support in the Community in Central Bedfordshire,Central Bedfordshire Council,  Opportunity,  Open,  SG17 5TQ,"  24 October 2022,  9am",Contract value £0,  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/dacc5e4f-9eee-42ac-956c-7a993d888020?origin=SearchResults&p=5
Car Park Management and Enforcement,West Midlands Combined Authority,  Opportunity,  Open,  B19 3SD,"  30 September 2022, 12pm","Contract value £0 to £120,000",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/9fb08656-9478-4604-86b9-28dff29e62a3?origin=SearchResults&p=5
Dynamic Purchasing System (DPS) for the Provision of Highways Construction Works,Doncaster Council,  Opportunity,  Open,  Yorkshire and the Humber,"  18 October 2022, 12pm","Contract value £0 to £155,000,000",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/e25d5653-59de-4ed0-babb-199a0e94f7db?origin=SearchResults&p=5
Business Coaching Services Framework RFP,Digital Catapult,  Opportunity,  Open,  London,"   5 October 2022,  2pm","Contract value £120,000 to £160,000",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/c26d058e-0b95-4c61-b304-64e9e4176ea2?origin=SearchResults&p=5
Repointing and Associated Works Elvington and Eythorne,Dover District Council,  Opportunity,  Open,  England,"  12 October 2022, 12pm","Contract value £96,000",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/d874cf14-8d11-47c9-a9f4-4dcfda6e4486?origin=SearchResults&p=5
CA11094 - Genesis Education Trust & Little Learners Nursery Group - catering contracts,The Sustainable Catering Consultancy,  Opportunity,  Open,  CB248AN,"  19 October 2022, 10am",Contract value £0,  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/a38f9ec0-d39a-4e87-a0d3-e5bc3917209e?origin=SearchResults&p=5
Executive Search for Director Appointments,West Yorkshire Combined Authority,  Opportunity,  Open,  LS1 2DE,"  14 October 2022, 12pm","Contract value £0 to £212,400",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/20172817-b117-408b-8a0e-ce5173530b1a?origin=SearchResults&p=5
TD041-20 Doughty Road Depot Weighbridge,EU SUPPLY LIMITED,  Opportunity,  Open,  Yorkshire and the Humber,"  20 September 2022,  1pm","Contract value £140,000 to £140,001","  25 August 2022, last edited 14 September 2022",https://www.contractsfinder.service.gov.uk/notice/a3c45567-da7a-4229-9940-a0c80adc881c?origin=SearchResults&p=5
GB-Pendle: Creating and developing Economic Growth capacity within Pendle,GB-Pendle: Creating and developing Economic Growth capacity within Pendle,  Opportunity,  Open,  Any region,"  28 September 2022, 12pm","Contract value £10,000 to £25,000",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/e3a79997-f45f-4894-9f50-d27308bab944?origin=SearchResults&p=6
GB-South East Lincolnshire: Creating a creative industry across South East Lincolnshire,Improvement and Development Agency,  Opportunity,  Open,  Any region,"  28 September 2022, 12pm","Contract value £10,000 to £25,000",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/85404769-08df-4f35-a60e-37ac931677a8?origin=SearchResults&p=6
The Provision of Banking Services 2022,Dudley Metropolitan Borough Council,  Opportunity,  Open,  DY1 1HF,"  14 October 2022, 12pm",Contract value £0,  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/d823ff16-b822-4c65-8344-01c7f18af7f5?origin=SearchResults&p=6
Corby Urgent Care Centre,NHS Northamptonshire ICB,  Opportunity,  Open,  United Kingdom,"  17 October 2022, 12pm","Contract value £39,000,000","   2 September 2022, last edited 14 September 2022",https://www.contractsfinder.service.gov.uk/notice/504062c5-7445-4b60-8989-46fef4c1a731?origin=SearchResults&p=6
Tree Maintenance - Reactive - Tree Maintenance - Reactive - Homes for Haringey,London Borough of Haringey - Parks and Leisure,  Opportunity,  Open,  United Kingdom,"  26 September 2022, 10am",Contract value £0,  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/e2b71545-ff33-41eb-bc73-4eebacaff680?origin=SearchResults&p=6
G-Alfea Sonobuoys,Ministry of Defence,  Opportunity,  Open,  PO2 8BY,"  28 September 2022, 11am","Contract value £491,700",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/ff940e1b-c58e-449a-94a3-8947f7bd903c?origin=SearchResults&p=6
SSSI Citation Features Contract,Natural England,  Opportunity,  Open,  England,"  30 September 2022,  5pm","Contract value £1,000 to £24,999",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/b80da834-ae87-4d9c-9206-48842a389a1d?origin=SearchResults&p=6
North East Lincolnshire Traffic Data 2022/23,EU SUPPLY LIMITED,  Opportunity,  Open,  Yorkshire and the Humber,"  20 September 2022,  1pm","Contract value £20,000 to £20,001","  30 August 2022, last edited 14 September 2022",https://www.contractsfinder.service.gov.uk/notice/457100ec-1903-4fff-b9c1-cce85ea16dfb?origin=SearchResults&p=6
Highways Term Maintenance Contracts - Halton Borough Council and Warrington Borough Council,Halton Borough Council,  Opportunity,  Open,  United Kingdom,"  23 September 2022,  3pm","Contract value £117,000,000","  13 July 2022, last edited 14 September 2022",https://www.contractsfinder.service.gov.uk/notice/7f6f37e8-e0ec-408d-a94e-1e437d056775?origin=SearchResults&p=6
"Cultural Heart Programme Zone 2 Library, Gallery & Museum, Food Hall, and Urban Park, Huddersfield Town Centre",Kirklees Council,  Opportunity,  Open,  Yorkshire and the Humber,"  31 October 2022, 12pm","Contract value £105,000,000","  15 August 2022, last edited 14 September 2022",https://www.contractsfinder.service.gov.uk/notice/0ce02784-b957-4c51-a26e-2434b2e31fcc?origin=SearchResults&p=6
Gigabit Infrastructure Subsidy Programme -  Dynamic Purchasing System (DPS),Building Digital UK (BDUK),  Opportunity,  Open,  SW1A 2BQ,"   6 April 2030, 12pm","Contract value £2,000,000,000",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/40337bc6-a6cf-483e-b393-734e7a1038d3?origin=SearchResults&p=6
"Cultural Heart Programme, Zone 1 - Multi Storey Car Park and Venue, Huddersfield Town Centre",Kirklees Council,  Opportunity,  Open,  Yorkshire and the Humber,"  31 October 2022, 12pm","Contract value £60,000,000","  15 August 2022, last edited 14 September 2022",https://www.contractsfinder.service.gov.uk/notice/fd762c57-56f2-4df9-9769-54c04a4d585e?origin=SearchResults&p=6
Medical Pulp & Associated Products 2023,NHS Supply Chain,  Future opportunity,  Open,"  North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West, Wales, Northern Ireland",Approach to market date  3 October 2022,"Contract value £62,500,000",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/01d461a5-1402-4281-82ca-dec175f96a3f?origin=SearchResults&p=6
"Wind Expert Support Toolkit (""WEST"") Programme Framework (2022)",Offshore Renewable Energy Catapult,  Opportunity,  Open,  United Kingdom,"  17 October 2022, 12pm","Contract value £500,000",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/80805bbd-35cf-430b-a0a8-23e3a7209783?origin=SearchResults&p=6
GC Request for Proposal - Type 2 SOC 2 Audit,THE GROWTH COMPANY LIMITED,  Opportunity,  Open,  North West,"  30 September 2022,  5pm",Contract value £0,  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/5cdfa821-2c67-4e64-ab1c-bb7e7675fd55?origin=SearchResults&p=6
"Alteration and Refurbishment of Toilets at the Liphook Millennium Centre, Ontario Way, Liphook, Hampshire GU30 7LD",Bramshott & Liphook Parish Council,  Opportunity,  Open,  GU30 7LD,"   7 October 2022,  1pm","Contract value £40,000",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/7bbe78a1-3179-4ca5-b153-c6d3d3a6edec?origin=SearchResults&p=6
COV - Corporate Workwear and Personal Protective Equipment Framework,Coventry City Council (COV),  Opportunity,  Open,  CV1 2GN,"  18 October 2022, 12pm","Contract value £0 to £548,000",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/303a2b0e-7854-43ad-b868-5324715a9af6?origin=SearchResults&p=6
Language Service,Warrington Borough Council,  Opportunity,  Open,  England,"  11 October 2022, 12pm","Contract value £450,000","   2 September 2022, last edited 14 September 2022",https://www.contractsfinder.service.gov.uk/notice/e4055bf8-bcd8-47ea-8249-4eb1eefe573a?origin=SearchResults&p=6
Cross-country study on how food prices are being affected by short- and long-term government policies and actions by other major economic factors.,WWF-UK (WORLD WIDE FUND FOR NATURE) TRADING LIMITED,  Opportunity,  Open,"  United Kingdom, Isle of Man, Channel Islands, Gibraltar, Europe","   7 October 2022, 12pm","Contract value £35,000 to £51,500",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/cd83278f-a06f-4598-bb22-a6719cebccf9?origin=SearchResults&p=6
GB-East Grinstead: Canadian Wing Refurbishment,Queen Victoria NHS Foundation Trust,  Opportunity,  Open,  Any region,"  10 October 2022, 12pm","Contract value £100,000 to £500,000",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/4421d082-4fea-45dc-8a0f-7071eb519b59?origin=SearchResults&p=6
RA322511 - Neurotherm RF Generator NT2000ix,Hywel Dda University Health Board,  Opportunity,  Open,  SA31 3BB,"  21 September 2022, 10:30am",Contract value £0,  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/899f0480-9df1-4a19-8086-92744f51dc02?origin=SearchResults&p=7
Provision of General (non-life) Insurance and related services to Watford Community Housing Trust,Watford Community Housing Trust,  Opportunity,  Open,  Any region,"  14 October 2022,  5pm","Contract value £1,500,000",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/175d41fb-5567-40ec-b361-d74d9971dfa6?origin=SearchResults&p=7
Regeneration of Play Equipment,PEBWORTH PARISH COUNCIL,  Opportunity,  Open,  CV37 8XA,"  25 November 2022, 12pm","Contract value £79,999 to £80,000",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/d57f4f75-f7c1-4377-be0d-507e861a24f9?origin=SearchResults&p=7
Development of a Tier 2 Lifestyle Weight Management Programme for Children,Cornwall Council,  Opportunity,  Open,  England,"   6 October 2022, 12pm","Contract value £70,000",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/0f44f654-6645-4c6a-a950-7baefb4ab804?origin=SearchResults&p=7
Cryocoolers for the ARIEL Cryogenic Test Rig,UK Research and Innovation,  Opportunity,  Open,  South East,"  19 October 2022, 12pm","Contract value £125,000",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/f07175e9-8a07-4dad-9e9d-bb119bfcf658?origin=SearchResults&p=7
GB-Telford: Public Health Practitioner Level 6 Apprenticeship Standard,Telford & Wrekin Council,  Opportunity,  Open,  West Midlands,"  21 September 2022,  5pm","Contract value £10,000 to £25,000",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/69b1945d-f1c5-454d-87fc-98543ded5677?origin=SearchResults&p=7
3451/JN - Elastomer Capability Test Rig,UNIVERSITY OF SHEFFIELD,  Opportunity,  Open,  Yorkshire and the Humber,"  20 October 2022, 12pm","Contract value £71,500",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/16eeb8e5-4fec-43fb-8c8e-a1b4093782bd?origin=SearchResults&p=7
Invitation to Tender  - Framework for Property Maintenance and Works,Herefordshire Council,  Opportunity,  Open,  England,"  14 October 2022, 12pm","Contract value £200,000","  14 September 2022, last edited 14 September 2022",https://www.contractsfinder.service.gov.uk/notice/240407f6-cb8c-4189-827e-1f7f5ffd05af?origin=SearchResults&p=7
BSH/HRA/Supply of Double Glazed Units and Sheet Glass - DPS,Bristol City Council,  Opportunity,  Open,  England,"  14 October 2022, 12pm","Contract value £700,000",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/46539af6-35ba-4250-845a-93896cafe367?origin=SearchResults&p=7
LSSL - Arboriculture Works,Liverpool City Council,  Opportunity,  Open,  North West,"   5 October 2022, 10am","Contract value £75,000",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/88cdc441-6010-47fa-9f99-f2f6dce10f09?origin=SearchResults&p=7
Provision of consultancy services to assist with review of National Operational Guidance,National Fire Chiefs Council Limited,  Opportunity,  Open,  United Kingdom,"  13 October 2022, 12pm","Contract value £60,000",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/acb91a7b-be46-4737-bbbd-d46eecc37aba?origin=SearchResults&p=7
Generic Flying Systems Trainer (GENFLY) - Request For Information,Ministry of Defence,  Early engagement,  Open,  SN15 4XX,  23 September 2022,"Publication date 24 August 2022, last edited 14 September 2022",None,https://www.contractsfinder.service.gov.uk/notice/48f9cc63-8df9-45f1-959b-502523951836?origin=SearchResults&p=7
"GB-Birmingham: Look, Feel & Space Design Services",UK Athletics Limited,  Opportunity,  Open,  West Midlands,"  26 September 2022,  5pm","Contract value £50,000 to £100,000",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/fb3ccde7-72dd-4180-881c-816ee8eb7916?origin=SearchResults&p=7
Traffic Management Services,Halton Borough Council,  Opportunity,  Open,  England,"  19 October 2022,  3pm","Contract value £429,500",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/5ba50a69-c03a-4eed-9548-b79784d90cee?origin=SearchResults&p=7
Solent NHS Trust HIoW Occupational Health Physicians Any Qualified Provider,Solent NHS Trust,  Opportunity,  Open,  South East,"  14 October 2022,  2pm",Contract value £1,  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/806164ba-2669-49ac-9cdf-2eba0809620e?origin=SearchResults&p=7
Bickershaw Phase 4 Slow the Flow and Environmental Works,Wigan Council,  Opportunity,  Open,  North West,"  21 September 2022,  5pm","Contract value £140,000","  22 August 2022, last edited 14 September 2022",https://www.contractsfinder.service.gov.uk/notice/c3e85e06-1dcb-4fd6-a78a-868251497e8b?origin=SearchResults&p=7
Domestic Abuse Services,Barnsley Metropolitan Borough Council,  Opportunity,  Open,  Yorkshire and the Humber,"  14 October 2022, 12pm","Contract value £0 to £5,155,985",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/69c46ba5-583a-49c8-8c75-8e3a27d3cb1c?origin=SearchResults&p=7
BSH/HRA/Joinery Timber Supplies - DPS,Bristol City Council,  Opportunity,  Open,  England,"  14 October 2022, 12pm","Contract value £1,400,000",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/abe31d27-76ae-4ee8-8f34-1472434c4e40?origin=SearchResults&p=7
WP3811 - Burial Chambers for Streetly Crematorium,Walsall Council e-Tendering,  Opportunity,  Open,  WS1 1TP,"   6 October 2022, 12pm",Contract value £0,  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/a0041894-cdb3-4612-888e-eda0a2b5b885?origin=SearchResults&p=7
Crushing of Highways Arisings,Wakefield Council,  Opportunity,  Open,  Yorkshire and the Humber,"  12 October 2022,  5pm",Contract value £0,  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/a1b5df68-e52e-4d22-bdbf-194733788874?origin=SearchResults&p=7
Literature review falconry and wild take,Natural England,  Opportunity,  Open,  England,"   6 October 2022,  4pm","Contract value £15,000 to £24,999","  13 September 2022, last edited 14 September 2022",https://www.contractsfinder.service.gov.uk/notice/4f45d9ed-5346-439b-bcf7-27dde4ed77fe?origin=SearchResults&p=8
CETE083 - Version 2 Supply of Vehicle Parts to OEM or Equivalent Specification,Derbyshire County Council,  Opportunity,  Open,  England,"   3 November 2022, 10am","Contract value £3,200,000",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/36dffe87-0e0b-4882-b71b-33f47525da42?origin=SearchResults&p=8
DHSC_Nursery Milk Scheme,Department of Health and Social care,  Early engagement,  Open,  SW1H 0EU,  14 October 2022,"Publication date  2 September 2022, last edited 14 September 2022",None,https://www.contractsfinder.service.gov.uk/notice/74a5dee5-7f23-446d-8170-c7d32c039ec3?origin=SearchResults&p=8
Grass and Hedgecutting Services,Cheshire west and Chester Borough Council,  Opportunity,  Open,  England,"  17 October 2022, 10am",Contract value £0,  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/774e3047-621e-4769-9177-48a31efc8952?origin=SearchResults&p=8
UKSAC22_0042 - Space Accelerator Business Support,"Department for Business, Energy & Industrial Strategy",  Opportunity,  Open,  SN2 1SZ,"  23 September 2022,  2pm","Contract value £0 to £1,500,000","   9 August 2022, last edited 14 September 2022",https://www.contractsfinder.service.gov.uk/notice/24e7ce3e-69ec-4e22-adae-1824a225fa33?origin=SearchResults&p=8
Tree Maintenance - Reactive - Tree Maintenance - Reactive - Homes for Haringey,London Borough of Haringey - Parks and Leisure,  Opportunity,  Open,  United Kingdom,"  30 September 2022, 10am",Contract value £0,  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/513075d9-c805-4e63-851e-4339f010c9e3?origin=SearchResults&p=8
Tree Maintenance - Reactive - Tree Maintenance - Reactive - Parks,London Borough of Haringey - Parks and Leisure,  Opportunity,  Open,  United Kingdom,"  30 September 2022, 10am",Contract value £0,  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/73c53d8c-12da-4c84-9ee1-2e3a46a79a5a?origin=SearchResults&p=8
Construction Related Multi-Disciplinary Services - Architectural and related services,Royal Borough of Kingston Upon Thames,  Opportunity,  Open,  United Kingdom,"   5 October 2022,  5pm","Contract value £220,000 to £290,000",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/e72400ee-9d34-47e7-992d-f657b6c6e10c?origin=SearchResults&p=8
AHDB Red Meat Reputation in Foodservice,DEPARTMENT FOR ENVIRONMENT FOOD & RURAL AFFAIRS,  Opportunity,  Open,  United Kingdom,"   7 October 2022, 12pm","Contract value £35,000 to £40,000",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/6cf3743c-642b-4bb6-95f1-3a6fe38e4c6c?origin=SearchResults&p=8
Market Event - Recommissioning intermediate care and reablement services in Medway,Medway Council,  Early engagement,  Open,  ME4 4TR,  22 September 2022,"Publication date  5 September 2022, last edited 14 September 2022",None,https://www.contractsfinder.service.gov.uk/notice/5e615cc6-656f-49f0-9762-ccc47cb8e7a3?origin=SearchResults&p=8
Worklessness Support Service,Wirral Borough Council,  Future opportunity,  Open,  United Kingdom,Approach to market date 14 January 2026,"Contract value £3,840,000",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/28f1ef22-2bbc-43b9-8891-df020890bd8f?origin=SearchResults&p=8
GB-Barnet: BH/341/2022/120CHolden Road,The Barnet Group,  Opportunity,  Open,  London,"   5 October 2022, 12pm","Contract value £10,000 to £25,000","   5 September 2022, last edited 14 September 2022",https://www.contractsfinder.service.gov.uk/notice/79d2a68e-e4e7-40a5-a6c8-9ac6d1cb7954?origin=SearchResults&p=8
Provision of Barrier Pipe and Fittings,Scottish Water,  Opportunity,  Open,  Scotland,"  27 September 2022, 12pm","Contract value £1,284,000","  23 August 2022, last edited 14 September 2022",https://www.contractsfinder.service.gov.uk/notice/440904e9-36f4-49a3-b458-1809dd7b0e1c?origin=SearchResults&p=8
Infrastructure Refresh / Data Centre,KMPT,  Opportunity,  Open,  me20 6wt,"   1 November 2022, 12pm","Contract value £2,000,000","   6 September 2022, last edited 14 September 2022",https://www.contractsfinder.service.gov.uk/notice/501afa18-df00-41a4-b93f-51601239b0d4?origin=SearchResults&p=8
"Pudding Lane, Kent - Ventilation",Riverside,  Opportunity,  Open,  ME14 1FN,"  14 November 2022, 12pm","Contract value £2,200,000",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/94c47390-73f4-4db2-adf3-7e397f9303bd?origin=SearchResults&p=8
Social Return on Investment Study,NHS England,  Opportunity,  Open,  LS2 7UE,"  16 September 2022, 12pm","Contract value £80,000","  23 August 2022, last edited 14 September 2022",https://www.contractsfinder.service.gov.uk/notice/b435c401-eddc-442d-86bc-997fd796713d?origin=SearchResults&p=8
"Market Engagement for the Management, Supply and Fitting of Tyres",GATESHEAD COUNCIL,  Early engagement,  Open,  North East,  30 September 2022,Publication date 14 September 2022,None,https://www.contractsfinder.service.gov.uk/notice/8e80042c-6de9-4349-b0c0-ee8838549a84?origin=SearchResults&p=8
Supported Lodgings and Floating Support Service,EU SUPPLY LIMITED,  Opportunity,  Open,  Yorkshire and the Humber,"  20 September 2022, 12pm","Contract value £532,152 to £892,006","  18 August 2022, last edited 14 September 2022",https://www.contractsfinder.service.gov.uk/notice/090d5ff2-a241-40d1-8e4b-8bdf191c2495?origin=SearchResults&p=8
Tree Maintenance - Reactive - Tree Maintenance - Reactive - Highways,London Borough of Haringey - Parks and Leisure,  Opportunity,  Open,  United Kingdom,"  30 September 2022, 10:44am",Contract value £0,  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/871cae88-cccb-4694-902d-bea65cb9ab61?origin=SearchResults&p=8
9107 RE-ISSUE Learning from Everyday Heritage Grant awards,Historic England,  Opportunity,  Open,  SN2 2EH,"  12 October 2022, 12pm","Contract value £25,000 to £30,000",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/0c2ca497-40f7-4a7e-80c4-4053ca2b2e84?origin=SearchResults&p=8
Surveyor Training course: Fishing Vessel Gear Technology,MCA - Maritime and Coastguard Agency,  Opportunity,  Open,  Any region,"   7 October 2022, 11am","Contract value £41,700","  31 August 2022, last edited 14 September 2022",https://www.contractsfinder.service.gov.uk/notice/b0bbb0c8-2ded-4cad-b1c9-1dcc62c7d256?origin=SearchResults&p=9
CWC22019 Webcasting and Associated Services,Wolverhampton City Council,  Opportunity,  Open,  England,"  26 September 2022, 12pm","Contract value £175,000 to £215,000","  16 August 2022, last edited 14 September 2022",https://www.contractsfinder.service.gov.uk/notice/b3aafecf-23b6-42ec-88cf-5cd76bd6f540?origin=SearchResults&p=9
NHS Parliamentary Awards 2023,NHS England,  Opportunity,  Open,  LS2 7UE,"  20 September 2022, 12pm","Contract value £31,000","   7 September 2022, last edited 14 September 2022",https://www.contractsfinder.service.gov.uk/notice/0bcc7174-4aa3-4bd9-b82b-2faa4bf1c06c?origin=SearchResults&p=9
BBV HS2 MWCC North - Delta Junction - TES-D0-1450 - Earthing and Bonding,Balfour Beatty VINCI JV HS2,  Opportunity,  Open,"  North East, West Midlands, London, Yorkshire and the Humber, East Midlands, East of England, North West, South West","  21 September 2022,  8:30am","Contract value £150,000 to £250,000",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/c134d1a5-cf2e-47da-a603-d0c56529af37?origin=SearchResults&p=9
Live Stream Video Platform Software,County Durham and Darlington Fire and Rescue Service,  Opportunity,  Open,  DH1 1TW,"   5 October 2022, 12pm","Contract value £25,000 to £40,000","  14 September 2022, last edited 14 September 2022",https://www.contractsfinder.service.gov.uk/notice/eb0bc44a-f2d1-43d2-a5a5-d08c607b7321?origin=SearchResults&p=9
CA10991 - WHC - Water safety services,West Herts College,  Opportunity,  Open,  WD1 3EZ,"  30 September 2022, 12pm",Contract value £0,"  19 August 2022, last edited 14 September 2022",https://www.contractsfinder.service.gov.uk/notice/cad23dca-1a08-4dd2-abbd-931e559bae2d?origin=SearchResults&p=9
The Provision of Biodiversity Net-gain System and Ecology Advice Service in Leicestershire and Rutland County Councils,Leicestershire County Council,  Opportunity,  Open,  England,"  12 October 2022, 10am","Contract value £90,000",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/c7280c7e-be2a-4135-9528-754c2479004d?origin=SearchResults&p=9
"Overhead Line Fault Rectification, Maintenance, and 24/7 On-Call Emergency Response Contract",West Midlands Combined Authority,  Opportunity,  Open,  West Midlands,"  19 October 2022, 12pm","Contract value £600,000",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/b24a2ae2-36e7-468f-a974-55f896254fd6?origin=SearchResults&p=9
UKSAC22_0055 	Request for Information (RFI) Earth Observation Instrumentation Programme,UK SPACE AGENCY,  Early engagement,  Open,  SN2 1SZ,  20 September 2022,"Publication date  5 September 2022, last edited 14 September 2022",None,https://www.contractsfinder.service.gov.uk/notice/7af9663a-dc54-42d6-91df-aaee47fa6ea3?origin=SearchResults&p=9
Leasehold Property Insurance,Ashford Borough Council,  Opportunity,  Open,  TN23 1PL,"   5 October 2022, 12pm","Contract value £35,000",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/c1f74ff1-db74-47a6-8a6e-b8ebb46c75ea?origin=SearchResults&p=9
West of England Works Independent Evaluation,Weston College,  Opportunity,  Open,  South West,"  21 September 2022, 12pm","Contract value £35,000 to £45,000","  31 August 2022, last edited 14 September 2022",https://www.contractsfinder.service.gov.uk/notice/a2674c99-29ba-4577-9950-f70db3c10634?origin=SearchResults&p=9
LDC & SEESL - Commercial Vehicle Tyres & Associated Services,Lewes District  Council,  Opportunity,  Open,  BN7 1AB,"  10 October 2022,  2pm",Contract value £0,  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/c07564a3-cc4e-4f17-9511-9f5630c43167?origin=SearchResults&p=9
CCP080 - Supply of Disposable Gloves,Derbyshire County Council,  Opportunity,  Open,  England,"  14 October 2022, 11am","Contract value £800,000 to £850,000","  14 September 2022, last edited 14 September 2022",https://www.contractsfinder.service.gov.uk/notice/2e297705-23eb-47b0-a365-c1900382dbec?origin=SearchResults&p=9
BHE MCZ Acoustic Survey,Natural England,  Opportunity,  Open,  South East,"  16 September 2022, 12pm","Contract value £1,000","  31 August 2022, last edited 14 September 2022",https://www.contractsfinder.service.gov.uk/notice/8a6960c5-79a2-4b10-be1e-d92c2ae26256?origin=SearchResults&p=9
CA11090 - Great Learners Trust Contract for Catering Services,Great Learners Trust,  Opportunity,  Open,  HP16 0AZ,"  17 October 2022, 12pm","Contract value £1,020,597",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/e5911d9a-7d28-4d21-87cc-f1a94ef2833d?origin=SearchResults&p=9
ESCC DE Spotlight on SQL maintenance renewal 2022,ESCC IT and Digital,  Opportunity,  Open,  BN7 1UE,"  27 September 2022, 11:59pm",Contract value £0,  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/af209f80-2cc5-4903-84e2-f834fe2e456f?origin=SearchResults&p=9
021/2022EOI Immersive Learning,HE Portal,  Opportunity,  Open,  BS16 1QY,"  29 September 2022,  5pm","Contract value £45,000 to £200,000","   8 September 2022, last edited 14 September 2022",https://www.contractsfinder.service.gov.uk/notice/23a11332-48c4-4b6b-a98a-0b86ec8fe7f7?origin=SearchResults&p=9
Stray Dogs and Kennelling,London Borough of Bromley,  Opportunity,  Open,  England,"  17 October 2022, 12pm","Contract value £310,000",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/e7230cd5-4aa0-4cb9-a30b-78040a86fff1?origin=SearchResults&p=9
(NU1748 Maintenance and Repair of Air Conditioning/Comfort Cooling Plant),Newcastle University,  Opportunity,  Open,  England,"  21 September 2022, 11:59pm","Contract value £600,000 to £800,000",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/4374dba7-60d1-417b-9a70-b437cbf82ca9?origin=SearchResults&p=9
