OBJECTID,CONTROL_SECT_JOB,DISTRICT_NUMBER,COUNTY_NUMBER,HIGHWAY_NUMBER,PROJ_CLASS,TYPE_OF_WORK,LIMITS_FROM,LIMITS_TO,LAYMAN_DESCRIPTION1,LAYMAN_DESCRIPTION2,BEG_MILE_POINT,END_MILE_POINT,PRIORITY_CODE,DIST_LET_DATE,LET_SCH_1,LET_SCH_2,TRUNK_SYS_FLAG,FREIGHT,ENERGY,PROJ_LENGTH,RAIL_COORDINATION,ACTUAL_LET_DATE,CONTROL_SECTION,DISTRICT_NAME,COUNTY_NAME,PT_TOP100,NBR_LET_YEAR,NBR_LET_MONTH,NBR_TOTAL_MONTHS,FC,OFFCS,PT_PHASE,LOC_ERROR,TPP_WORK_PROGRAM,PRJ_TIER,PRJ_UTP,SHAPE_Length
2724,091012135,10,234,CR,BR,BRIDGE REPLACEMENT,CR 2918 AT STEVE CREEK RELIEF,STR#AA2918102 1.35 MI S OF FM 1256,BRIDGE REPLACEMENT,,1.56,1.56,C,2103,2021,LA,N,,,0,N,2103,091012,Tyler,Van Zandt,0,2021,3,24255,19,910,Construction underway or begins soon,ROUTE NOT FOUND,2106,NA,,0
2729,006902029,7,88,US 87,OV,OVERLAY,HOWARD COUNTY LINE,STERLING COUNTY LINE,PREVENTIVE MAINTENANCE,,0,10.166,P,3301,,,Y,,Y,10.166,N,,006902,San Angelo,Glasscock,0,2033,1,24397,19,69,"Corridor Studies, construction in 10+ years",PARTIAL MATCH FOR THE TO-MEASURE,PLAN,NA,,0.161964002338313
2730,022701023,5,35,US 385,SP2,SUPER-2 HIGHWAY,SH 194,LAMB COUNTY LINE,WIDEN ROAD - ADD LANES,,1,16.555,C,2407,2024,,N,N,,15.38,N,,022701,Lubbock,Castro,0,2024,7,24295,19,227,Construction begins within 4 years,NO ERROR,04CN,2,1,0.225741323372034
2733,092233177,22,240,CS,TNR,TRANSPORTATION NON-ROADWAY,ANNA PARK,LCC CAMPUS,TRANSPORTATION NON-ROADWAY,,,,C,2301,2023,,N,,,1.5,N,,092233,Laredo,Webb,0,2023,1,24277,19,922,Construction begins within 4 years,INVALID LOCATION MEASURE,LOCAL,NA,1,0
2734,040805028,13,8,FM 331,BR,BRIDGE REPLACEMENT,AT MILL CREEK,STR # 0408-05-019,BRIDGE REPLACEMENT,,10.517,10.517,,2111,2022,LA,N,N,N,0.1,N,2111,040805,Yoakum,Austin,0,2021,11,24263,19,408,Construction underway or begins soon,ZERO LENGTH EXTENT,2206,NA,,0
2736,193902036,21,109,FM 2061,WNF,WIDEN NON-FREEWAY,BUS 83 S,HALL ACRES RD.,WIDEN ROAD - ADD LANES,,0,2.065,P,3508,,,N,Y,N,0,N,,193902,Pharr,Hidalgo,0,2035,8,24428,19,1939,"Corridor Studies, construction in 10+ years",NO ERROR,,NA,,0.0300277745749579
2737,014103062,7,218,IH 10,OV,OVERLAY,10.2 MI E OF CROCKETT COUNTY LINE,19.9 MI E OF CROCKETT COUNTY LINE,PREVENTIVE MAINTENANCE,,0,9.701,C,2206,2022,,Y,,Y,9.687,N,2206,014103,San Angelo,Sutton,0,2022,6,24270,19,141,Construction underway or begins soon,NO ERROR,2201,NA,,0.160085428758748
2738,001509184,14,246,IH 35,INC,INTERCHANGE (NEW OR RECONSTRUCTED),AT SH 29,.,HIGHWAY IMPROVEMENT,,9.823,10.268,D,2908,,,N,Y,,0.445,N,,001509,Austin,Williamson,0,2029,8,24356,19,15,Construction begins in 5 to 10 years,NO ERROR,SWDA,NA,1,0.00652026900030789
2739,245401011,1,92,FM 131,WNF,WIDEN NON-FREEWAY,FM 691,SEAMORE BRADLEY ROAD,WIDEN ROAD - ADD LANES,,3.373,2.36,D,3808,,,N,,,1.013,N,,245401,Paris,Grayson,0,2038,8,24464,19,2454,"Corridor Studies, construction in 10+ years",NO ERROR,,NA,,0.0147501912267606
2740,212101095,24,72,IH 10,FS,I-10 CORRIDOR FEASIBILITY STUDY,NEW MEXICO/TEXAS STATE LINE,FM 3380,I-10 CORRIDOR FEASIBILITY STUDY,,0,55.44,P,2709,,,N,,,49.421,N,,212101095,El Paso,El Paso,0,2027,9,24333,19,2121,"Corridor Studies, construction in 10+ years",NO ERROR,PLAN,NA,,0.863977869074782
2741,168503098,12,102,FM 1960,WNF,WIDEN NON-FREEWAY,E OF TWIGSWORTH LN,W OF SAN JACINTO RIVER BRIDGE,WIDEN ROAD - ADD LANES,,29.881,32.63,C,2009,2021,,N,,,2.841,N,2009,168503,Houston,Harris,0,2020,9,24249,19,1685,Construction underway or begins soon,NO ERROR,02MU,1,,0.044948036074586
2742,237407075,18,57,IH 635,WF,WIDEN FREEWAY,BNSF RAILROAD,SL 354 (DENTON DRIVE),CONSTRUCT NEW ROADWAY LANES,,1,1.772,P,4508,,,N,,,0.772,N,,237407,Dallas,Dallas,0,2045,8,24548,19,2374,"Corridor Studies, construction in 10+ years",NO ERROR,,NA,,0.0132799330669285
2743,015502029,16,89,US 183,RER,REHABILITATION OF EXISTING ROAD,DEWITT COUNTY LINE,CONTROL BREAK,WIDEN ROAD - ADD LANES,,0.002,7.096,,2111,2022,,N,,Y,0,N,2111,015502,Corpus Christi,Goliad,0,2021,11,24263,19,155,Construction underway or begins soon,NO ERROR,2210GR,NA,,0.104333181322942
2744,090290050,2,220,CS,BIK,BICYCLE INFRASTRUCTURE IMPROVEMENTS,CENTERPOINT TRL FR TRINITY BLVD/SKYVIEW,TRE CENTREPORT RAIL STATION,BICYCLE AND PEDESTRIAN IMPROVEMENTS,,38.373,38.43,C,2304,2023,,N,,,0,N,,090290,Fort Worth,Tarrant,0,2023,4,24280,19,902,Construction begins within 4 years,ROUTE NOT FOUND,LOCAL,NA,1,0
2745,090249072,2,73,CR,BR,BRIDGE REPLACEMENT,CR 454 @ N BOSQUE RIVER,.,BRIDGE REPLACEMENT,,1.07,1.07,C,2405,2024,,N,,,0,N,,090249,Fort Worth,Erath,0,2024,5,24293,19,902,Construction begins within 4 years,ROUTE NOT FOUND,2406,NA,1,0
2746,226602150,2,220,SH 360,IOI,INTERSECTION & OPERATIONAL IMPRV,SH 183,IH 30,HIGHWAY IMPROVEMENT,,5.8,11.379,D,2903,,,N,,,3.151,N,,226602,Fort Worth,Tarrant,1,2029,3,24351,19,2266,Construction begins in 5 to 10 years,NO ERROR,2901,1,1,0.081810878866251
2747,036404049,18,43,SS 399,INC,INTERCHANGE (NEW OR RECONSTRUCTED),AT SH 5,.,INTERCHANGE IMPROVEMENT,,13,13.566,D,2806,,,N,Y,N,0.566,N,,036404,Dallas,Collin,0,2028,6,24342,19,364,Construction begins in 5 to 10 years,NO ERROR,2801,1,1,0.0092277157054827
2749,072003131,12,102,SH 249,WF,WIDEN FREEWAY,SL 8,IH 45,WIDEN ROAD - ADD LANES,,15.92,23.161,D,2909,,,N,,,7.241,N,,072003,Houston,Harris,1,2029,9,24357,19,720,Construction begins in 5 to 10 years,NO ERROR,DDA,NA,1,0.116831940687847
2753,048003042,8,30,FM 880,RER,REHABILITATION OF EXISTING ROAD,IH 20 IN PUTNAM,FM 2228,WIDEN ROAD - ADD SHOULDERS,,5,15.714,C,2611,2027,,N,N,Y,10.714,N,,048003,Abilene,Callahan,0,2026,11,24323,19,480,Construction begins in 5 to 10 years,NO ERROR,2501,NA,1,0.160974886841446
2754,027002041,13,62,SH 72,WNF,WIDEN NON-FREEWAY,KARNES C/L,0.25 MILES EAST OF FM 2980,WIDEN ROAD - ADD LANES,,0,10.065,C,2012,2021,LA,N,N,Y,10.27,N,2012,027002,Yoakum,De Witt,0,2020,12,24252,19,270,Construction underway or begins soon,NO ERROR,11PES,NA,,0.160751217958958
2755,000801046,2,182,US 180,OV,OVERLAY,WEST OF US 281,FM 1821,RESURFACE ROADWAY,,35.368,37.175,,2202,2022,,N,,Y,1.813,N,2202,000801,Fort Worth,Palo Pinto,0,2022,2,24266,19,8,Construction underway or begins soon,PARTIAL MATCH FOR THE FROM-MEASURE,2211,NA,,0.0309498502192704
2756,092406542,24,72,VA,TNR,TRANSPORTATION NON-ROADWAY,CITYWIDE,.,CONSTRUCT PEDESTRIAN INFRASTRUCTURE,,,,C,2108,2021,LA,N,,,8.72,N,2108,092406,El Paso,El Paso,0,2021,8,24260,19,924,Construction underway or begins soon,INVALID LOCATION MEASURE,2105,NA,,0
2758,092500081,25,38,VA,TCD,TRAFFIC CONTROL DEVICES,2025 DISTRICT WIDE STRIPING,.,PREVENTIVE MAINTENANCE,,,,C,2501,2025,,Y,,,1,N,,092500,Childress,Childress,0,2025,1,24301,19,925,Construction begins within 4 years,INVALID LOCATION MEASURE,2501,NA,1,0
2760,000813236,2,220,IH 820,BR,BRIDGE REPLACEMENT,SB IH820 OVER W FORK TRINITY RELIEF,.,REMOVAL AND/OR REPLACEMENT AND/OR DISPOSAL,,28.291,28.368,C,1712,2018,LA,Y,,,0.1,N,1712,000813,Fort Worth,Tarrant,1,2017,12,24216,19,8,Construction underway or begins soon,NO ERROR,1806,NA,,0.00111771009536026
2763,236201034,9,161,SL 340,WNF,WIDEN NON-FREEWAY,US 84,LP 484,CONSTRUCT NEW ROAD,,2.594,6.484,D,2801,,,N,,,3.926,N,,236201,Waco,McLennan,0,2028,1,24337,19,2362,Construction begins in 5 to 10 years,NO ERROR,2801,2,1,0.0584143559815504
2765,031508040,17,239,FM 389,BR,BRIDGE REPLACEMENT,COE BRANCH,.,BRIDGE REPLACEMENT,,10.201,10.402,D,2609,2027,,N,,,0.2,N,,031508,Bryan,Washington,0,2026,9,24321,19,315,Construction begins in 5 to 10 years,NO ERROR,2706,NA,1,0.00335982183712677
2766,289701016,12,170,FM 830,WNF,WIDEN NON-FREEWAY,OLD MONTGOMERY ROAD,SH 75,WIDEN ROAD - ADD LANES,,3.647,6.135,D,3001,,,N,,,2.494,N,,289701,Houston,Montgomery,0,2030,1,24361,19,2897,Construction begins in 5 to 10 years,NO ERROR,DDA,NA,1,0.0411527906077883
2767,022102028,1,194,US 271,WNF,WIDEN NON-FREEWAY,LAMAR COUNTY LINE,SH 37,WIDEN ROAD - ADD LANES,,0,6.127,C,2509,2026,,Y,Y,,0,N,,022102,Paris,Red River,0,2025,9,24309,19,221,Construction begins within 4 years,NO ERROR,2601,1,1,0.101345916011607
2769,090939134,9,50,CR,BR,BRIDGE REPLACEMENT,CR 274 @ CLEAR CREEK,(MAP #029),BRIDGE REPLACEMENT,,2.743,2.743,C,2212,2023,LA,N,N,N,0,N,,090939,Waco,Coryell,0,2022,12,24276,19,909,Construction begins within 4 years,ROUTE NOT FOUND,2306,NA,1,0
2770,210703007,23,68,FM 679,SC,SEAL COAT,"FM 8, S.",COMANCHE C/L,PREVENTIVE MAINTENANCE,,0,0.709,C,2011,2021,LA,N,,Y,0.745,N,2011,210703,Brownwood,Eastland,0,2020,11,24251,19,2107,Construction underway or begins soon,NO ERROR,2101,NA,,0.010309807177166
2771,091628069,16,205,VA,TNR,TRANSPORTATION NON-ROADWAY,AT VARIOUS LOCATIONS IN PORTLAND,.,CONSTRUCT PEDESTRIAN INFRASTRUCTURE,,0,0.1,C,2012,2021,LA,N,,,0.1,N,2012,091628,Corpus Christi,San Patricio,0,2020,12,24252,19,916,Construction underway or begins soon,ROUTE NOT FOUND,2109,NA,,0
2772,002503097,15,95,IH 10,WF,WIDEN FREEWAY,BEXAR/GUADALUPE COUNTY LINE,FM 465,WIDEN ROAD - ADD LANES,,0.002,4.969,C,2111,2022,LA,N,,,4.966,N,2111,002503,San Antonio,Guadalupe,0,2021,11,24263,19,25,Construction underway or begins soon,NO ERROR,2201,1,,0.0809253621447883
2775,252902010,21,31,FM 2556,BR,BRIDGE REPLACEMENT,0.36 MILES NORTH OF ARROYO COLORADO,0.35 MILES SOUTH OF ARROYO COLORADO,BRIDGE REPLACEMENT,,11.953,12.663,C,2407,2024,,N,,,0,N,,252902,Pharr,Cameron,0,2024,7,24295,19,2529,Construction begins within 4 years,NO ERROR,2408,NA,1,0.0104353259301953
2776,081603019,18,61,FM 455,RER,REHABILITATION OF EXISTING ROAD,FM 1385,COLLIN COUNTY LINE,REHABILITATE EXISTING ROADWAY,,3.44,7.825,C,2402,,,N,,,4.385,N,,081603,Dallas,Denton,0,2024,2,24290,19,816,Construction begins within 4 years,NO ERROR,2401,NA,1,0.0739455139757122
2777,001110028,2,182,US 180,SP2,SUPER-2 HIGHWAY,STEPHENS COUNTY LINE,CR 122,CONSTRUCT NEW ROAD,,0.001,9.895,D,2701,,,N,,Y,9.895,N,,001110,Fort Worth,Palo Pinto,0,2027,1,24325,19,11,Construction begins in 5 to 10 years,NO ERROR,2701,2,1,0.163389405076103
2778,037405026,24,116,US 62,SP2,SUPER-2 HIGHWAY,13.608 MI E OF EL PASO/HUDSPETH CL,2.04 MI E OF FM 2317,CONSTRUCT NEW ROAD,,13.974,28.764,D,2909,,,Y,,Y,14.789,N,,037405,El Paso,Hudspeth,0,2029,9,24357,19,374,Construction begins in 5 to 10 years,NO ERROR,8DA,1,1,0.24945498300458
2779,002408139,15,15,US 90,FOI,FREEWAY OPERATIONAL IMPROVEMENTS,AT ZARZAMORA,.,CONSTRUCT RAMPS,,7.445,8.085,P,3409,,,N,,,0.64,N,,002408,San Antonio,Bexar,0,2034,9,24417,19,24,"Corridor Studies, construction in 10+ years",NO ERROR,PLAN,NA,,0.0104291098878242
2780,105101051,18,71,FM 664,WNF,WIDEN NON-FREEWAY,IH 35E,WEST OF FERRIS ROAD,WIDEN ROAD - ADD LANES,,14.325,21.373,D,2809,,,N,,,7.011,N,0,105101,Dallas,Ellis,0,2028,9,24345,19,1051,Construction begins in 5 to 10 years,NO ERROR,02MU,2,1,0.120318787647624
2781,060601007,10,212,PR 16,TPW,TEXAS PARK AND WILDLIFE,"PARK MAINT RD IN TYLER ST PARK, SW",CEDAR POINT CAMPING AREA EXIT,STATE PARK IMPROVEMENTS,,0.018,0.71,C,2108,2021,,N,,Y,0.219,N,2108,060601,Tyler,Smith,0,2021,8,24260,19,606,Construction underway or begins soon,NO ERROR,2110PR,NA,,0.0114613752873628
2782,080504030,14,106,RM 3237,IOI,INTERSECTION & OPERATIONAL IMPRV,RM 12,0.22 MI E OF RM 12,INTERSECTION IMPROVEMENTS WITH RIGHT AND/OR LEFT TURN LANES,,11,11.22,C,2301,2023,LA,N,,,0.22,N,,080504,Austin,Hays,0,2023,1,24277,19,805,Construction begins within 4 years,NO ERROR,LOCAL,NA,1,0.00323141336289027
2783,000913168,1,117,IH 30,INC,INTERCHANGE (NEW OR RECONSTRUCTED),1.6 MILES EAST OF FM 1565,1.0 MILES EAST OF FM 36,INTERCHANGE IMPROVEMENT,,5.592,7.295,C,2305,2023,,Y,Y,N,1.117,N,,000913,Paris,Hunt,0,2023,5,24281,19,9,Construction begins within 4 years,NO ERROR,02MU,1,1,0.0273914490225337
2786,092233166,22,240,CS,NNF,NEW LOCATION NON-FREEWAY,0.1 MILE EAST OF BELTWAY PARKWAY,IH 35 WEST FRONTAGE ROAD,CONSTRUCT NEW ROAD,,,,C,2308,2023,,N,,,3.55,N,,092233,Laredo,Webb,0,2023,8,24284,19,922,Construction begins within 4 years,INVALID LOCATION MEASURE,LOCAL,1,1,0
2789,058101146,18,57,SL 12,SFT,SAFETY IMPROVEMENT PROJECTS,AT LAKE JUNE RD,IN THE CITY OF DALLAS,TRAFFIC SIGNAL IMPROVEMENTS,,9.475,9.675,C,2006,2020,LA,N,,,0.2,N,2006,058101,Dallas,Dallas,0,2020,6,24246,19,581,Construction underway or begins soon,NO ERROR,2008,NA,,0.0029010649908549
2790,000509020,6,165,BI 20-E,SFT,SAFETY IMPROVEMENT PROJECTS,AT SH 158 (GARFIELD ROAD),.,RAILROAD CROSSING IMPROVEMENTS,,2.027,2.227,C,2206,2022,LA,N,,Y,0.2,N,2206,000509,Odessa,Midland,0,2022,6,24270,19,5,Construction underway or begins soon,NO ERROR,2208RX,NA,,0.00328410215187801
2791,103304022,23,47,FM 1689,SC,SEAL COAT,BROWN C/L,FM 589,PREVENTIVE MAINTENANCE,,0,8.809,C,2011,2021,LA,N,,Y,8.81,N,2011,103304,Brownwood,Comanche,0,2020,11,24251,19,1033,Construction underway or begins soon,NO ERROR,2101,NA,,0.14489395099434
2792,210001060,14,227,RM 2222,NNF,NEW LOCATION NON-FREEWAY,RM 620,BONAVENTURE DR.,HIGHWAY IMPROVEMENT,,0.053,0.67,C,1907,2019,LA,N,N,N,0.532,N,1907,210001,Austin,Travis,0,2019,7,24235,19,2100,Construction underway or begins soon,NO ERROR,LOCAL,NA,,0.00942276669949746
2793,175601022,13,121,FM 3131,RER,REHABILITATION OF EXISTING ROAD,SH 111,FM 1593,SURFACING/ROADWAY RESTORATION,,1,9.235,C,2603,,,N,N,N,8.235,N,,175601,Yoakum,Jackson,0,2026,3,24315,19,1756,Construction begins within 4 years,PARTIAL MATCH FOR THE TO-MEASURE,2601,NA,1,0.127226179386095
2794,091512581,15,15,CR,IOI,INTERSECTION & OPERATIONAL IMPRV,"IN BEXAR COUNTY, ON TALLEY RD.",FROM WISEMAN BLVD TO TAMARON PASS,HIGHWAY IMPROVEMENT,,2.359,4.796,C,2307,2023,,N,,,0,N,,091512,San Antonio,Bexar,0,2023,7,24283,19,915,Construction begins within 4 years,ROUTE NOT FOUND,LOCAL,NA,1,0
2796,009514027,18,130,IH 20,WNF,WIDEN NON-FREEWAY,DALLAS COUNTY LINE,WEST OF FM 741,CONSTRUCT FRONTAGE ROADS,,0.001,12.663,P,4508,,,Y,,,12.895,N,,009514,Dallas,Kaufman,0,2045,8,24548,19,95,"Corridor Studies, construction in 10+ years",NO ERROR,2707,NA,,0.216035010738486
2797,033705043,17,166,FM 486,BR,BRIDGE REPLACEMENT,AT LITTLE RIVER,.,BRIDGE REPLACEMENT,,9.927,9.93,C,2405,2024,,N,,,0.1,N,,033705,Bryan,Milam,0,2024,5,24293,19,337,Construction begins within 4 years,NO ERROR,2406,NA,1,4.6983655837801e-05
2798,334302016,21,245,FM 1425,RER,REHABILITATION OF EXISTING ROAD,SH 186,FM 490,REHABILITATE EXISTING ROADWAY,,0,1.943,D,2709,,,N,,,0,N,,334302,Pharr,Willacy,0,2027,9,24333,19,3343,Construction begins in 5 to 10 years,NO ERROR,2801,NA,1,0.028186881590433
2799,017303044,18,130,SH 34,BR,REPLACE BRIDGE AND APPROACHES,AT KINGS CREEK RELIEF NO 3,.,REPLACE BRIDGE AND APPROACHES,,3.645,4.069,C,1904,2019,LA,N,,,0.424,N,1904,017303,Dallas,Kaufman,0,2019,4,24232,19,173,Construction underway or begins soon,NO ERROR,1906,NA,,0.00712347016148447
2800,052106142,15,15,IH 410,INC,INTERCHANGE (NEW OR RECONSTRUCTED),AT IH 10 E,.,CONSTRUCT DIRECT CONNECTORS,,33.1,34.1,P,3209,,,N,,,1,N,,052106,San Antonio,Bexar,0,2032,9,24393,19,521,"Corridor Studies, construction in 10+ years",NO ERROR,,NA,,0.014589979736441
2802,049401018,5,58,SH 137,RES,RESTORATION,US 180,SOUTH 15TH STREET IN LAMESA,SURFACING/ROADWAY RESTORATION,,18.882,20.183,C,2005,2020,LA,Y,N,Y,1.301,N,2005,049401,Lubbock,Dawson,0,2020,5,24245,19,494,Construction underway or begins soon,NO ERROR,2001,NA,,0.0191532208699893
2804,037102074,16,196,US 77,OV,OVERLAY,.9 MI S OF HENDERSON LN,.132 MI S OF MELON CREEK BRIDGE,SURFACING/ROADWAY RESTORATION,,12.146,18.988,C,2206,2022,,Y,,,6.84,N,2206,037102,Corpus Christi,Refugio,0,2022,6,24270,19,371,Construction underway or begins soon,PARTIAL MATCH FOR THE TO-MEASURE,2201,NA,,0.104602061381444
2805,000515089,6,165,IH 20,FOI,FREEWAY OPERATIONAL IMPROVEMENTS,SH 158,FM 307,HIGHWAY IMPROVEMENT,,16.55,18.175,D,2801,,,N,,Y,0,N,,000515,Odessa,Midland,0,2028,1,24337,19,5,Construction begins in 5 to 10 years,NO ERROR,DDA,NA,1,0.0257190306829732
2806,029403030,5,58,US 180,SP2,SUPER-2 HIGHWAY,GAINES COUNTY LINE,185 FT WEST OF AVE ZEE,WIDEN ROAD - ADD LANES,,0.015,13.087,C,2010,2021,,N,N,Y,0,N,2010,029403,Lubbock,Dawson,0,2020,10,24250,19,294,Construction underway or begins soon,NO ERROR,2101,2,,0.223627702756852
2807,090521004,5,54,CR,BR,BRIDGE REPLACEMENT,3.7 MILES EAST OF SH 207,3.69 MILES EAST OF SH 207,BRIDGE REPLACEMENT,,0.199,0.312,C,2108,2021,LA,N,N,N,0,N,2108,090521,Lubbock,Crosby,0,2021,8,24260,19,905,Construction underway or begins soon,ROUTE NOT FOUND,2106,NA,,0
2808,142503062,21,31,FM 106,SFT,SAFETY IMPROVEMENT PROJECTS,@ SL 499,.,TRAFFIC SIGNAL IMPROVEMENTS,,0,0.2,C,1812,2019,,N,,,0.2,N,1812,142503,Pharr,Cameron,0,2018,12,24228,19,1425,Construction underway or begins soon,NO ERROR,1908,NA,,0.00321507480064951
2809,022004049,21,31,US 281,WNF,WIDEN NON-FREEWAY,.5 MILES WEST OF FM 1577,FM 1421,WIDEN ROAD - ADD LANES,,3.085,6.431,C,2608,2026,,N,Y,N,0,N,,022004,Pharr,Cameron,0,2026,8,24320,19,220,Construction begins within 4 years,NO ERROR,2601,1,1,0.0508805084236343
2810,157505016,19,103,SL 390,NLF,NEW LOCATION FREEWAY,0.7 MI N OF US 80,1.2 MI S OF IH 20,CONSTRUCT NEW ROAD,,0,3.929,P,3401,,,Y,Y,Y,3.973,N,,157505016,Atlanta,Harrison,0,2034,1,24409,19,1575,"Corridor Studies, construction in 10+ years",NO ERROR,,1,,0.0615583173844688
2812,091200591,12,102,VA,TCD,TRAFFIC CONTROL DEVICES,VARIOUS LOCATIONS DISTRICTWIDE,.,TRAFFIC SIGNAL IMPROVEMENTS,,,,C,2009,2021,,N,,,0.001,N,2009,091200,Houston,Harris,0,2020,9,24249,19,912,Construction underway or begins soon,INVALID LOCATION MEASURE,2101,NA,,0
2813,083314009,9,161,FM 3400,WNF,WIDEN NON-FREEWAY,FM 434,SH 6,WIDEN ROAD - ADD LANES,,1.005,1.357,C,2305,2023,,N,,,0,N,,083314,Waco,McLennan,0,2023,5,24281,19,833,Construction begins within 4 years,NO ERROR,2308SW,NA,1,0.00515188376410059
2814,012303022,10,37,US 84,RER,REHABILITATION OF EXISTING ROAD,"0.5 MI E OF SH 110, IN RUSK, NE",RUSK C/L IN REKLAW,ROADWAY REHABILITATION/RECONSTRUCTION WITH NO ADDED CAPACITY,,17.761,26.629,C,2101,2021,LA,N,,Y,9.33,N,2101,012303,Tyler,Cherokee,0,2021,1,24253,19,123,Construction underway or begins soon,NO ERROR,11PES,NA,,0.14682978980251
2815,295001008,12,20,FM 2403,BR,BRIDGE REPLACEMENT,AT DRAINAGE DITCH,.,BRIDGE REPLACEMENT,,3.76,3.86,C,2304,2023,,N,,,0.1,N,,295001,Houston,Brazoria,0,2023,4,24280,19,2950,Construction begins within 4 years,NO ERROR,2306,NA,1,0.00145608013623775
2816,018606082,17,239,US 290,INC,INTERCHANGE (NEW OR RECONSTRUCTED),0.2 MI N OF BU 290,1.4 MI S OF BU 290,INTERCHANGE IMPROVEMENT (NEW OR UPDATE),,25.388,26.787,C,2608,,,Y,,,0,N,,018606,Bryan,Washington,0,2026,8,24320,19,186,Construction begins within 4 years,NO ERROR,2601,1,1,0.0214395338823375
2817,092400125,24,72,VA,RER,REHABILITATION OF EXISTING ROAD,DISTRICTWIDE,.,PREVENTIVE MAINTENANCE,,,,C,2509,2026,,N,,,1,N,,092400,El Paso,El Paso,0,2025,9,24309,19,924,Construction begins within 4 years,INVALID LOCATION MEASURE,2601,NA,1,0
2818,090700175,7,226,VA,SFT,SAFETY IMPROVEMENT PROJECTS,VARIOUS ROADWAYS IN SJT DISTRICT,.,HAZARD ELIMINATION & SAFETY,,0,0.001,C,2009,2021,LA,Y,,,0.001,N,2009,090700,San Angelo,Tom Green,0,2020,9,24249,19,907,Construction underway or begins soon,ROUTE NOT FOUND,2111,NA,,0
2819,059802114,12,20,SH 288,INC,INTERCHANGE (NEW OR RECONSTRUCTED),AT CR 64 (DAVENPORT PARKWAY),.,CONSTRUCT BRIDGE,,14.045,14.284,C,2208,2022,,Y,,,0.987,N,2208,059802,Houston,Brazoria,0,2022,8,24272,19,598,Construction underway or begins soon,NO ERROR,2201,NA,,0.00347009050005101
2820,017302076,18,130,SH 34,RER,"GR,STR,PVMT,SIGNS",FM 1390,1.5 MILE WEST OF KINGS CREEK,REHABILITATION OF EXISTING ROADWAY AND ADD SHOULDERS,,1.514,6.571,C,1904,2019,LA,N,,,5.057,N,1904,017302,Dallas,Kaufman,0,2019,4,24232,19,173,Construction underway or begins soon,NO ERROR,1901,NA,,0.0790500246698511
2821,022101079,1,139,US 271,WNF,WIDEN NON-FREEWAY,PATTONVILLE,RED RIVER COUNTY LINE,WIDEN ROAD - ADD LANES,,11.139,17.471,C,2509,2026,,Y,Y,,5.971,N,,022101,Paris,Lamar,0,2025,9,24309,19,221,Construction begins within 4 years,NO ERROR,04CN,1,1,0.102513777833735
2822,025705047,23,47,SH 6,SP2,SUPER-2 HIGHWAY,DELEON EAST CITY LIMITS,ERATH C/L,HIGHWAY IMPROVEMENT,,10.68,16.541,C,2004,2020,LA,Y,N,Y,0,N,2004,025705,Brownwood,Comanche,0,2020,4,24244,19,257,Construction underway or begins soon,PARTIAL MATCH FOR THE TO-MEASURE,2001,2,,0.0984076993370946
2827,353401012,9,14,SH 201,OV,OVERLAY,US 190,FM 3470,PREVENTIVE MAINTENANCE,,0.017,2.166,C,2204,2022,LA,N,,,2.149,N,2204,353401,Waco,Bell,0,2022,4,24268,19,3534,Construction underway or begins soon,NO ERROR,2201,NA,,0.031741561859315
2829,042401057,10,212,SH 31,WNF,WIDEN NON-FREEWAY,"CR236,MPO BNDRY,1.6 MI E OF FM757,E",0.9 MI W OF FM 2767 (GREGG C/L),WIDEN ROAD - ADD LANES,,22.198,27.979,D,3006,,,Y,,Y,5.781,N,,042401,Tyler,Smith,0,2030,6,24366,19,424,Construction begins in 5 to 10 years,PARTIAL MATCH FOR THE TO-MEASURE,DDA,NA,1,0.0984447374110589
2833,014106046,7,218,IH 10,OV,OVERLAY,37.9 MI E OF CROCKETT COUNTY LINE,47.2 MI E OF CROCKETT COUNTY LINE,PREVENTIVE MAINTENANCE,,27.856,37.147,D,3201,,,Y,,Y,9.291,N,,014106,San Angelo,Sutton,0,2032,1,24385,19,141,Construction begins in 5 to 10 years,NO ERROR,2901,NA,,0.152483739230951
2834,008702053,16,126,SH 359,SP2,SUPER-2 HIGHWAY,CR 308,0.5 MI S OF FM 70,WIDEN ROAD - ADD LANES,,10.7,18.61,C,2412,2025,,N,,,0,N,,008702,Corpus Christi,Jim Wells,0,2024,12,24300,19,87,Construction begins within 4 years,NO ERROR,2501,NA,1,0.119650669174321
2836,050003596,12,102,IH 45,WF,WIDEN FREEWAY,IH 610,AIRLINE DRIVE,WIDEN ROAD - ADD LANES,,27.898,30.339,D,3108,,,N,,,2.433,N,,050003,Houston,Harris,1,2031,8,24380,19,500,Construction begins in 5 to 10 years,NO ERROR,SWDA,NA,1,0.0365818216821554
2837,199001020,2,73,FM 205,SFT,SAFETY IMPROVEMENT PROJECTS,0.456 MI NE OF CR 182,FM 2870,HAZARD ELIMINATION & SAFETY,,5.651,14.595,C,2008,2020,LA,N,,Y,8.921,N,2008,199001,Fort Worth,Erath,0,2020,8,24248,19,1990,Construction underway or begins soon,NO ERROR,2001,NA,,0.148512651468025
