doc_id,notice_status,cpv_code,country_iso,town_iso,project_name,title,notice_publication_number,publication_date,oj_s__issue_number,town_city_of_the_buyer,Official name of the buyer,original_language,country_of_the_buyer,type_of_buyer,eu_institution_agency,document_sent,type_of_contract,type_of_procedure,notice_type,regulation,type_of_bid,award_criteria,common_procurement_vocabulary_(cpv),place_of_performance_(nuts),internet_address_(url),legal_basis,deadline_date,document_id_1,publication_date_1,deadline_1,document_1,authority_Name_1,document_id_2,publication_date_2,deadline_2,document_2,authority_Name_2,document_id_3,publication_date_3,deadline_3,document_3,authority_Name_3,document_id_4,publication_date_4,deadline_4,document_4,authority_Name_4,country_alpha,country_mfn,currency_code,converted_amount_usd
525332-2021,Active,,France,Remire-Montjoly,Architectural and related services,France-Remire-Montjoly: Architectural and related services,525332-2021,15/10/2021,201,REMIRE-MONTJOLY,commune de remire montjoly (21973309400136),FR,FR,3 - Regional or local authority,-,11/10/2021,4 - Services,2 - Restricted procedure,2 - Additional information,4 - European Union,9 - Not applicable,8 - Other,71200000 - Architectural and related services,nan,nan,nan,nan,503498-2021,05/10/2021,04/11/2021,D - Design contest,commune de remire montjoly (21973309400136),525332-2021,15/10/2021,04/11/2021,2 - Additional information,commune de remire montjoly (21973309400136),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525308-2021,Active,,France,Paris,Vocational training services,France-Paris: Vocational training services,525308-2021,15/10/2021,201,PARIS,constructys (53384615000209),FR,FR,8 - Other,-,11/10/2021,4 - Services,1 - Open procedure,2 - Additional information,4 - European Union,1 - Submission for all lots,2 - The most economic tender,80530000 - Vocational training services,FR1,http://www.constructys.fr,Public procurement Directive 2014/24/EU,21/10/2021,502889-2021,05/10/2021,21/10/2021,3 - Contract notice,constructys (53384615000209),525308-2021,15/10/2021,21/10/2021,2 - Additional information,constructys (53384615000209),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525301-2021,Active,,France,Nanterre,Highways engineering services,France-Nanterre: Highways engineering services,525301-2021,15/10/2021,201,NANTERRE,Cofiroute (55211589100418),FR,FR,8 - Other,-,11/10/2021,4 - Services,1 - Open procedure,2 - Additional information,4 - European Union,1 - Submission for all lots,2 - The most economic tender,71311220 - Highways engineering services71322300 - Bridge-design services,FRB04FRB06FRG02FRG04,http://www.vinci-autoroutes.com,Public procurement Directive 2014/24/EU,15/11/2021,514286-2021,11/10/2021,15/11/2021,3 - Contract notice,Cofiroute (55211589100418),525301-2021,15/10/2021,15/11/2021,2 - Additional information,Cofiroute (55211589100418),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525299-2021,Active,,France,Paris,Data analysis services,France-Paris: Data analysis services,525299-2021,15/10/2021,201,PARIS,France Télévisions,FR,FR,8 - Other,-,11/10/2021,4 - Services,2 - Restricted procedure,2 - Additional information,"5 - European Union, with participation of GPA countries",1 - Submission for all lots,2 - The most economic tender,72316000 - Data analysis services,FR1FR10FR101,https://www.francetelevisions.fr,Public procurement Directive 2014/24/EU,nan,342900-2021,07/07/2021,30/08/2021,Y - Dynamic purchasing system,France Télévisions,514221-2021,11/10/2021,30/08/2023,Y - Dynamic purchasing system,France Télévisions,525299-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525294-2021,Active,,France,Paris,"Feasibility study, advisory service, analysis","France-Paris: Feasibility study, advisory service, analysis",525294-2021,15/10/2021,201,PARIS,Agence Française de Développement,FR,FR,6 - Body governed by public law,-,11/10/2021,4 - Services,1 - Open procedure,2 - Additional information,"5 - European Union, with participation of GPA countries",1 - Submission for all lots,2 - The most economic tender,"71241000 - Feasibility study, advisory service, analysis",FR101,https://www.marches-securises.fr/perso/AFD_75/,Public procurement Directive 2014/24/EU,20/10/2021,438054-2021,30/08/2021,20/10/2021,3 - Contract notice,Agence Française de Développement,525294-2021,15/10/2021,20/10/2021,2 - Additional information,Agence Française de Développement,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525289-2021,Active,,France,Paris,Training services,France-Paris: Training services,525289-2021,15/10/2021,201,PARIS,ville de Paris,FR,FR,3 - Regional or local authority,-,11/10/2021,4 - Services,1 - Open procedure,2 - Additional information,4 - European Union,1 - Submission for all lots,2 - The most economic tender,80500000 - Training services,FR101,https://www.paris.fr,Public procurement Directive 2014/24/EU,19/10/2021,470371-2021,17/09/2021,19/10/2021,3 - Contract notice,ville de Paris,525289-2021,15/10/2021,19/10/2021,2 - Additional information,ville de Paris,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525288-2021,Active,,France,Versailles,Printing and related services,France-Versailles: Printing and related services,525288-2021,15/10/2021,201,VERSAILLES,université de Versailles Saint-Quentin,FR,FR,6 - Body governed by public law,-,11/10/2021,4 - Services,1 - Open procedure,2 - Additional information,"5 - European Union, with participation of GPA countries",1 - Submission for all lots,2 - The most economic tender,79800000 - Printing and related services79810000 - Printing services,FR,https://www.marches-publics.gouv.fr,Public procurement Directive 2014/24/EU,nan,413082-2021,13/08/2021,08/10/2021,3 - Contract notice,université de Versailles Saint-Quentin,497685-2021,01/10/2021,08/10/2021,2 - Additional information,université de Versailles Saint-Quentin,525288-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525269-2021,Active,,France,Caen,"Architectural, construction, engineering and inspection services","France-Caen: Architectural, construction, engineering and inspection services",525269-2021,15/10/2021,201,CAEN,departement du calvados (22140118500014),FR,FR,8 - Other,-,12/10/2021,4 - Services,2 - Restricted procedure,R - Results of design contests,4 - European Union,9 - Not applicable,8 - Other,"71000000 - Architectural, construction, engineering and inspection services",FRH02,http://www.calvados.fr,Public procurement Directive 2014/24/EU,nan,12377-2021,12/01/2021,16/02/2021,D - Design contest,Département du Calvados,525269-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525268-2021,Active,,France,Courbevoie,Architectural services for outdoor areas,France-Courbevoie: Architectural services for outdoor areas,525268-2021,15/10/2021,201,COURBEVOIE,ville de Courbevoie (21920026800015),FR,FR,3 - Regional or local authority,-,12/10/2021,4 - Services,2 - Restricted procedure,R - Results of design contests,4 - European Union,9 - Not applicable,8 - Other,"71222000 - Architectural services for outdoor areas71242000 - Project and design preparation, estimation of costs",FR101,http://www.ville-courbevoie.fr,Public procurement Directive 2014/24/EU,nan,152162-2021,26/03/2021,26/04/2021,D - Design contest,Ville de Courbevoie (21920026800015),525268-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525267-2021,Active,,France,Mamoudzou,"Architectural, construction, engineering and inspection services","France-Mamoudzou: Architectural, construction, engineering and inspection services",525267-2021,15/10/2021,201,MAMOUDZOU,département de Mayotte (22985000300018),FR,FR,3 - Regional or local authority,-,12/10/2021,4 - Services,2 - Restricted procedure,R - Results of design contests,4 - European Union,9 - Not applicable,8 - Other,"71221000 - Architectural services for buildings71000000 - Architectural, construction, engineering and inspection services",FRY50,http://www.cg976.fr,Public procurement Directive 2014/24/EU,nan,220265-2019,13/05/2019,14/06/2019,D - Design contest,Département de Mayotte (22985000300018),525267-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525266-2021,Active,,France,Orléans,"Architectural, construction, engineering and inspection services","France-Orléans: Architectural, construction, engineering and inspection services",525266-2021,15/10/2021,201,ORLÉANS,semdo,FR,FR,3 - Regional or local authority,-,12/10/2021,4 - Services,2 - Restricted procedure,R - Results of design contests,4 - European Union,9 - Not applicable,8 - Other,"71300000 - Engineering services71200000 - Architectural and related services71000000 - Architectural, construction, engineering and inspection services",FR101,http://Semdo.fr,Public procurement Directive 2014/24/EU,nan,632667-2020,24/12/2020,08/02/2021,D - Design contest,SEMDO,525266-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525263-2021,Active,,France,Saint-Pierre-du-Mont,"Architectural, engineering and planning services","France-Saint-Pierre-du-Mont: Architectural, engineering and planning services",525263-2021,15/10/2021,201,SAINT-PIERRE-DU-MONT,mairie de saint pierre du mont,FR,FR,8 - Other,-,11/10/2021,4 - Services,2 - Restricted procedure,R - Results of design contests,4 - European Union,9 - Not applicable,8 - Other,"71312000 - Structural engineering consultancy services71240000 - Architectural, engineering and planning services",FRI12,https://saintpierredumont.fr,Public procurement Directive 2014/24/EU,nan,105697-2021,02/03/2021,26/03/2021,D - Design contest,Mairie de Saint-Pierre-du-Mont,525263-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525262-2021,Active,,France,Bourg-en-Bresse,Architectural and related services,France-Bourg-en-Bresse: Architectural and related services,525262-2021,15/10/2021,201,BOURG-EN-BRESSE,semcoda (75920075100130),FR,FR,8 - Other,-,12/10/2021,4 - Services,2 - Restricted procedure,D - Design contest,4 - European Union,9 - Not applicable,8 - Other,71200000 - Architectural and related services,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525261-2021,Active,,France,Tours,"Architectural, engineering and planning services","France-Tours: Architectural, engineering and planning services",525261-2021,15/10/2021,201,TOURS,ville de Tours,FR,FR,3 - Regional or local authority,-,12/10/2021,4 - Services,2 - Restricted procedure,D - Design contest,4 - European Union,9 - Not applicable,8 - Other,"71240000 - Architectural, engineering and planning services",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525257-2021,Active,,France,Cergy-Pontoise,Architectural services for buildings,France-Cergy-Pontoise: Architectural services for buildings,525257-2021,15/10/2021,201,CERGY-PONTOISE,cacp (24950010900015),FR,FR,3 - Regional or local authority,-,11/10/2021,4 - Services,2 - Restricted procedure,D - Design contest,4 - European Union,9 - Not applicable,8 - Other,"71322000 - Engineering design services for the construction of civil engineering works71221000 - Architectural services for buildings71220000 - Architectural design services71240000 - Architectural, engineering and planning services",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525256-2021,Active,,France,Saint-Hilaire-de-Riez,Architectural services for outdoor areas,France-Saint-Hilaire-de-Riez: Architectural services for outdoor areas,525256-2021,15/10/2021,201,SAINT-HILAIRE-DE-RIEZ,ville de Saint Hilaire de Riez (21850226800012),FR,FR,3 - Regional or local authority,-,12/10/2021,4 - Services,1 - Open procedure,D - Design contest,4 - European Union,9 - Not applicable,8 - Other,"71400000 - Urban planning and landscape architectural services71222000 - Architectural services for outdoor areas71240000 - Architectural, engineering and planning services",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525255-2021,Active,,France,Lyon,Organisation of architectural design contests,France-Lyon: Organisation of architectural design contests,525255-2021,15/10/2021,201,LYON,ville de Lyon (21690123100011),FR,FR,3 - Regional or local authority,-,12/10/2021,4 - Services,2 - Restricted procedure,D - Design contest,4 - European Union,9 - Not applicable,8 - Other,71230000 - Organisation of architectural design contests,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525254-2021,Active,,France,Rambouillet,"Architectural, construction, engineering and inspection services","France-Rambouillet: Architectural, construction, engineering and inspection services",525254-2021,15/10/2021,201,RAMBOUILLET,ville de Rambouillet,FR,FR,3 - Regional or local authority,-,11/10/2021,4 - Services,2 - Restricted procedure,D - Design contest,4 - European Union,9 - Not applicable,8 - Other,"71000000 - Architectural, construction, engineering and inspection services",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525253-2021,Active,,France,Vannes,Architectural and related services,France-Vannes: Architectural and related services,525253-2021,15/10/2021,201,VANNES,bretagne sud habitat (27560004700011),FR,FR,6 - Body governed by public law,-,11/10/2021,4 - Services,2 - Restricted procedure,D - Design contest,4 - European Union,9 - Not applicable,8 - Other,71200000 - Architectural and related services71221000 - Architectural services for buildings,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525231-2021,Active,,France,Paris,Advisory architectural services,France-Paris: Advisory architectural services,525231-2021,15/10/2021,201,PARIS,ville de paris (21750001600019),FR,FR,3 - Regional or local authority,-,12/10/2021,4 - Services,B - Competitive procedure with negotiation,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,2 - The most economic tender,71210000 - Advisory architectural services,FR101,http://www.paris.fr,Public procurement Directive 2014/24/EU,nan,564522-2020,24/11/2020,04/01/2021,3 - Contract notice,Ville de Paris (21750001600019),525231-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525230-2021,Active,,France,Marseille,Training seminars,France-Marseille: Training seminars,525230-2021,15/10/2021,201,MARSEILLE,conseil departemental 13,FR,FR,3 - Regional or local authority,-,12/10/2021,4 - Services,1 - Open procedure,7 - Contract award notice,4 - European Union,9 - Not applicable,2 - The most economic tender,80522000 - Training seminars,FRL04,http://Marches.departement13.fr,Public procurement Directive 2014/24/EU,nan,216123-2021,30/04/2021,26/05/2021,3 - Contract notice,Conseil departemental 13,525230-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525228-2021,Active,,France,Limoges,Repair and maintenance services of building installations,France-Limoges: Repair and maintenance services of building installations,525228-2021,15/10/2021,201,LIMOGES,communaute d agl limoges metropole (24871931200162),FR,FR,3 - Regional or local authority,-,12/10/2021,4 - Services,1 - Open procedure,7 - Contract award notice,4 - European Union,9 - Not applicable,2 - The most economic tender,50700000 - Repair and maintenance services of building installations,FRI23,https://agglo-limoges.e-marchespublics.com,Public procurement Directive 2014/24/EU,nan,238830-2021,12/05/2021,09/06/2021,3 - Contract notice,Communauté d'agglomération Limoges Métropole (24871931200162),525228-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525225-2021,Active,,France,Vincennes,Urban solid-refuse collection services,France-Vincennes: Urban solid-refuse collection services,525225-2021,15/10/2021,201,VINCENNES,office francais de la biodiversite,FR,FR,N - National or federal Agency/Office,-,12/10/2021,4 - Services,1 - Open procedure,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,2 - The most economic tender,90511100 - Urban solid-refuse collection services,FRY50,https://ofb.gouv.fr,Public procurement Directive 2014/24/EU,nan,314142-2021,22/06/2021,19/07/2021,3 - Contract notice,Office français de la biodiversité,525225-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525213-2021,Active,,France,Angers,Software supply services,France-Angers: Software supply services,525213-2021,15/10/2021,201,ANGERS,LogiOuest (05820153400078),FR,FR,6 - Body governed by public law,-,12/10/2021,4 - Services,1 - Open procedure,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,2 - The most economic tender,72268000 - Software supply services72267000 - Software maintenance and repair services,FR105,http://www.polylogis.com/,Public procurement Directive 2014/24/EU,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525204-2021,Active,,France,Paris,Insurance consultancy services,France-Paris: Insurance consultancy services,525204-2021,15/10/2021,201,PARIS,gip resah,FR,FR,6 - Body governed by public law,-,12/10/2021,4 - Services,1 - Open procedure,7 - Contract award notice,4 - European Union,9 - Not applicable,2 - The most economic tender,66519310 - Insurance consultancy services,FR,https://www.resah.fr/,Public procurement Directive 2014/24/EU,nan,144070-2021,23/03/2021,19/04/2021,3 - Contract notice,GIP RESAH,525204-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525203-2021,Active,,France,Belfort,Repair and maintenance services of central heating,France-Belfort: Repair and maintenance services of central heating,525203-2021,15/10/2021,201,BELFORT,cté de l'agglomération Belfortaine,FR,FR,6 - Body governed by public law,-,12/10/2021,4 - Services,1 - Open procedure,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,2 - The most economic tender,50720000 - Repair and maintenance services of central heating,FRC24,https://www.grandbelfort.fr,Public procurement Directive 2014/24/EU,nan,302320-2021,16/06/2021,27/07/2021,3 - Contract notice,Communauté d'agglomération Belfortaine,525203-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525202-2021,Active,,France,Laval,Office cleaning services,France-Laval: Office cleaning services,525202-2021,15/10/2021,201,LAVAL,cpam laval,FR,FR,8 - Other,-,12/10/2021,4 - Services,1 - Open procedure,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,2 - The most economic tender,90919200 - Office cleaning services,FRG03,https://www.ameli.fr/,Public procurement Directive 2014/24/EU,nan,314457-2021,22/06/2021,22/07/2021,3 - Contract notice,CPAM Laval,525202-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525201-2021,Active,,France,Ludres,Sports fields maintenance services,France-Ludres: Sports fields maintenance services,525201-2021,15/10/2021,201,LUDRES,ville de Ludres,FR,FR,6 - Body governed by public law,-,12/10/2021,4 - Services,1 - Open procedure,7 - Contract award notice,4 - European Union,9 - Not applicable,2 - The most economic tender,77314000 - Grounds maintenance services77320000 - Sports fields maintenance services,FRF31,http://www.ludres.com,Public procurement Directive 2014/24/EU,nan,367518-2021,20/07/2021,30/08/2021,3 - Contract notice,Ville de Ludres,525201-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525200-2021,Active,,France,Paris,Marketing services,France-Paris: Marketing services,525200-2021,15/10/2021,201,PARIS,ccca-btp,FR,FR,8 - Other,-,12/10/2021,4 - Services,1 - Open procedure,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,1 - Lowest price,79342000 - Marketing services,FR101,http://www.ccca-btp.fr/,Public procurement Directive 2014/24/EU,nan,356709-2021,14/07/2021,12/08/2021,3 - Contract notice,CCCA-BTP,525200-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525199-2021,Active,,France,Maisons-Alfort,Consultative engineering and construction services,France-Maisons-Alfort: Consultative engineering and construction services,525199-2021,15/10/2021,201,MAISONS-ALFORT,anses,FR,FR,N - National or federal Agency/Office,-,12/10/2021,4 - Services,1 - Open procedure,7 - Contract award notice,4 - European Union,9 - Not applicable,2 - The most economic tender,71310000 - Consultative engineering and construction services,FRK2,http://www.anses.fr,Public procurement Directive 2014/24/EU,nan,380602-2021,27/07/2021,24/08/2021,3 - Contract notice,ANSES,525199-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525194-2021,Active,,France,Toulouse,"Feasibility study, advisory service, analysis","France-Toulouse: Feasibility study, advisory service, analysis",525194-2021,15/10/2021,201,TOULOUSE,toulouse metropole (24310051800170),FR,FR,3 - Regional or local authority,-,12/10/2021,4 - Services,1 - Open procedure,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,2 - The most economic tender,"71241000 - Feasibility study, advisory service, analysis",FRJ23,https://www.toulouse-metropole.fr/,Public procurement Directive 2014/24/EU,nan,553743-2020,18/11/2020,14/12/2020,3 - Contract notice,Toulouse Métropole (24310051800170),525194-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525193-2021,Active,,France,La Ferté-Gaucher,Engineering services,France-La Ferté-Gaucher: Engineering services,525193-2021,15/10/2021,201,LA FERTÉ-GAUCHER,smage des 2 MORIN,FR,FR,8 - Other,-,12/10/2021,4 - Services,1 - Open procedure,7 - Contract award notice,4 - European Union,9 - Not applicable,2 - The most economic tender,71300000 - Engineering services,FR10,http://agysoft.marches-publics.info/,Public procurement Directive 2014/24/EU,nan,297145-2021,14/06/2021,19/07/2021,3 - Contract notice,SMAGE des 2 Morin,525193-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525192-2021,Active,,France,Rouen,Miscellaneous repair and maintenance services,France-Rouen: Miscellaneous repair and maintenance services,525192-2021,15/10/2021,201,ROUEN,habitat 76 (78110744600069),FR,FR,8 - Other,-,12/10/2021,4 - Services,T - Negotiated procedure without a call for competition,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,2 - The most economic tender,50800000 - Miscellaneous repair and maintenance services,FRD22,http://www.habitat76.fr/,Public procurement Directive 2014/24/EU,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525186-2021,Active,,France,Nantes,"Collection, transport and disposal of hospital waste","France-Nantes: Collection, transport and disposal of hospital waste",525186-2021,15/10/2021,201,NANTES,chu de Nantes,FR,FR,6 - Body governed by public law,-,12/10/2021,4 - Services,1 - Open procedure,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,3 - Mixed,"90524000 - Medical waste services90524400 - Collection, transport and disposal of hospital waste",FRG01,http://www.chu-nantes.fr,Public procurement Directive 2014/24/EU,nan,166517-2021,02/04/2021,10/05/2021,3 - Contract notice,CHU de Nantes,209511-2021,27/04/2021,10/05/2021,2 - Additional information,CHU de Nantes,525186-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525181-2021,Active,,France,Nancy,Building-cleaning services,France-Nancy: Building-cleaning services,525181-2021,15/10/2021,201,NANCY,Meurthe et Moselle Habitat (78332977400161),FR,FR,R - Regional or local Agency/Office,-,12/10/2021,4 - Services,1 - Open procedure,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,2 - The most economic tender,90911200 - Building-cleaning services90511100 - Urban solid-refuse collection services,FRF31,http://www.mmhabitat.fr,Public procurement Directive 2014/24/EU,nan,326120-2021,29/06/2021,02/09/2021,3 - Contract notice,Meurthe-et-Moselle Habitat (78332977400161),525181-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525154-2021,Active,,France,Paris,"Exhibition, fair and congress organisation services","France-Paris: Exhibition, fair and congress organisation services",525154-2021,15/10/2021,201,PARIS,Business France (451 930 051 000 52),EN,FR,6 - Body governed by public law,-,12/10/2021,4 - Services,1 - Open procedure,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,2 - The most economic tender,"39154000 - Exhibition equipment39154100 - Exhibition stands79950000 - Exhibition, fair and congress organisation services",US,http://www.businessfrance.fr,Public procurement Directive 2014/24/EU,nan,383102-2021,28/07/2021,09/09/2021,3 - Contract notice,Business France (451 930 051 000 52),525154-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525153-2021,Active,,France,Paris,Architectural services for buildings,France-Paris: Architectural services for buildings,525153-2021,15/10/2021,201,PARIS,regie immobiliere de la ville de paris (55203270800216),FR,FR,8 - Other,-,12/10/2021,4 - Services,2 - Restricted procedure,7 - Contract award notice,4 - European Union,9 - Not applicable,2 - The most economic tender,71221000 - Architectural services for buildings,FR101,http://www.rivp.fr,Public procurement Directive 2014/24/EU,nan,604628-2020,15/12/2020,12/01/2021,3 - Contract notice,Régie immobilière de la ville de Paris (55203270800216),525153-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525149-2021,Active,,France,Toulon,Investigation and security services,France-Toulon: Investigation and security services,525149-2021,15/10/2021,201,TOULON,conseil Général du Var (22830001800113),FR,FR,3 - Regional or local authority,-,12/10/2021,4 - Services,1 - Open procedure,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,2 - The most economic tender,45316210 - Installation of traffic monitoring equipment51210000 - Installation services of measuring equipment79700000 - Investigation and security services,FRL05,http://var.fr,Public procurement Directive 2014/24/EU,nan,235943-2021,11/05/2021,21/06/2021,3 - Contract notice,Conseil général du Var (22830001800113),525149-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525140-2021,Active,,France,Paris,Technical building-inspection services,France-Paris: Technical building-inspection services,525140-2021,15/10/2021,201,PARIS,assistance publique hopitaux de paris,FR,FR,6 - Body governed by public law,-,12/10/2021,4 - Services,1 - Open procedure,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,2 - The most economic tender,71317210 - Health and safety consultancy services71317100 - Fire and explosion protection and control consultancy services71321100 - Construction economics services71631300 - Technical building-inspection services,FR101,https://www.aphp.fr,Public procurement Directive 2014/24/EU,nan,194606-2021,20/04/2021,20/05/2021,3 - Contract notice,Assistance publique hôpitaux de Paris,525140-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525131-2021,Active,,France,Paris,"IT services: consulting, software development, Internet and support","France-Paris: IT services: consulting, software development, Internet and support",525131-2021,15/10/2021,201,PARIS,ministère de l'éducation nationale (11004301500012),FR,FR,1 - Ministry or any other national or federal authority,-,11/10/2021,4 - Services,B - Competitive procedure with negotiation,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,2 - The most economic tender,"48000000 - Software package and information systems48450000 - Time accounting or human resources software package72000000 - IT services: consulting, software development, Internet and support",FR,http://www.marches-publics.gouv.fr,Public procurement Directive 2014/24/EU,nan,46156-2021,29/01/2021,01/03/2021,3 - Contract notice,Ministère de l'éducation nationale (11004301500012),525131-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525070-2021,Active,,France,Laval,Survey services,France-Laval: Survey services,525070-2021,15/10/2021,201,LAVAL,departement de la mayenne (22530001100015),FR,FR,3 - Regional or local authority,-,11/10/2021,4 - Services,B - Competitive procedure with negotiation,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,2 - The most economic tender,90711400 - Environmental Impact Assessment (EIA) services other than for construction79311000 - Survey services,FRG03,http://www.lamayenne.fr,Public procurement Directive 2014/24/EU,nan,326115-2021,29/06/2021,27/07/2021,3 - Contract notice,Département de la Mayenne (22530001100015),525070-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
