doc_id,notice_status,cpv_code,country_iso,town_iso,project_name,title,notice_publication_number,publication_date,oj_s__issue_number,town_city_of_the_buyer,Official name of the buyer,original_language,country_of_the_buyer,type_of_buyer,eu_institution_agency,document_sent,type_of_contract,type_of_procedure,notice_type,regulation,type_of_bid,award_criteria,common_procurement_vocabulary_(cpv),place_of_performance_(nuts),internet_address_(url),legal_basis,deadline_date,latitude,longitude,document_id_1,publication_date_1,deadline_1,document_1,authority_Name_1,document_id_2,publication_date_2,deadline_2,document_2,authority_Name_2,document_id_3,publication_date_3,deadline_3,description,postal_code,email,amount,currency,og_notice_no,document_3,authority_Name_3,document_id_4,publication_date_4,deadline_4,document_4,authority_Name_4,document_id_5,publication_date_5,deadline_5,country_alpha,country_mfn,currency_code,converted_amount_usd
506839-2021,Active,,United Kingdom,Hengoed,Construction work,United Kingdom-Hengoed: Construction work,506839-2021,06/10/2021,194,HENGOED,LHC for the Welsh Procurement Alliance (WPA) (02472080),EN,UK,6 - Body governed by public law,-,01/10/2021,1 - Works,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,45210000 - Building construction work45212200 - Construction work for sports facilities45214400 - Construction work for university buildings45220000 - Engineering works and construction works45221100 - Construction work for bridges45212322 - Theatre construction work45000000 - Construction work45212225 - Sports hall construction work45212170 - Entertainment building construction work45215140 - Hospital facilities construction work45215141 - Operating theatre construction work45216120 - Construction work for buildings relating to emergency services45215120 - Special medical building construction work45216000 - Construction work for buildings relating to law and order or emergency services and for military buildings45216121 - Fire station construction work45214230 - Special school construction work45216111 - Police station construction work45216122 - Ambulance station construction work45211360 - Urban development construction work45214220 - Secondary school construction work45211350 - Multi-functional buildings construction work45214210 - Primary school construction work45400000 - Building completion work45213100 - Construction work for commercial buildings45214200 - Construction work for school buildings45300000 - Building installation work45212210 - Single-purpose sports facilities construction work45200000 - Works for complete or part construction and civil engineering work45212100 - Construction work of leisure facilities45214300 - Construction work for college buildings,UKL,http://www.lhc.gov.uk,Public procurement Directive 2014/24/EU,nan,51.6489468,-3.2299102,175459-2020,14/04/2020,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"This framework is the successor to our popular Schools and Community Buildings Framework and will be for the construction of new buildings, extensions, and refurbishment of public and social infrastructure buildings.Typical building types are as follows (but not limited to)- Educational buildings- Healthcare buildings- Emergency service buildings such as fire stations, ambulance stations and police stations- Community buildings such as community centres and sports facilities- Offices and other buildings for social infrastructure.- Residential properties (when part of a mixed-use development )- Conversion of commercial buildings for residential use- Delivery of student accommodation to education clientsCertain lots include the provision of infrastructure works either when associated to the main project scope or as standalone infrastructure works",CF82 7FQ,procurement@lhc.gov.uk,100000000,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
504085-2021,Active,,United Kingdom,Perth,Switchgear,United Kingdom-Perth: Switchgear,504085-2021,05/10/2021,193,PERTH,Scottish and Southern Energy Power Distribution Limited,EN,UK,4 - Utilities entity,-,30/09/2021,2 - Supplies,4 - Negotiated procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,31214000 - Switchgear,UKM77,www.sse.com,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",nan,56.3957679,-3.4335463,62577-2017,17/02/2017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
504084-2021,Active,,United Kingdom,Winchester,Repair and maintenance services,United Kingdom-Winchester: Repair and maintenance services,504084-2021,05/10/2021,193,WINCHESTER,Winchester City Council,EN,UK,3 - Regional or local authority,-,30/09/2021,4 - Services,2 - Restricted procedure,K - Modification of a contract/concession during its term,"5 - European Union, with participation of GPA countries",9 - Not applicable,9 - Not applicable,45330000 - Plumbing and sanitary works45440000 - Painting and glazing work45450000 - Other building completion work45261900 - Roof repair and maintenance work50710000 - Repair and maintenance services of electrical and mechanical building installations50000000 - Repair and maintenance services45400000 - Building completion work45453000 - Overhaul and refurbishment work45310000 - Electrical installation work45421100 - Installation of doors and windows and related components,UKJ3,https://www.winchester.gov.uk/,Public procurement Directive 2014/24/EU,nan,51.0612766,-1.3131692,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
504083-2021,Active,,United Kingdom,Scunthorpe,"IT services: consulting, software development, Internet and support","United Kingdom-Scunthorpe: IT services: consulting, software development, Internet and support",504083-2021,05/10/2021,193,SCUNTHORPE,North Lincolnshire Council,EN,UK,3 - Regional or local authority,-,30/09/2021,4 - Services,1 - Open procedure,K - Modification of a contract/concession during its term,4 - European Union,9 - Not applicable,9 - Not applicable,"48000000 - Software package and information systems72000000 - IT services: consulting, software development, Internet and support",UKE13,https://www.northlincs.gov.uk,Public procurement Directive 2014/24/EU,nan,53.5922488,-0.6450841,390823-2019,19/08/2019,20/09/2019,3 - Contract notice,North East Lincolnshire Borough Council,579507-2019,06/12/2019,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
504082-2021,Active,,United Kingdom,Scunthorpe,"Repair, maintenance and associated services related to aircraft, railways, roads and marine equipment","United Kingdom-Scunthorpe: Repair, maintenance and associated services related to aircraft, railways, roads and marine equipment",504082-2021,05/10/2021,193,SCUNTHORPE,North Lincolnshire Council,EN,UK,3 - Regional or local authority,-,30/09/2021,4 - Services,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,"34000000 - Transport equipment and auxiliary products to transportation50200000 - Repair, maintenance and associated services related to aircraft, railways, roads and marine equipment71000000 - Architectural, construction, engineering and inspection services",UKE13,https://www.northlincs.gov.uk,Public procurement Directive 2014/24/EU,nan,53.5922488,-0.6450841,586910-2020,04/12/2020,11/01/2021,3 - Contract notice,North Lincolnshire Council,504082-2021,05/10/2021,nan,nan,nan,nan,nan,nan,"North and North East Lincolnshire Councils are seeking to appoint a contractor who will undertake maintenance activities associated with a range of traffic technology equipment. The service involves carrying out general repair and maintenance works of these traffic technology equipment installations. The Service consists of the maintenance and repair (including inspection, testing, cleaning and minor civil works) of signalled junctions and signalised pedestrian crossings across North and North East Lincolnshire. ",DN15 6NL,procurement@northlincs.gov.uk,1080000.00,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
504081-2021,Active,,United Kingdom,Barnsley,Sewage treatment services,United Kingdom-Barnsley: Sewage treatment services,504081-2021,05/10/2021,193,BARNSLEY,Barnsley Metropolitan Borough Council,EN,UK,3 - Regional or local authority,-,30/09/2021,4 - Services,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,90420000 - Sewage treatment services,UKE31,https://www.yortender.co.uk,Public procurement Directive 2014/24/EU,nan,53.5527719,-1.4827755,455088-2020,28/09/2020,26/10/2020,3 - Contract notice,Barnsley Metropolitan Borough Council,504081-2021,05/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
504080-2021,Active,,United Kingdom,Hengoed,Taxi services,United Kingdom-Hengoed: Taxi services,504080-2021,05/10/2021,193,HENGOED,Caerphilly County Borough Council,EN,UK,3 - Regional or local authority,-,30/09/2021,4 - Services,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,60120000 - Taxi services,UKL16,www.caerphilly.gov.uk,Public procurement Directive 2014/24/EU,nan,51.6489468,-3.2299102,404426-2014,27/11/2014,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Award of contracts off DPS for home to school transport for taxis, minibus and wheelchair accessible vehicles for year 6 quarter 1 - 3",CF82 7PG,sellwhl@caerphilly.gov.uk,1018046,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
504079-2021,Active,,United Kingdom,Ipswich,Transport services (excl. Waste transport),United Kingdom-Ipswich: Transport services (excl. Waste transport),504079-2021,05/10/2021,193,IPSWICH,Suffolk County Council,EN,UK,3 - Regional or local authority,-,30/09/2021,4 - Services,V - Contract award without prior publication,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,60000000 - Transport services (excl. Waste transport),UKH14,www.suffolksourcing.uk,Public procurement Directive 2014/24/EU,nan,52.0579495,1.1526345,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
504078-2021,Active,,United Kingdom,Holyhead,Subsurface surveying services,United Kingdom-Holyhead: Subsurface surveying services,504078-2021,05/10/2021,193,HOLYHEAD,Minesto UK Ltd.,EN,UK,8 - Other,-,30/09/2021,4 - Services,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,71352000 - Subsurface surveying services,UKL11,http://minesto.com/,Public procurement Directive 2014/24/EU,nan,53.3106715,-4.6330966,322215-2021,25/06/2021,13/07/2021,3 - Contract notice,Minesto UK Ltd.,349618-2021,09/07/2021,13/07/2021,2 - Additional information,Minesto UK Ltd,504078-2021,05/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
504077-2021,Active,,United Kingdom,Preston,"Architectural, construction, engineering and inspection services","United Kingdom-Preston: Architectural, construction, engineering and inspection services",504077-2021,05/10/2021,193,PRESTON,Places for People Group Ltd (03101088),EN,UK,6 - Body governed by public law,-,30/09/2021,4 - Services,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,"71000000 - Architectural, construction, engineering and inspection services",UK,www.procurementhub.co.uk,Public procurement Directive 2014/24/EU,nan,53.7593363,-2.6992717,319565-2019,09/07/2019,10/08/2029,Y - Dynamic purchasing system,Places for People Group Ltd,185512-2020,21/04/2020,nan,nan,nan,nan,nan,nan,"hort description: Kirklees Council sought Consultants to provide: the provision of coordinated design services including designs, specifications, advice and information with due regard to functionality, build quality and impact, buildability, construction safety, operation and maintenance.All Suppliers invited to this opportunity have passed the minimum requirements of the Procurement hub's Consultants DPS OJEU Reference Number 2019/S 130-319565.",PR2 2YB,jenny@procurementhub.co.uk,997329,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
504076-2021,Active,,United Kingdom,Coventry,Accounting and auditing services,United Kingdom-Coventry: Accounting and auditing services,504076-2021,05/10/2021,193,COVENTRY,Coventry City Council,EN,UK,3 - Regional or local authority,-,30/09/2021,4 - Services,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,79210000 - Accounting and auditing services79410000 - Business and management consultancy services,UKG33,www.coventry.gov.uk,Public procurement Directive 2014/24/EU,nan,52.4081812,-1.510477,221613-2018,24/05/2018,20/06/2018,Y - Dynamic purchasing system,Coventry City Council,472917-2018,26/10/2018,nan,nan,nan,nan,nan,nan,"Coventry City Council is focused on making a strong and effective contribution to the improvement of Coventry’s schools in order to raise standards of educational achievement, and are seeking to procure a service to support the evaluation of the effectiveness of support received for school improvement, to ensure schools are making good progress in accordance with The Education and Inspections Act 2006. The Council requires scheduled monitoring visits to individual schools, to verify the accuracy of their current position statement, whilst concurrently evaluating the appropriateness of their actions for improvement, as identified by the school, with all outcomes recorded and submitted to the Council for ratification and approval.",CV1 5RR,procurement.services@coventry.gov.uk,780000.00,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
504075-2021,Active,,United Kingdom,Stirling,Electronic message and information services,United Kingdom-Stirling: Electronic message and information services,504075-2021,05/10/2021,193,STIRLING,Scottish Environment Protection Agency,EN,UK,8 - Other,-,30/09/2021,4 - Services,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,34924000 - Variable message signs64216000 - Electronic message and information services,UK,http://www.sepa.org.uk,Public procurement Directive 2014/24/EU,nan,56.1181242,-3.9360012,305863-2019,02/07/2019,01/08/2019,3 - Contract notice,Scottish Environment Protection Agency,330291-2019,15/07/2019,08/08/2019,2 - Additional information,Scottish Environment Protection Agency,368071-2019,05/08/2019,29/08/2019,* Provide new software for the control of the existing network of VMS* Maintain that software and the existing network of VMS* Provide the necessary equipment to allow SEPA to replace some of the existing network of VMS over the life of the contract* Perform on site commissioning checks on installed VMS minimum of three weeks prior to the start of the bathing water sampling season (15th May)* Provide maintenance support for VMS and software during the bathing water season (1st June to 15th September).,FK9 4TZ,fiona.kemp@sepa.org.uk,373786,GBP,GBP,2 - Additional information,Scottish Environment Protection Agency,504075-2021,05/10/2021,nan,nan,nan,nan,nan,nan, GBR, 826,,
504074-2021,Active,,United Kingdom,Stirling,Printing and graphics equipment,United Kingdom-Stirling: Printing and graphics equipment,504074-2021,05/10/2021,193,STIRLING,APUC Limited,EN,UK,6 - Body governed by public law,-,30/09/2021,2 - Supplies,2 - Restricted procedure,Y - Dynamic purchasing system,Z - Not specified,1 - Submission for all lots,2 - The most economic tender,"42962000 - Printing and graphics equipment42960000 - Command and control system, printing, graphics, office automation and information-processing equipment42664100 - Fusion equipment for plastics42991200 - Printing machinery",UK,http://www.apuc-scot.ac.uk,Public procurement Directive 2014/24/EU,03/11/2021,56.1181242,-3.9360012,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
504071-2021,Active,,United Kingdom,Barking and Dagenham,Building installation work,United Kingdom-Barking and Dagenham: Building installation work,504071-2021,05/10/2021,193,BARKING AND DAGENHAM,London Borough of Barking and Dagenham,EN,UK,3 - Regional or local authority,-,30/09/2021,1 - Works,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,45300000 - Building installation work,UKI52,https://www.lbbd.gov.uk/,Public procurement Directive 2014/24/EU,nan,51.5541171,0.15050434261994267,295736-2018,10/07/2018,06/08/2018,3 - Contract notice,Plymouth City Council,557702-2018,19/12/2018,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
504070-2021,Active,,United Kingdom,Uxbridge,Construction work,United Kingdom-Uxbridge: Construction work,504070-2021,05/10/2021,193,UXBRIDGE,LHC (10063038),EN,UK,6 - Body governed by public law,-,30/09/2021,1 - Works,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,"45210000 - Building construction work45212200 - Construction work for sports facilities45214400 - Construction work for university buildings45220000 - Engineering works and construction works45221100 - Construction work for bridges45212322 - Theatre construction work45000000 - Construction work45212225 - Sports hall construction work45212170 - Entertainment building construction work45215140 - Hospital facilities construction work45215141 - Operating theatre construction work45216120 - Construction work for buildings relating to emergency services45215120 - Special medical building construction work45216000 - Construction work for buildings relating to law and order or emergency services and for military buildings45216121 - Fire station construction work45214230 - Special school construction work45216111 - Police station construction work45216122 - Ambulance station construction work45211360 - Urban development construction work45214220 - Secondary school construction work45211350 - Multi-functional buildings construction work45214210 - Primary school construction work45400000 - Building completion work45212000 - Construction work for buildings relating to leisure, sports, culture, lodging and restaurants45213100 - Construction work for commercial buildings45214200 - Construction work for school buildings45300000 - Building installation work45212210 - Single-purpose sports facilities construction work45200000 - Works for complete or part construction and civil engineering work45212100 - Construction work of leisure facilities45214300 - Construction work for college buildings",UKCUKDUKEUKFUKGUKHUKIUKJUKK,http://www.lhc.gov.uk,Public procurement Directive 2014/24/EU,nan,51.5449509,-0.4816672,175461-2020,14/04/2020,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Public Buildings and Infrastructure Framework (PB3). This Framework is the successor to our popular Schools and Community Buildings Framework and will be for the construction of new buildings, extensions, and refurbishment of public and social buildings and infrastructure works. Typical building types are as follows (but not limited to)- Educational buildings- Healthcare buildings- Emergency service buildings such as Fire stations, ambulance stations and police stations- Community buildings such as community centres and sports facilities- Offices and other buildings for social infrastructure.- Residential properties (when part of a mixed-use development )- Conversion of commercial buildings for residential use- Delivery of student accommodation to education clientsCertain lots include the provision of infrastructure works either when associated to the main project scope or as standalone infrastructure works",UB8 1QE,procurement@lhc.gov.uk,750000000.00,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
504069-2021,Active,,United Kingdom,Barking and Dagenham,Building installation work,United Kingdom-Barking and Dagenham: Building installation work,504069-2021,05/10/2021,193,BARKING AND DAGENHAM,London Borough of Barking and Dagenham,EN,UK,3 - Regional or local authority,-,30/09/2021,1 - Works,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,45300000 - Building installation work,UKI52,https://www.lbbd.gov.uk/,Public procurement Directive 2014/24/EU,nan,51.5541171,0.15050434261994267,295736-2018,10/07/2018,06/08/2018,3 - Contract notice,Plymouth City Council,557702-2018,19/12/2018,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
504068-2021,Active,,United Kingdom,Redbridge,Building installation work,United Kingdom-Redbridge: Building installation work,504068-2021,05/10/2021,193,REDBRIDGE,London Borough of Redbridge,EN,UK,3 - Regional or local authority,-,30/09/2021,1 - Works,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,45300000 - Building installation work,UKI53,https://www.redbridge.gov.uk/,Public procurement Directive 2014/24/EU,nan,51.5763203,0.0454097,295736-2018,10/07/2018,06/08/2018,3 - Contract notice,Plymouth City Council,557702-2018,19/12/2018,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
504067-2021,Active,,United Kingdom,Teignbridge,Building installation work,United Kingdom-Teignbridge: Building installation work,504067-2021,05/10/2021,193,TEIGNBRIDGE,Teignbridge District Council,EN,UK,3 - Regional or local authority,-,30/09/2021,1 - Works,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,45300000 - Building installation work,UKK,https://www.teignbridge.gov.uk/,Public procurement Directive 2014/24/EU,nan,50.6125552,-3.6559105980908284,295736-2018,10/07/2018,06/08/2018,3 - Contract notice,Plymouth City Council,557702-2018,19/12/2018,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
504066-2021,Active,,United Kingdom,Redbridge,Building installation work,United Kingdom-Redbridge: Building installation work,504066-2021,05/10/2021,193,REDBRIDGE,London Borough of Redbridge,EN,UK,3 - Regional or local authority,-,30/09/2021,1 - Works,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,45300000 - Building installation work,UKI53,https://www.redbridge.gov.uk/,Public procurement Directive 2014/24/EU,nan,51.5763203,0.0454097,295736-2018,10/07/2018,06/08/2018,3 - Contract notice,Plymouth City Council,557702-2018,19/12/2018,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
501206-2021,Active,,United Kingdom,Leeds,Engineering services,United Kingdom-Leeds: Engineering services,501206-2021,04/10/2021,192,LEEDS,EP UK Investments Ltd on behalf of EP Kilroot Ltd (09255154),EN,UK,4 - Utilities entity,-,29/09/2021,4 - Services,4 - Negotiated procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,71318000 - Advisory and consultative engineering services71336000 - Engineering support services71356000 - Technical services71521000 - Construction-site supervision services71300000 - Engineering services71520000 - Construction supervision services71541000 - Construction project management services71530000 - Construction consultancy services71356300 - Technical support services71540000 - Construction management services71330000 - Miscellaneous engineering services71350000 - Engineering-related scientific and technical services,UKN0D,www.epuki.co.uk,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",nan,53.7974185,-1.5437941,280758-2020,16/06/2020,15/07/2020,3 - Contract notice,EP UK Investments Ltd on behalf of EP Kilroot Ltd (09255154),501206-2021,04/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
501205-2021,Active,,United Kingdom,Manchester,School catering services,United Kingdom-Manchester: School catering services,501205-2021,04/10/2021,192,MANCHESTER,The Roman Catholic Federation of Holy Name and Our Lady’s,EN,UK,6 - Body governed by public law,-,29/09/2021,4 - Services,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,55524000 - School catering services,UKD33,www.holyname.manchester.sch.uk,Public procurement Directive 2014/24/EU,nan,53.4794892,-2.2451148,369117-2020,05/08/2020,30/07/2025,Y - Dynamic purchasing system,Saint Ralph Sherwin Catholic Multi Academy Trust,498550-2021,01/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
501204-2021,Active,,United Kingdom,Keswick,School cleaning services,United Kingdom-Keswick: School cleaning services,501204-2021,04/10/2021,192,KESWICK,St Herbert’s CE Primary & Nursery School,EN,UK,6 - Body governed by public law,-,29/09/2021,4 - Services,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,90919300 - School cleaning services,UKD1,https://www.stherberts.cumbria.sch.uk,Public procurement Directive 2014/24/EU,nan,54.6009281,-3.137609,369117-2020,05/08/2020,30/07/2025,Y - Dynamic purchasing system,Saint Ralph Sherwin Catholic Multi Academy Trust,498550-2021,01/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
501203-2021,Active,,United Kingdom,Wythenshawe,School catering services,United Kingdom-Wythenshawe: School catering services,501203-2021,04/10/2021,192,WYTHENSHAWE,Peel Hall Primary School,EN,UK,6 - Body governed by public law,-,29/09/2021,4 - Services,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,55524000 - School catering services,UKD33,https://peelhallprimary.co.uk/,Public procurement Directive 2014/24/EU,nan,53.3803596,-2.2632079,369117-2020,05/08/2020,30/07/2025,Y - Dynamic purchasing system,Saint Ralph Sherwin Catholic Multi Academy Trust,498550-2021,01/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
501202-2021,Active,,United Kingdom,Wythenshawe,School catering services,United Kingdom-Wythenshawe: School catering services,501202-2021,04/10/2021,192,WYTHENSHAWE,Crossacres Primary Academy,EN,UK,6 - Body governed by public law,-,29/09/2021,4 - Services,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,55524000 - School catering services,UKD33,https://crossacresprimary.co.uk/,Public procurement Directive 2014/24/EU,nan,53.3803596,-2.2632079,369117-2020,05/08/2020,30/07/2025,Y - Dynamic purchasing system,Saint Ralph Sherwin Catholic Multi Academy Trust,498550-2021,01/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
501201-2021,Active,,United Kingdom,Manchester,School catering services,United Kingdom-Manchester: School catering services,501201-2021,04/10/2021,192,MANCHESTER,St Wilfrid's Roman Catholic Primary School,EN,UK,6 - Body governed by public law,-,29/09/2021,4 - Services,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,55524000 - School catering services,UKD33,https://www.stwilfs.com/,Public procurement Directive 2014/24/EU,nan,53.4794892,-2.2451148,369117-2020,05/08/2020,30/07/2025,Y - Dynamic purchasing system,Saint Ralph Sherwin Catholic Multi Academy Trust,498550-2021,01/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
501200-2021,Active,,United Kingdom,Ellesmere Port,School catering services,United Kingdom-Ellesmere Port: School catering services,501200-2021,04/10/2021,192,ELLESMERE PORT,The Acorns and Whitley Village Federated School,EN,UK,6 - Body governed by public law,-,29/09/2021,4 - Services,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,55524000 - School catering services,UKD33,http://www.theacornsprimary.co.uk/,Public procurement Directive 2014/24/EU,nan,53.2821114,-2.8960456,369117-2020,05/08/2020,30/07/2025,Y - Dynamic purchasing system,Saint Ralph Sherwin Catholic Multi Academy Trust,498550-2021,01/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
501199-2021,Active,,United Kingdom,Manchester,School catering services,United Kingdom-Manchester: School catering services,501199-2021,04/10/2021,192,MANCHESTER,St Margaret’s CE Primary School,EN,UK,6 - Body governed by public law,-,29/09/2021,4 - Services,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,55524000 - School catering services,UKD33,https://www.stmargaretsmanchester.co.uk/,Public procurement Directive 2014/24/EU,nan,53.4794892,-2.2451148,369117-2020,05/08/2020,30/07/2025,Y - Dynamic purchasing system,Saint Ralph Sherwin Catholic Multi Academy Trust,498550-2021,01/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
501198-2021,Active,,United Kingdom,Ripley,Grounds maintenance services,United Kingdom-Ripley: Grounds maintenance services,501198-2021,04/10/2021,192,RIPLEY,The Police and Crime Commissioner for Derbyshire (n/a),EN,UK,6 - Body governed by public law,-,29/09/2021,4 - Services,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,77314000 - Grounds maintenance services,UK,https://www.derbyshire.police.uk,Public procurement Directive 2014/24/EU,nan,53.0488393,-1.4302374270653362,592235-2020,08/12/2020,11/01/2021,3 - Contract notice,The Police and Crime Commissioner for Derbyshire (n/a),501198-2021,04/10/2021,nan,nan,nan,nan,nan,nan,Provision of Grounds Maintenance including Winter Gritting & Tree Works,"Police Headquarters,",procurement@derbyshire.police.uk,116797.00,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
501197-2021,Active,,United Kingdom,Aberystwyth,Feasibility study,United Kingdom-Aberystwyth: Feasibility study,501197-2021,04/10/2021,192,ABERYSTWYTH,Cyngor Sir Ceredigion County Council,EN,UK,3 - Regional or local authority,-,29/09/2021,4 - Services,1 - Open procedure,3 - Contract notice,Z - Not specified,1 - Submission for all lots,2 - The most economic tender,"79310000 - Market research services79311410 - Economic impact assessment79311400 - Economic research services63513000 - Tourist information services71311200 - Transport systems consultancy services73420000 - Pre-feasibility study and technological demonstration75125000 - Administrative services related to tourism affairs71241000 - Feasibility study, advisory service, analysis79314000 - Feasibility study73000000 - Research and development services and related consultancy services73110000 - Research services79300000 - Market and economic research; polling and statistics",UKL1UKL24,http://www.ceredigion.gov.uk,Public procurement Directive 2014/24/EU,28/10/2021,52.4143113,-4.0816846,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
