Tender,Company,Procurement,Notice,Location,Closing,Value,Date
Prison Buddy Service - Supplier Engagement,Lancashire County Council,  Early engagement,  Open,  North West,  26 August 2022,Publication date 15 August 2022,None
Psychotherapy Support For The Adult Tier 3 Weight Management Service - Tipping The Balance,Medway Council,  Opportunity,  Open,  ME4 4TR,"  26 August 2022, 12pm","  £90,000",  13 August 2022
Hartington Street Bin Stores & Hard Standing[590],Nottingham Community Housing Association,  Opportunity,  Open,  NG5 1AP,"   9 September 2022, 12pm","  £25,000 to £40,000","  13 August 2022, last edited 13 August 2022"
"Extra Care Housing Scheme at Ferney Lee Road, Todmorden",The Borough Council of Calderdale,  Opportunity,  Open,  Yorkshire and the Humber,"   4 November 2022, 12pm","  £12,000,000 to £16,000,000",  13 August 2022
Tender for supply Water Supply and Sanitation Equipment,"Chemonics International, Inc.",  Opportunity,  Open,"  Europe, Rest of the World","  26 August 2022,  2am","  £5,000",  12 August 2022
CA10949 - Moorfields Eye Hospital - Outsourcing Clinical Sterilisation Services,Moorfields Eye Hospital NHS Foundation Trust,  Opportunity,  Open,  EC1V 2PD,"  12 September 2022, 12pm","  £6,500,000",  12 August 2022
Procurement of Exhibition Fit Out Works,Loughborough Bellfoundry TrusT,  Opportunity,  Open,  East Midlands,"   5 September 2022, 12pm",  £0,  12 August 2022
Mentor training programme impact evaluation 2022-23,The Education and Training Foundation,  Opportunity,  Open,"  North East, Yorkshire and the Humber, North West, East Midlands, West Midlands, East of England, South East, South West, London","   8 September 2022,  4pm","  £0 to £74,474",  12 August 2022
RFQ for Chairs and Governance Professional's Network Events.,The Education and Training Foundation,  Opportunity,  Open,  Any region,"  26 August 2022,  3pm","  £34,000",  12 August 2022
Tree Maintenance - Reactive - Tree Maintenance - Reactive - Highways,London Borough of Haringey - Parks and Leisure,  Opportunity,  Open,  United Kingdom,"  26 August 2022, 10am",  £0,  12 August 2022
Tree Maintenance - Reactive - Tree Maintenance - Reactive - Highways,London Borough of Haringey - Parks and Leisure,  Opportunity,  Open,  United Kingdom,"  30 August 2022, 10am",  £0,  12 August 2022
"REQUEST FOR QUOTATIONS (RfQ) FOR SUPPLY AND DELIVERY OF FIVE THOUSAND FIVE HUNDRED TABLETS (5500) FOR THE NATIONAL NUMERACY PROGRAMME IN LILONGWE, MALAWI (RFQ No. MMB12/08/2022)",MOTT MACDONALD LIMITED,  Opportunity,  Open,  Malawi,"  24 August 2022,  4am","  £250,000 to £330,000",  12 August 2022
Affordable Housing Framework,London Borough of Enfield,  Opportunity,  Open,  England,"  27 September 2022, 12pm","  £1,800,000,000",  12 August 2022
GB-London: Broker Services for Private Medical and Dental Insurance and Employee Assistance Programme,RSSB,  Opportunity,  Open,  London,"   1 September 2022,  2pm","  £50,000 to £100,000",  12 August 2022
PL0039 Purford Green Construction Contractor,Essex County Council on behalf of Essex Housing Development LLP,  Opportunity,  Open,  England,"   7 October 2022, 12pm","  £8,700,000",  12 August 2022
Mailing Database Provider for the British National Formulary,National Institute For Health And Care Excellence,  Early engagement,  Open,  North West,  24 August 2022,Publication date 12 August 2022,None
Evaluation of the Senior Intervenor Pilot for people with a learning disability,NHS England,  Opportunity,  Open,  SE1 8UG,"  30 August 2022, 12pm","  £60,000",  12 August 2022
Principal Contractor - Principal contractor - Education (20% VAT),London Borough of Haringey,  Opportunity,  Open,  United Kingdom,"  12 September 2022,  3pm","  £400,000",  12 August 2022
Tender for Supply of Information and Technology Equipment,"Chemonics International, Inc.",  Opportunity,  Open,"  Europe, Rest of the World","  26 August 2022,  2am","  £50,000",  12 August 2022
WA12572 - Avon and Somerset Sexual Assault and Abuse Therapies Service,"NHS South, Central and West Commissioning Support Unit",  Opportunity,  Open,  South West,"  23 September 2022, 12pm","  £3,944,598","  12 August 2022, last edited 12 August 2022"
The City of Liverpool College - Employee Benefits Digital Platform,The City of Liverpool College,  Opportunity,  Open,  L13 0BQ,"  19 September 2022,  3pm","  £25,000 to £30,000",  12 August 2022
T0485 - THV Galatea/THV Alert - Machinery Alarms and Monitoring Systems and Navigational Upgrade,The Corporation of Trinity House,  Opportunity,  Open,  East of England,"  14 September 2022, 12pm","  £500,000",  12 August 2022
CWC22092 - Prouds Lane Open Space Improvements,Wolverhampton City Council,  Opportunity,  Open,  West Midlands,"  12 September 2022, 12pm","  £395,000",  12 August 2022
Tender for a Framework Agreement for the Provision of Construction Project Management Consultancy Services,THE UNIVERSITY OF BIRMINGHAM,  Opportunity,  Open,  B15 2TT,"  12 September 2022,  3pm","  £1,000,000,000",  12 August 2022
(NU/1803) - Workshop and Laboratory Equipment - Stephenson Building,University of Newcastle upon Tyne t/a Newcastle University,  Opportunity,  Open,  England,"  19 September 2022, 12pm","  £100,000 to £2,400,000",  12 August 2022
"MEP Consultant for Power Up  Project at Science Museum, London",Science Museum Group,  Opportunity,  Open,  SW7 2DD,"  26 August 2022,  5pm","  £16,000",  12 August 2022
GB-Kettering: Pharmacy Cold Room,Kettering General Hospital NHS Foundation Trust,  Opportunity,  Open,  East Midlands,"  26 August 2022, 12pm","  £10,000 to £25,000",  12 August 2022
"Homes England - Lodge Hill, Kent Grassland, Hedgerow and Scrub Maintenance 2022 - 2025",Homes England (the name adopted by the Homes and Communities Agency),  Opportunity,  Open,  South East,"  13 September 2022, 11am","  £310,500",  12 August 2022
Provider Event - Northamptonshire Children's Trust (NCT) - Independent Supported Accommodation and Support Services for Young People,North Northamptonshire Council,  Early engagement,  Open,  East Midlands,   7 September 2022,"Publication date 12 August 2022, last edited 12 August 2022",None
Transport Skills Academy E-Learning Portal,West Midlands Combined Authority,  Opportunity,  Open,  B19 3SD,"   9 September 2022, 12pm",  £0,  12 August 2022
The Provision of Veterinary Services,Leeds City Council,  Opportunity,  Open,  Yorkshire and the Humber,"   7 September 2022, 12pm","  £0 to £290,000",  12 August 2022
GB-Edinburgh: Refurbishment and Upgrade of Outer Skerry,Northern Lighthouse Board,  Opportunity,  Open,  Scotland,"  22 September 2022,  3pm","  £50,000 to £100,000",  12 August 2022
Homecare Framework Lot20 - Homecare & Reablement,London Borough of Brent,  Opportunity,  Open,  England,"  19 September 2022, 12pm","  £8,000,000",  12 August 2022
SPS 2615 - Car Sharing Service (Car Clubs): Market Engagement,Royal Borough of Greenwich,  Early engagement,  Open,  England,   5 September 2022,Publication date 12 August 2022,None
Play Equipment Service Maintenance and Repairs,Riverside,  Opportunity,  Open,"  North East, North West, Yorkshire and the Humber, Scotland","  14 September 2022, 12pm","  £150,000 to £250,000",  12 August 2022
SPS 2617 - Occupational Therapy Planning Consultants,Royal Borough of Greenwich,  Opportunity,  Open,  England,"  26 August 2022, 12pm","  £120,000",  12 August 2022
Homes England Charged Bank Account,Homes England (the name adopted by the Homes and Communities Agency),  Opportunity,  Open,  England,"  16 September 2022, 12pm",  £0,  12 August 2022
Offender Personality Disorder (OPD) Services to HMP High Down - NHS England,"NHS SOUTH, CENTRAL AND WEST COMMISSIONING SUPPORT UNIT",  Opportunity,  Open,  South East,"  23 September 2022, 12pm","  £4,040,000",  12 August 2022
Reinstating property to original condition- Grove Road,Barnet Homes Ltd,  Opportunity,  Open,  London,"   9 September 2022, 12pm","  £10,000",  12 August 2022
CON-22-082 Identity and Administration Governance,Financial Conduct Authority,  Opportunity,  Open,  London,"  16 September 2022, 12pm","  £1,100,000",  12 August 2022
MONITORING KEY INSECT PESTS IN FIELD AND PROTECTED CROPS WHICH REPRESENT A HIGH RISK OF RESISTANCE DEVELOPMENT DUE TO LIMITED AVAILABLE MOA'S FOLLOWING WITHDRAWAL OF INSECTICIDE ACTIVES,Health & Safety Executive,  Opportunity,  Open,  United Kingdom,"  26 September 2022, 12pm",  £1,"  12 August 2022, last edited 12 August 2022"
Particle anaylser,University of Exeter,  Opportunity,  Open,  EX4 4QJ,"  31 August 2022, 12pm","  £0 to £67,000",  12 August 2022
Healthy Life Expectancy Strategic Development and Support,South Yorkshire Mayoral Combined Authority Group,  Opportunity,  Open,  England,"  12 September 2022, 12pm","  £0 to £60,000","  12 August 2022, last edited 12 August 2022"
Leisure Gates Access,Teignbridge District Council,  Opportunity,  Open,  South West,"   2 September 2022, 12pm",  £0,  12 August 2022
Aldershot Door and Window Replacement,VIVO DEFENCE SERVICES LIMITED,  Opportunity,  Open,  South East,"  26 August 2022, 12am","  £1,100,000 to £2,500,000",  12 August 2022
CST062 - Benefit & Discount employee platform including the optional benefit of an employee assistance programme,Derbyshire County Council,  Opportunity,  Open,  England,"  12 September 2022, 11am","  £250,000","  10 August 2022, last edited 12 August 2022"
Channel 4 Mentoring,West Yorkshire Combined Authority,  Opportunity,  Open,  Yorkshire and the Humber,"   5 September 2022,  1pm","  £60,000 to £80,000",  12 August 2022
Digital and Legacy Application Services (DALAS),Crown Commercial Service,  Future opportunity,  Open,  United Kingdom,Approach to market date 16 September 2022,"  £4,500,000,000","  12 August 2022, last edited 12 August 2022"
One Horton Heath Water Quality and Monitoring,Eastleigh Borough Council,  Opportunity,  Open,  England,"   9 September 2022, 12pm","  £50,000 to £100,000",  12 August 2022
Culture & Leisure - Seafront Winter Catering Concessions 2022/2023,Portsmouth City Council,  Opportunity,  Open,  PO1 2AL,"  14 September 2022, 12pm",  £0,  12 August 2022
Installation of a Air Source Heat Pump,Hythe & Dibden Parish Council,  Opportunity,  Open,  SO45 5AA,"  23 September 2022, 12pm",  £0,  12 August 2022
2223-0172 Nightly Purchased Accommodation framework agreement,Islington Council,  Opportunity,  Open,  England,"  12 September 2022, 12pm","  £0 to £52,000,000",  12 August 2022
"Heating, Gas Appliances & Installations - Heating, gas appliances & installations miscellaneous (20% VAT)",London Fire Brigade,  Opportunity,  Open,  United Kingdom,"   8 September 2022,  5pm","  £200,000",  12 August 2022
South Holland District Council - Domestic Energy Assessments (EPC) of Council Dwellings,Breckland District Council and South Holland District Council,  Opportunity,  Open,  PE11 2XE,"  14 September 2022, 12pm","  £150,000 to £250,000",  12 August 2022
Jumbo Water Tower - Project Manager Appointment,Colchester and North East Essex Building Preservation Trust,  Opportunity,  Open,  CO61AH,"  12 September 2022,  5pm",  £0,  12 August 2022
IA2865 High Level Supported Accommodation and Coproduction,Staffordshire County Council,  Opportunity,  Open,  ST16 2DH,"   5 September 2022, 12pm","  £672,947",  12 August 2022
WGC 2022- Broadcast Catering Services Provider,Liverpool City Council,  Opportunity,  Open,  North West,"  30 August 2022,  2pm","  £40,000",  12 August 2022
Kensington Memorial Park Tennis Courts Floodlights Installation,capitalEsourcing,  Opportunity,  Open,  W10 6LH,"  16 September 2022, 11:59pm",  £0,  12 August 2022
Legionella Risk Assessment of Hot & Cold Water Systems,Southport & Ormskirk,  Opportunity,  Open,  PR8 6PN,"   2 September 2022, 12pm","  £10,000 to £35,000",  12 August 2022
BEH - EOI - Azure Data Platform managed service,"Barnet, Enfield and Haringey Mental Health Trust",  Early engagement,  Open,  N15 3TH,  26 August 2022,"Publication date 12 August 2022, last edited 12 August 2022",None
TD019-21 Grimsby Town Hall - External Conservation Works,North East Lincolnshire Council,  Opportunity,  Open,  Yorkshire and the Humber,"  16 September 2022,  1pm","  £250,000 to £250,001",  12 August 2022
Decommissioning and Clean Up Programme Participatory Systems Mapping Project,DEPARTMENT FOR ENVIRONMENT FOOD & RURAL AFFAIRS,  Opportunity,  Open,  United Kingdom,"   9 September 2022,  4pm","  £25,000 to £30,000",  12 August 2022
SBC0822 REPLACEMENT OF FLAT ROOFING WORKS AT THE LIVING ROOM 8/10 THE GLEBE STEVENAGE HERTS SG2 0DJ,Stevenage Borough Council,  Opportunity,  Open,  SG1 1HN,"   9 September 2022, 12pm","  £90,000 to £100,000",  12 August 2022
Clinical Key/Expert Path Licenses - Health Education England,Health Education England,  Opportunity,  Open,  LS1 4PL,"  12 September 2022, 12pm","  £20,550",  12 August 2022
Provision of Leicestershire Holiday Activities and Food Programme - Holiday Clubs,Leicestershire County Council,  Opportunity,  Open,  England,"  12 September 2022, 12pm","  £6,000,000",  12 August 2022
Planning Decisions Technical Advice,"DEPARTMENT FOR LEVELLING UP, HOUSING AND COMMUNITIES",  Early engagement,  Open,  United Kingdom,   2 September 2022,Publication date 12 August 2022,None
WP3818b - Employee Assistance Programme Services,Walsall Council e-Tendering,  Opportunity,  Open,  WS1 1TP,"  12 September 2022, 12pm","  £86,853 to £144,755",  12 August 2022
WP3818a - Occupational Health,Walsall Council e-Tendering,  Opportunity,  Open,  WS1 1TP,"  12 September 2022, 12pm","  £157,500 to £262,500",  12 August 2022
Accelerate project Final Evaluation,COVENTRY AND WARWICKSHIRE CO-OPERATIVE DEVELOPMENT AGENCY LIMITED,  Opportunity,  Open,  CV3 1JA,"  30 September 2022, 12pm","  £35,000 to £40,000",  12 August 2022
South Holland District Council - Fire Safety and Associated Services,Breckland District Council and South Holland District Council,  Opportunity,  Open,  PE11 2XE,"  13 September 2022, 12pm","  £75,000 to £125,000",  12 August 2022
GB-Bath: University of Bath Arrivals Square Entrance Works,University of Bath,  Opportunity,  Open,  South West,"   9 September 2022, 12pm","  £100,000 to £500,000",  12 August 2022
"OPA T518/1560 OFD Thanckes - Thanckes Tank Farm Project - (TTFP) Front End Engineering Design, Detail Design and Principal Designer",The Oil and Pipelines Agency,  Opportunity,  Open,  Any region,"  21 September 2022, 12pm","  £2,000,000","  27 July 2022, last edited 12 August 2022"
"The Supply of Clothing, School Wear, Single Use PPE and Other Reusable Protective Wear",Hampshire County Council,  Opportunity,  Open,  SO23 9NR,"  13 September 2022,  2pm","  £6,000,000 to £8,000,000","  11 August 2022, last edited 12 August 2022"
Procurement of Development Manager - King's Dock,Liverpool City Council,  Opportunity,  Open,  North West,"  30 August 2022, 11:59pm","  £150,000","  18 July 2022, last edited 12 August 2022"
704213450 - The Provision of Airfield Wildlife Control Services Scottish Region,Ministry of Defence,  Opportunity,  Open,  Scotland,"  16 September 2022, 10am","  £1,440,000",  12 August 2022
IRM21/7584 - The Supply of Hand Tools,Ministry of Defence,  Opportunity,  Open,  TF2 8JT,"   9 September 2022,  4pm","  £35,000,000","   9 August 2022, last edited 12 August 2022"
Video Conferencing Installation & Maintenance,Leicestershire Police,  Opportunity,  Open,  East of England,"  14 September 2022, 12pm","  £160,000 to £360,000",  12 August 2022
Yate Town Council Supply of Gas and Electric to Town Council Properties,Yate Town Council,  Opportunity,  Open,  BS37,"   2 September 2022, 12pm","  £30,000",  12 August 2022
CFN - Legionella Risk Assessment - UHB,University Hospitals Birmingham NHS Foundation Trust,  Opportunity,  Open,  West Midlands,"  19 September 2022, 12pm",  £0,  12 August 2022
The Manor House - Conservatory Replacement,Dawlish Town Council,  Opportunity,  Open,  EX7 9AP,"  15 September 2022, 12pm","  £35,000 to £60,000",  12 August 2022
Provider Panel for Intermediate Care Plus Beds  (Spot Purchase),Durham County Council,  Opportunity,  Open,  England,"  12 September 2022, 12pm","  £7,500,000",  12 August 2022
Wigan Council Haigh Hall External Fabric Repair and Restoration,Wigan Council,  Opportunity,  Open,  England,"  12 September 2022, 12pm","  £3,000,000","   9 August 2022, last edited 12 August 2022"
Storage and Transport of University Careers Fair Collateral - Summer-22 - S2023,NHS England,  Opportunity,  Open,  LS2 7UE,"  26 August 2022, 12pm","  £30,000",  12 August 2022
Security Services Tender,University of Exeter,  Opportunity,  Open,  South West,"   9 September 2022, 12pm","  £80,000 to £150,000",  12 August 2022
Civil Engineering Technician Level 3.,London Borough of Hackney,  Opportunity,  Open,  E8 1DY,"   2 September 2022, 12pm","  £99,000","  11 August 2022, last edited 12 August 2022"
TfGM ITT for the provision of a value added licensing solutions provider (LSP),Transport for Greater Manchester,  Opportunity,  Open,  England,"  16 September 2022, 12pm","  £4,200,000","  12 August 2022, last edited 12 August 2022"
21194 - Asbestos Management Surveys,Plymouth City Council,  Opportunity,  Open,  England,"  12 September 2022, 12pm","  £0 to £240,000",  12 August 2022
Automatic Doors Gates and Barriers,Riverside,  Opportunity,  Open,  L24 8FR,"  14 September 2022, 12pm","  £2,688,631 to £4,481,050",  12 August 2022
"Forestry Commission Partnership Opportunity: Developing a Range of Inclusive, Specialist Female-fit Personal Protective Equipment (PPE)",FORESTRY COMMISSION,  Early engagement,  Open,  United Kingdom,  23 September 2022,Publication date 12 August 2022,None
Rooftop Development Framework,Echelon Consultancy Ltd,  Opportunity,  Open,  WD17 1LA,"  16 September 2022, 12pm","  £200,000,000 to £605,000,000",  11 August 2022
"Detection, Identification and Monitoring (DIM) Equipment Uplift",Merseyside Fire & Rescue Service,  Opportunity,  Open,  United Kingdom,"   5 October 2022,  1pm","  £0 to £17,500,000",  11 August 2022
The Provision of REQUEST FOR INFORMATION (RFI) - Fuel Delivery Service to Northern Ireland University Air Squadron - Flying Station Aldergrove,Ministry of Defence,  Early engagement,  Open,  Northern Ireland,  25 August 2022,Publication date 11 August 2022,None
CA10840 - Sparsholt College Group - Mechanical & Electrical Maintenance Services,Sparsholt College Hampshire,  Opportunity,  Open,  SO21 2NF,"  30 August 2022, 10am",  £0,"  15 July 2022, last edited 11 August 2022"
Serviced Office Provider / Manager,Network Homes,  Opportunity,  Open,  London,"  12 September 2022, 12pm",  £1,  11 August 2022
Provision of a Fully Managed Enteral Feeding Service; for Nutrition Supply Services for Enteral Feeds & Ancillary Materials in the Community & Acute Settings,Midlands Partnership Foundation Trust,  Opportunity,  Open,  ST16 3SR,"  12 September 2022, 12pm",  £0 to £1,  11 August 2022
PLACE006 - Provision Of Tree Maintenance Services,Derbyshire County Council,  Opportunity,  Open,  England,"  29 September 2022, 11am","  £1,600,000",  11 August 2022
GB-Middlesbrough: NZIIC Gas Reactor Cell 2,Teesside University,  Opportunity,  Open,  North East,"  30 August 2022,  5pm","  £25,000 to £50,000",  11 August 2022
GB-Middlesbrough: NZIIC Summative Assessment,Teesside University,  Opportunity,  Open,  North East,"   2 September 2022,  5pm","  £50,000 to £100,000",  11 August 2022
Arboriculture Service Framework,City of Bradford Metropolitan District Council,  Opportunity,  Open,  BD1 1HX,"   9 September 2022,  2pm","  £500,000 to £650,000",  11 August 2022
Tree Care Framework,Oxfordshire County Council,  Opportunity,  Open,  England,"  16 September 2022, 10am","  £2,400,000",  11 August 2022
Carpentry & Joinery - Windows (20% VAT),London Fire Brigade,  Opportunity,  Open,  United Kingdom,"  30 August 2022,  5pm","  £200,000","  25 July 2022, last edited 11 August 2022"
Q1270 - Water Authorising Engineer,Guy's and St Thomas' NHS Foundation Trust,  Opportunity,  Open,  SE1 9RT,"   6 September 2022, 12pm","  £100,000",  11 August 2022
Thames Barrier Cimplicity SCADA Upgrade,Defra Network eTendering Portal,  Future opportunity,  Open,  SE7 8LX,Approach to market date  1 November 2022,"  £100,000",  11 August 2022
Qualitative research into the lived experiences of domestic abuse survivors in temporary accommodation and the lived experiences of refugee and asylum seeking children and young people.,Office for National Statistics,  Future opportunity,  Open,  United Kingdom,Approach to market date 24 August 2022,"  £0 to £365,000",  11 August 2022
701952450 DGM/1924 12.7 API ITT,Ministry of Defence,  Opportunity,  Open,  South West,"  30 September 2022, 12pm","  £400,000",  11 August 2022
Play Parks Strategy,EU SUPPLY LIMITED,  Opportunity,  Open,  DN1 3BU,"   7 September 2022, 12pm","  £0 to £30,000","   5 August 2022, last edited 11 August 2022"
Digital Asset Management System,Historic England,  Opportunity,  Open,  SN2 2EH,"  19 September 2022, 10am","  £0 to £300,000",  11 August 2022
Maintenance of Control System at the Thames Barrier,Defra Network eTendering Portal,  Future opportunity,  Open,  SE7 8LX,Approach to market date  1 November 2022,"  £100,000",  11 August 2022
CCS003 Supply and Delivery of  Fresh Produce and Potatoes,Derbyshire County Council,  Opportunity,  Open,  England,"  12 September 2022, 11am","  £5,400,000",  11 August 2022
Window cleaning in the Babergh and Mid Suffolk Districts,Babergh District Council,  Opportunity,  Open,  IP1 2BX,"   1 September 2022, 12pm","  £125,000 to £170,000","  11 August 2022, last edited 11 August 2022"
Link with Modular Wards 2 & 5 - BHH,University Hospitals Birmingham NHS Foundation Trust,  Opportunity,  Open,  West Midlands,"   2 September 2022, 12pm",  £0,  11 August 2022
Marketing and Communications Services,West Yorkshire Combined Authority,  Opportunity,  Open,  Yorkshire and the Humber,"  12 September 2022, 12pm","  £0 to £2,000,000",  11 August 2022
Command and Control Mobilising System,West Yorkshire Fire & Rescue,  Opportunity,  Open,  BD11 2DY,"  30 September 2022, 12pm","  £2,000,000 to £4,000,000","  18 July 2022, last edited 11 August 2022"
Domestic Energy Efficiency Retrofit Framework,Leicestershire County Council,  Opportunity,  Open,  England,"  12 September 2022, 12pm","  £30,000,000 to £35,000,000",  11 August 2022
WP3849 - Young Person Accommodation Services,Walsall Council e-Tendering,  Opportunity,  Open,  WS1 1TP,"  11 September 2022, 12pm","  £689,416 to £1,378,832",  11 August 2022
GSENZH - Sustainable Warmth Marketing Programme,Cambridgeshire & Peterborough Combined Authority,  Opportunity,  Open,  England,"  31 August 2022, 12pm","  £50,000",  11 August 2022
PRP156 - Heating Works at Herbet Strutt Primary School,Derbyshire County Council,  Opportunity,  Open,  England,"   8 September 2022, 11am","  £157,000",  11 August 2022
Town Centre Floral Display - Barrow Borough Council,Barrow in Furness Borough Council,  Opportunity,  Open,  England,"  23 September 2022,  5pm","  £50,000",  11 August 2022
Targets and Accessories,Civil Nuclear Police Authority (CNPA)  / Civil Nuclear Constabulary (CNC),  Opportunity,  Open,  Any region,"  20 September 2022,  2pm","  £500,000 to £1,000,000",  11 August 2022
BBV HS2 MWCC North - Delta Junction -  M42 M6 Streetlighting,BIP SOLUTIONS LIMITED,  Opportunity,  Open,"  North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South West","  24 August 2022,  6pm","  £251,000",  11 August 2022
BBV HS2 MWCC North - Delta Junction -  Hydraulic Elements,BIP SOLUTIONS LIMITED,  Opportunity,  Open,"  North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South West","  24 August 2022,  6pm","  £151,000",  11 August 2022
Provision of Insurance and related services to Durham Aged Mineworkers Homes Association,Durham Aged Mineworkers Homes Association,  Opportunity,  Open,  Any region,"  12 September 2022,  5pm","  £275,000",  11 August 2022
SE1065 - Small Area Estimates Analysis,Sport England,  Opportunity,  Open,  Any region,"  12 September 2022, 12pm","  £150,000",  11 August 2022
Lighting up Luton,Luton Council,  Opportunity,  Open,  England,"   7 September 2022,  5pm","  £30,000",  11 August 2022
GB-Middlesbrough: ERDF - Business Support Services for Design for Growth Programme,Teesside University,  Opportunity,  Open,  North East,"  25 August 2022, 12pm","  £10,000 to £25,000",  11 August 2022
Old Windsor Lock House Void Refurbishment Work,DEPARTMENT FOR ENVIRONMENT FOOD & RURAL AFFAIRS,  Opportunity,  Open,  SL4 2JZ,"  12 September 2022,  4pm","  £25,000 to £49,000",  11 August 2022
Landscaping - Hard landscaping (20% VAT),London Borough of Haringey,  Opportunity,  Open,  United Kingdom,"  12 September 2022, 11pm","  £45,000 to £60,000",  11 August 2022
GB-London: Short Term Lets Review - Written Consultation Analysis and Reporting,"Department of Digital, Culture, Media and Sport",  Opportunity,  Open,  Any region,"  30 August 2022,  5pm","  £10,000 to £25,000",  11 August 2022
P4 Cooling Towers - Replace Tower Packing and Drift Eliminators,United Kingdom Atomic Energy Authority,  Opportunity,  Open,  South East,"  20 September 2022, 12pm","  £40,000 to £60,000",  11 August 2022
Firework display - Luton,Luton Council,  Opportunity,  Open,  England,"   7 September 2022,  5pm","  £40,000",  11 August 2022
"Dialectical, Cognitive and Other Behaviour Therapy Services for Children and Young People",Liverpool City Council,  Opportunity,  Open,  L3 1AH,"  30 August 2022, 12am","  £98,000",  11 August 2022
The Hill Multi Storey Car Park - Temporary Propping Project,London Borough of Bromley,  Opportunity,  Open,  England,"  31 August 2022, 12pm","  £95,000",  11 August 2022
Geothermal Planning Tool scoping,NHS England,  Opportunity,  Open,  LS2 7UE,"  29 August 2022, 12pm","  £16,667","   4 August 2022, last edited 11 August 2022"
Invitation to Tender for early Intervention support to improve positive educational experiences and life choices,Bedford Borough Council,  Opportunity,  Open,  MK42 9AP,"  26 August 2022, 12pm",  £0,  11 August 2022
Development of a concept design for a Digital Twin,NHS England,  Opportunity,  Open,  LS2 7UE,"  29 August 2022, 12pm","  £25,000","   4 August 2022, last edited 11 August 2022"
CP2229-22a Wave 3 Train4Tomorrow Skills Bootcamps - Round 2 - Devon delivery only,Devon County Council,  Opportunity,  Open,  England,"  13 September 2022, 12pm","  £328,000","  11 July 2022, last edited 11 August 2022"
Alternate delegates for ten  International Energy Agency Technology Collaboration Programmes (2022),"Department for Business, Energy & Industrial Strategy",  Opportunity,  Open,  SW1H 0ET,"   1 September 2022,  2pm","  £530,000",  11 August 2022
Digital Marketing agency & Creative agency for Europe & Wider Europe - 2022,British Council,  Opportunity,  Open,  E20 1JQ,"  19 September 2022, 11:59pm",  £0,"  11 August 2022, last edited 11 August 2022"
"0981 Bio-Waste Treatment, Transfer and Transport Services",Essex County Council,  Opportunity,  Open,  South East,"  12 September 2022, 12pm","  £30,000,000",  11 August 2022
3D Laser Scanning Equipment for Forensic Collision Investigations,South Wales Police,  Opportunity,  Open,  Wales,"  13 September 2022, 12pm",  £0,  11 August 2022
General Construction Multi Trade - GCMT - Capital projects (20% VAT),London Fire Brigade,  Opportunity,  Open,  United Kingdom,"   8 September 2022, 10am","  £130,000","  10 August 2022, last edited 11 August 2022"
BHCC - Weight Management Service,Brighton & Hove City Council,  Early engagement,  Open,  South East,   8 September 2022,Publication date 11 August 2022,None
CP2221-22 Future Farming Resilience Scale Up Phase 2022,Devon County Council,  Opportunity,  Open,  England,"  12 September 2022, 12pm","  £1,095,478",  11 August 2022
Supply of One (1) Sample Cassette Labeller and Optional One (1) Further Unit,Defra Network eTendering Portal,  Opportunity,  Open,  KT15 3NB,"   1 September 2022, 12pm",  £0,  11 August 2022
SUPPLY OF MAINS ELECTRICITY TO SAFFRON HOUSING TRUST X 3 HH METERS,Indigo Swan,  Opportunity,  Open,  East of England,"  26 August 2022,  5pm","  £200,000",  11 August 2022
SUPPLY OF MAINS ELECTRICITY TO SAFFRON HOUSING TRUST X 140 NHH METERS,Indigo Swan,  Opportunity,  Open,  East of England,"  26 August 2022,  5pm","  £400,000",  11 August 2022
Supply of Two (2) Manual  Rotary Microtomes and Optional  Two (2) Further Units,Defra Network eTendering Portal,  Opportunity,  Open,  KT15 3NB,"   1 September 2022, 12pm",  £0,"  11 August 2022, last edited 11 August 2022"
"Supply, Installation and Maintenance of Illuminations and Decorative Lighting",Torbay Council,  Opportunity,  Open,  England,"  12 September 2022, 12pm","  £350,000 to £500,000",  11 August 2022
"Evaluation of Year 2 of Health, Wellbeing, Nature & Sustainability decision support tool",Natural England,  Opportunity,  Open,  England,"  14 September 2022, 12pm","  £10,000 to £24,999",  11 August 2022
Pre-Market Engagement: Libraries Management Solution,Nottinghamshire County Council,  Early engagement,  Open,  England,   9 September 2022,Publication date 11 August 2022,None
RMBC-AP-Fire Door Repair/Replacement and Fire Safety (FRA) Works To Residential Properties,Runnymede Borough Council,  Opportunity,  Open,  KT15 2AH,"  12 September 2022, 12pm","  £1,200,000 to £1,300,000",  11 August 2022
Passenger Transport Dynamic Purchasing System,London Borough of Hackney,  Opportunity,  Open,  England,"   9 September 2022, 12pm","  £5,000,000",  11 August 2022
County Durham Sensory Support for Adults who are Deaf/Deafened or Hearing Impaired.,Durham County Council,  Opportunity,  Open,  England,"   9 September 2022, 12pm","  £101,582 to £110,791",  11 August 2022
General Construction Multi Trade - GCMT - Housing & residential (20% VAT),London Borough of Haringey - Housing Services and Building Safety - Playle,  Opportunity,  Open,  United Kingdom,"  16 September 2022, 12pm","  £10,000 to £36,000",  11 August 2022
